Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
PG,Luka Doncic (26727564),Luka Doncic,26727564,PG/G/UTIL,11900,SAS@DAL 02/23/2023 08:30PM ET,DAL,61.50,P
C,Nikola Jokic (26727567),Nikola Jokic,26727567,C/UTIL,11800,DEN@CLE 02/23/2023 07:00PM ET,DEN,59.24,P
PG,Damian Lillard (26727569),Damian Lillard,26727569,PG/G/UTIL,11400,POR@SAC 02/23/2023 10:00PM ET,POR,50.91,P
C,Joel Embiid (26727572),Joel Embiid,26727572,C/UTIL,11100,MEM@PHI 02/23/2023 07:30PM ET,PHI,57.04,P
SF/PF,Jayson Tatum (26727574),Jayson Tatum,26727574,SF/PF/F/UTIL,11000,BOS@IND 02/23/2023 07:00PM ET,BOS,52.71,P
PG,Ja Morant (26727578),Ja Morant,26727578,PG/G/UTIL,10800,MEM@PHI 02/23/2023 07:30PM ET,MEM,49.79,P
SF,LeBron James (26727581),LeBron James,26727581,SF/F/UTIL,10700,GSW@LAL 02/23/2023 10:00PM ET,LAL,54.13,P
C,Anthony Davis (26727584),Anthony Davis,26727584,C/UTIL,10600,GSW@LAL 02/23/2023 10:00PM ET,LAL,51.75,P
PG,Shai Gilgeous-Alexander (26727586),Shai Gilgeous-Alexander,26727586,PG/G/UTIL,10500,OKC@UTA 02/23/2023 09:00PM ET,OKC,49.71,P
PG/SG,Kyrie Irving (26727589),Kyrie Irving,26727589,PG/SG/G/UTIL,10300,SAS@DAL 02/23/2023 08:30PM ET,DAL,46.08,Q
PF/C,Pascal Siakam (26727593),Pascal Siakam,26727593,PF/C/F/UTIL,10200,NOP@TOR 02/23/2023 07:30PM ET,TOR,46.91,P
C,Domantas Sabonis (26727597),Domantas Sabonis,26727597,C/UTIL,10100,POR@SAC 02/23/2023 10:00PM ET,SAC,47.39,P
PG,Stephen Curry (26727599),Stephen Curry,26727599,PG/G/UTIL,10000,GSW@LAL 02/23/2023 10:00PM ET,GSW,51.09,O
PG,James Harden (26727602),James Harden,26727602,PG/G/UTIL,9900,MEM@PHI 02/23/2023 07:30PM ET,PHI,49.88,P
