Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Jalen Hurts (26573187),Jalen Hurts,26573187,CPT,16800,KC@PHI 02/12/2023 06:30PM ET,PHI,23.7185
QB,Patrick Mahomes (26573188),Patrick Mahomes,26573188,CPT,16500,KC@PHI 02/12/2023 06:30PM ET,KC,26.3265
TE,Travis Kelce (26573189),Travis Kelce,26573189,CPT,15900,KC@PHI 02/12/2023 06:30PM ET,KC,18.59
WR,A.J. Brown (26573190),A.J. Brown,26573190,CPT,13800,KC@PHI 02/12/2023 06:30PM ET,PHI,14.2725
WR,DeVonta Smith (26573191),DeVonta Smith,26573191,CPT,12900,KC@PHI 02/12/2023 06:30PM ET,PHI,14.4125
RB,Miles Sanders (26573192),Miles Sanders,26573192,CPT,11700,KC@PHI 02/12/2023 06:30PM ET,PHI,16.125
QB,Jalen Hurts (26573238),Jalen Hurts,26573238,FLEX,11200,KC@PHI 02/12/2023 06:30PM ET,PHI,23.7185
QB,Patrick Mahomes (26573239),Patrick Mahomes,26573239,FLEX,11000,KC@PHI 02/12/2023 06:30PM ET,KC,26.3265
RB,Isiah Pacheco (26573193),Isiah Pacheco,26573193,CPT,10800,KC@PHI 02/12/2023 06:30PM ET,KC,10.2575
TE,Travis Kelce (26573240),Travis Kelce,26573240,FLEX,10600,KC@PHI 02/12/2023 06:30PM ET,KC,18.59
RB,Jerick McKinnon (26573194),Jerick McKinnon,26573194,CPT,10200,KC@PHI 02/12/2023 06:30PM ET,KC,9.3
TE,Dallas Goedert (26573195),Dallas Goedert,26573195,CPT,9600,KC@PHI 02/12/2023 06:30PM ET,PHI,11.2925
WR,Marquez Valdes-Scantling (26573196),Marquez Valdes-Scantling,26573196,CPT,9300,KC@PHI 02/12/2023 06:30PM ET,KC,13.78
WR,A.J. Brown (26573241),A.J. Brown,26573241,FLEX,9200,KC@PHI 02/12/2023 06:30PM ET,PHI,14.2725
QB,Chad Henne (26573197),Chad Henne,26573197,CPT,9000,KC@PHI 02/12/2023 06:30PM ET,KC,1.08
QB,Ian Book (26573198),Ian Book,26573198,CPT,9000,KC@PHI 02/12/2023 06:30PM ET,PHI,0
QB,Gardner Minshew II (26573199),Gardner Minshew II,26573199,CPT,9000,KC@PHI 02/12/2023 06:30PM ET,PHI,6.23
QB,Shane Buechele (26573200),Shane Buechele,26573200,CPT,9000,KC@PHI 02/12/2023 06:30PM ET,KC,0
QB,Chris Oladokun (26573201),Chris Oladokun,26573201,CPT,9000,KC@PHI 02/12/2023 06:30PM ET,KC,0
WR,DeVonta Smith (26573242),DeVonta Smith,26573242,FLEX,8600,KC@PHI 02/12/2023 06:30PM ET,PHI,14.4125
WR,JuJu Smith-Schuster (26573202),JuJu Smith-Schuster,26573202,CPT,8400,KC@PHI 02/12/2023 06:30PM ET,KC,14.8
RB,Miles Sanders (26573243),Miles Sanders,26573243,FLEX,7800,KC@PHI 02/12/2023 06:30PM ET,PHI,16.125
RB,Kenneth Gainwell (26573203),Kenneth Gainwell,26573203,CPT,7500,KC@PHI 02/12/2023 06:30PM ET,PHI,2.855
RB,Isiah Pacheco (26573244),Isiah Pacheco,26573244,FLEX,7200,KC@PHI 02/12/2023 06:30PM ET,KC,10.2575
WR,Mecole Hardman (26573204),Mecole Hardman,26573204,CPT,7200,KC@PHI 02/12/2023 06:30PM ET,KC,0
RB,Jerick McKinnon (26573245),Jerick McKinnon,26573245,FLEX,6800,KC@PHI 02/12/2023 06:30PM ET,KC,9.3
WR,Kadarius Toney (26573205),Kadarius Toney,26573205,CPT,6600,KC@PHI 02/12/2023 06:30PM ET,KC,15.7575
TE,Dallas Goedert (26573246),Dallas Goedert,26573246,FLEX,6400,KC@PHI 02/12/2023 06:30PM ET,PHI,11.2925
K,Jake Elliott (26573206),Jake Elliott,26573206,CPT,6300,KC@PHI 02/12/2023 06:30PM ET,PHI,9
WR,Marquez Valdes-Scantling (26573247),Marquez Valdes-Scantling,26573247,FLEX,6200,KC@PHI 02/12/2023 06:30PM ET,KC,13.78
QB,Chad Henne (26573248),Chad Henne,26573248,FLEX,6000,KC@PHI 02/12/2023 06:30PM ET,KC,1.08
QB,Ian Book (26573249),Ian Book,26573249,FLEX,6000,KC@PHI 02/12/2023 06:30PM ET,PHI,0
QB,Gardner Minshew II (26573250),Gardner Minshew II,26573250,FLEX,6000,KC@PHI 02/12/2023 06:30PM ET,PHI,6.23
QB,Shane Buechele (26573251),Shane Buechele,26573251,FLEX,6000,KC@PHI 02/12/2023 06:30PM ET,KC,0
QB,Chris Oladokun (26573252),Chris Oladokun,26573252,FLEX,6000,KC@PHI 02/12/2023 06:30PM ET,KC,0
K,Harrison Butker (26573207),Harrison Butker,26573207,CPT,6000,KC@PHI 02/12/2023 06:30PM ET,KC,8.2
WR,Skyy Moore (26573208),Skyy Moore,26573208,CPT,5700,KC@PHI 02/12/2023 06:30PM ET,KC,2.89
WR,JuJu Smith-Schuster (26573253),JuJu Smith-Schuster,26573253,FLEX,5600,KC@PHI 02/12/2023 06:30PM ET,KC,14.8
DST,Eagles  (26573209),Eagles,26573209,CPT,5400,KC@PHI 02/12/2023 06:30PM ET,PHI,2.6
DST,Chiefs  (26573210),Chiefs,26573210,CPT,5100,KC@PHI 02/12/2023 06:30PM ET,KC,1.875
RB,Kenneth Gainwell (26573254),Kenneth Gainwell,26573254,FLEX,5000,KC@PHI 02/12/2023 06:30PM ET,PHI,2.855
WR,Mecole Hardman (26573255),Mecole Hardman,26573255,FLEX,4800,KC@PHI 02/12/2023 06:30PM ET,KC,0
RB,Boston Scott (26573211),Boston Scott,26573211,CPT,4500,KC@PHI 02/12/2023 06:30PM ET,PHI,0.6025
WR,Kadarius Toney (26573256),Kadarius Toney,26573256,FLEX,4400,KC@PHI 02/12/2023 06:30PM ET,KC,15.7575
K,Jake Elliott (26573257),Jake Elliott,26573257,FLEX,4200,KC@PHI 02/12/2023 06:30PM ET,PHI,9
K,Harrison Butker (26573258),Harrison Butker,26573258,FLEX,4000,KC@PHI 02/12/2023 06:30PM ET,KC,8.2
WR,Skyy Moore (26573259),Skyy Moore,26573259,FLEX,3800,KC@PHI 02/12/2023 06:30PM ET,KC,2.89
DST,Eagles  (26573260),Eagles,26573260,FLEX,3600,KC@PHI 02/12/2023 06:30PM ET,PHI,2.6
DST,Chiefs  (26573261),Chiefs,26573261,FLEX,3400,KC@PHI 02/12/2023 06:30PM ET,KC,1.875
RB,Boston Scott (26573262),Boston Scott,26573262,FLEX,3000,KC@PHI 02/12/2023 06:30PM ET,PHI,0.6025
WR,Justin Watson (26573212),Justin Watson,26573212,CPT,3000,KC@PHI 02/12/2023 06:30PM ET,KC,3.37
WR,Quez Watkins (26573213),Quez Watkins,26573213,CPT,2100,KC@PHI 02/12/2023 06:30PM ET,PHI,12.995
WR,Justin Watson (26573263),Justin Watson,26573263,FLEX,2000,KC@PHI 02/12/2023 06:30PM ET,KC,3.37
TE,Noah Gray (26573214),Noah Gray,26573214,CPT,1800,KC@PHI 02/12/2023 06:30PM ET,KC,1.0225
RB,Clyde Edwards-Helaire (26573215),Clyde Edwards-Helaire,26573215,CPT,1500,KC@PHI 02/12/2023 06:30PM ET,KC,0
WR,Quez Watkins (26573264),Quez Watkins,26573264,FLEX,1400,KC@PHI 02/12/2023 06:30PM ET,PHI,12.995
TE,Noah Gray (26573265),Noah Gray,26573265,FLEX,1200,KC@PHI 02/12/2023 06:30PM ET,KC,1.0225
WR,Zach Pascal (26573216),Zach Pascal,26573216,CPT,1200,KC@PHI 02/12/2023 06:30PM ET,PHI,0.49
RB,Clyde Edwards-Helaire (26573266),Clyde Edwards-Helaire,26573266,FLEX,1000,KC@PHI 02/12/2023 06:30PM ET,KC,0
TE,Jack Stoll (26573217),Jack Stoll,26573217,CPT,900,KC@PHI 02/12/2023 06:30PM ET,PHI,1.3
WR,Zach Pascal (26573267),Zach Pascal,26573267,FLEX,800,KC@PHI 02/12/2023 06:30PM ET,PHI,0.49
TE,Jack Stoll (26573268),Jack Stoll,26573268,FLEX,600,KC@PHI 02/12/2023 06:30PM ET,PHI,1.3
TE,Blake Bell (26573218),Blake Bell,26573218,CPT,600,KC@PHI 02/12/2023 06:30PM ET,KC,2.85
TE,Blake Bell (26573269),Blake Bell,26573269,FLEX,400,KC@PHI 02/12/2023 06:30PM ET,KC,2.85
RB,Trey Sermon (26573219),Trey Sermon,26573219,CPT,300,KC@PHI 02/12/2023 06:30PM ET,PHI,0.95
WR,Greg Ward (26573220),Greg Ward,26573220,CPT,300,KC@PHI 02/12/2023 06:30PM ET,PHI,0
WR,Tyrie Cleveland (26573221),Tyrie Cleveland,26573221,CPT,300,KC@PHI 02/12/2023 06:30PM ET,PHI,0.8
WR,Devon Allen (26573222),Devon Allen,26573222,CPT,300,KC@PHI 02/12/2023 06:30PM ET,PHI,0
TE,Tyree Jackson (26573223),Tyree Jackson,26573223,CPT,300,KC@PHI 02/12/2023 06:30PM ET,PHI,0
TE,Noah Togiai (26573224),Noah Togiai,26573224,CPT,300,KC@PHI 02/12/2023 06:30PM ET,PHI,0
TE,Grant Calcaterra (26573225),Grant Calcaterra,26573225,CPT,300,KC@PHI 02/12/2023 06:30PM ET,PHI,0.77
WR,Britain Covey (26573226),Britain Covey,26573226,CPT,300,KC@PHI 02/12/2023 06:30PM ET,PHI,0
RB,Melvin Gordon III (26573227),Melvin Gordon III,26573227,CPT,300,KC@PHI 02/12/2023 06:30PM ET,KC,0
RB,Ronald Jones II (26573228),Ronald Jones II,26573228,CPT,300,KC@PHI 02/12/2023 06:30PM ET,KC,0
WR,Marcus Kemp (26573229),Marcus Kemp,26573229,CPT,300,KC@PHI 02/12/2023 06:30PM ET,KC,0.58
RB,Michael Burton (26573230),Michael Burton,26573230,CPT,300,KC@PHI 02/12/2023 06:30PM ET,KC,0.44
WR,Justyn Ross (26573231),Justyn Ross,26573231,CPT,300,KC@PHI 02/12/2023 06:30PM ET,KC,0
TE,James Winchester (26573232),James Winchester,26573232,CPT,300,KC@PHI 02/12/2023 06:30PM ET,KC,0
TE,Matt Bushman (26573233),Matt Bushman,26573233,CPT,300,KC@PHI 02/12/2023 06:30PM ET,KC,0
TE,Jody Fortson (26573234),Jody Fortson,26573234,CPT,300,KC@PHI 02/12/2023 06:30PM ET,KC,2.2
WR,Ihmir Smith-Marsette (26573235),Ihmir Smith-Marsette,26573235,CPT,300,KC@PHI 02/12/2023 06:30PM ET,KC,0.18
TE,Kendall Blanton (26573236),Kendall Blanton,26573236,CPT,300,KC@PHI 02/12/2023 06:30PM ET,KC,1.38
RB,La'Mical Perine (26573237),La'Mical Perine,26573237,CPT,300,KC@PHI 02/12/2023 06:30PM ET,KC,0
RB,Trey Sermon (26573270),Trey Sermon,26573270,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,PHI,0.95
WR,Greg Ward (26573271),Greg Ward,26573271,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,PHI,0
WR,Tyrie Cleveland (26573272),Tyrie Cleveland,26573272,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,PHI,0.8
WR,Devon Allen (26573273),Devon Allen,26573273,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,PHI,0
TE,Tyree Jackson (26573274),Tyree Jackson,26573274,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,PHI,0
TE,Noah Togiai (26573275),Noah Togiai,26573275,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,PHI,0
TE,Grant Calcaterra (26573276),Grant Calcaterra,26573276,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,PHI,0.77
WR,Britain Covey (26573277),Britain Covey,26573277,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,PHI,0
RB,Melvin Gordon III (26573278),Melvin Gordon III,26573278,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,KC,0
RB,Ronald Jones II (26573279),Ronald Jones II,26573279,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,KC,0
WR,Marcus Kemp (26573280),Marcus Kemp,26573280,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,KC,0.58
RB,Michael Burton (26573281),Michael Burton,26573281,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,KC,0.44
WR,Justyn Ross (26573282),Justyn Ross,26573282,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,KC,0
TE,James Winchester (26573283),James Winchester,26573283,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,KC,0
TE,Matt Bushman (26573284),Matt Bushman,26573284,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,KC,0
TE,Jody Fortson (26573285),Jody Fortson,26573285,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,KC,2.2
WR,Ihmir Smith-Marsette (26573286),Ihmir Smith-Marsette,26573286,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,KC,0.18
TE,Kendall Blanton (26573287),Kendall Blanton,26573287,FLEX,200,KC@PHI 02/12/2023 06:30PM ET,KC,1.38
