Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Max Scherzer (27265096),Max Scherzer,27265096,P,9400,NYM@MIA 03/31/2023 06:40PM ET,NYM,22.7
SP,Robbie Ray (27264706),Robbie Ray,27264706,P,9200,CLE@SEA 03/31/2023 10:10PM ET,SEA,17.32
SP,Justin Verlander (27265097),Justin Verlander,27265097,P,9100,NYM@MIA 03/31/2023 06:40PM ET,NYM,22.97
SP,Walker Buehler (27265098),Walker Buehler,27265098,P,9000,ARI@LAD 03/31/2023 10:10PM ET,LAD,15.14
SP,Dylan Cease (27265099),Dylan Cease,27265099,P,8900,CWS@HOU 03/31/2023 08:10PM ET,CWS,22.34
SP,Clayton Kershaw (27265100),Clayton Kershaw,27265100,P,8900,ARI@LAD 03/31/2023 10:10PM ET,LAD,21.01
SP,Lance Lynn (27264707),Lance Lynn,27264707,P,8800,CWS@HOU 03/31/2023 08:10PM ET,CWS,17
SP,Tony Gonsolin (27265101),Tony Gonsolin,27265101,P,8800,ARI@LAD 03/31/2023 10:10PM ET,LAD,18.5
SP,Shane Bieber (27265104),Shane Bieber,27265104,P,8700,CLE@SEA 03/31/2023 10:10PM ET,CLE,21.13
SP,Framber Valdez (27265103),Framber Valdez,27265103,P,8700,CWS@HOU 03/31/2023 08:10PM ET,HOU,21.69
SP,Kodai Senga (27265102),Kodai Senga,27265102,P,8700,NYM@MIA 03/31/2023 06:40PM ET,NYM,0
SP,Lucas Giolito (27265107),Lucas Giolito,27265107,P,8600,CWS@HOU 03/31/2023 08:10PM ET,CWS,14.8
SP,Julio Urias (27265106),Julio Urias,27265106,P,8600,ARI@LAD 03/31/2023 10:10PM ET,LAD,19.52
SP,Carlos Carrasco (27265105),Carlos Carrasco,27265105,P,8600,NYM@MIA 03/31/2023 06:40PM ET,NYM,15.66
RP,Jimmy Lambert (27265108),Jimmy Lambert,27265108,P,8500,CWS@HOU 03/31/2023 08:10PM ET,CWS,3.02
SP,Noah Syndergaard (27265110),Noah Syndergaard,27265110,P,8500,ARI@LAD 03/31/2023 10:10PM ET,LAD,11.66
SP,Tylor Megill (27265109),Tylor Megill,27265109,P,8500,NYM@MIA 03/31/2023 06:40PM ET,NYM,8.97
SP,Sandy Alcantara (27265111),Sandy Alcantara,27265111,P,8500,NYM@MIA 03/31/2023 06:40PM ET,MIA,23.32
SP,Dustin May (27264708),Dustin May,27264708,P,8400,ARI@LAD 03/31/2023 10:10PM ET,LAD,13.25
SP,Ryan Pepiot (27265112),Ryan Pepiot,27265112,P,8400,ARI@LAD 03/31/2023 10:10PM ET,LAD,12.91
SP,Triston McKenzie (27265114),Triston McKenzie,27265114,P,8300,CLE@SEA 03/31/2023 10:10PM ET,CLE,19.81
SP,Luis Castillo (27265115),Luis Castillo,27265115,P,8300,CLE@SEA 03/31/2023 10:10PM ET,SEA,20.32
SP,Merrill Kelly (27264709),Merrill Kelly,27264709,P,8300,ARI@LAD 03/31/2023 10:10PM ET,ARI,17.24
RP,Trevor Rogers (27265113),Trevor Rogers,27265113,P,8300,NYM@MIA 03/31/2023 06:40PM ET,MIA,10.4
SP,Cristian Javier (27264710),Cristian Javier,27264710,P,8200,CWS@HOU 03/31/2023 08:10PM ET,HOU,19.9
SP,Madison Bumgarner (27265116),Madison Bumgarner,27265116,P,8200,ARI@LAD 03/31/2023 10:10PM ET,ARI,9.83
SP,Yu Darvish (27265119),Yu Darvish,27265119,P,8200,COL@SD 03/31/2023 09:40PM ET,SD,21.2
SP,Edward Cabrera (27265117),Edward Cabrera,27265117,P,8200,NYM@MIA 03/31/2023 06:40PM ET,MIA,16.83
SP,Jose Quintana (27265118),Jose Quintana,27265118,P,8200,NYM@MIA 03/31/2023 06:40PM ET,NYM,13.84
SP,Drey Jameson (27265120),Drey Jameson,27265120,P,8100,ARI@LAD 03/31/2023 10:10PM ET,ARI,22.49
SP,Blake Snell (27265122),Blake Snell,27265122,P,8100,COL@SD 03/31/2023 09:40PM ET,SD,19.16
SP,Braxton Garrett (27265121),Braxton Garrett,27265121,P,8100,NYM@MIA 03/31/2023 06:40PM ET,MIA,14.59
SP,Elieser Hernandez (27265123),Elieser Hernandez,27265123,P,8100,NYM@MIA 03/31/2023 06:40PM ET,NYM,6.42
SP,Aaron Civale (27265127),Aaron Civale,27265127,P,8000,CLE@SEA 03/31/2023 10:10PM ET,CLE,11.88
SP,Ryne Nelson (27265124),Ryne Nelson,27265124,P,8000,ARI@LAD 03/31/2023 10:10PM ET,ARI,20.75
SP,Joe Musgrove (27265126),Joe Musgrove,27265126,P,8000,COL@SD 03/31/2023 09:40PM ET,SD,19.05
RP,Daniel Castano (27265125),Daniel Castano,27265125,P,8000,NYM@MIA 03/31/2023 06:40PM ET,MIA,6.04
SP,Lance McCullers Jr. (27265129),Lance McCullers Jr.,27265129,P,7900,CWS@HOU 03/31/2023 08:10PM ET,HOU,18.34
SP,Zach Davies (27265128),Zach Davies,27265128,P,7900,ARI@LAD 03/31/2023 10:10PM ET,ARI,10.62
SP,Logan Gilbert (27265131),Logan Gilbert,27265131,P,7800,CLE@SEA 03/31/2023 10:10PM ET,SEA,17.05
SP,Corbin Martin (27265130),Corbin Martin,27265130,P,7800,ARI@LAD 03/31/2023 10:10PM ET,ARI,6.58
SP,Jesus Luzardo (27264711),Jesus Luzardo,27264711,P,7800,NYM@MIA 03/31/2023 06:40PM ET,MIA,19.12
SP,Michael Kopech (27265133),Michael Kopech,27265133,P,7700,CWS@HOU 03/31/2023 08:10PM ET,CWS,12.7
RP,Tyler Gilbert (27265132),Tyler Gilbert,27265132,P,7700,ARI@LAD 03/31/2023 10:10PM ET,ARI,6.36
RP,Humberto Castellanos (27265134),Humberto Castellanos,27265134,P,7600,ARI@LAD 03/31/2023 10:10PM ET,ARI,7.29
SP,Jose Urquidy (27265135),Jose Urquidy,27265135,P,7500,CWS@HOU 03/31/2023 08:10PM ET,HOU,14.66
SP,Zac Gallen (27265137),Zac Gallen,27265137,P,7500,ARI@LAD 03/31/2023 10:10PM ET,ARI,20.45
SP,Johnny Cueto (27265136),Johnny Cueto,27265136,P,7500,NYM@MIA 03/31/2023 06:40PM ET,MIA,14.27
SP,Cal Quantrill (27265139),Cal Quantrill,27265139,P,7400,CLE@SEA 03/31/2023 10:10PM ET,CLE,14.01
SP,Chi Chi Gonzalez (27265138),Chi Chi Gonzalez,27265138,P,7400,NYM@MIA 03/31/2023 06:40PM ET,MIA,4.39
RP,Nick Martinez (27264712),Nick Martinez,27264712,P,7300,COL@SD 03/31/2023 09:40PM ET,SD,5.93
SP,Kyle Freeland (27264713),Kyle Freeland,27264713,P,7200,COL@SD 03/31/2023 09:40PM ET,COL,11.54
SP,Michael Wacha (27265140),Michael Wacha,27265140,P,7200,COL@SD 03/31/2023 09:40PM ET,SD,15.74
SP,German Marquez (27265141),German Marquez,27265141,P,7200,COL@SD 03/31/2023 09:40PM ET,COL,12.7
SP,Dinelson Lamet (27265142),Dinelson Lamet,27265142,P,7100,COL@SD 03/31/2023 09:40PM ET,COL,2.72
SP,Marco Gonzales (27265143),Marco Gonzales,27265143,P,7000,CLE@SEA 03/31/2023 10:10PM ET,SEA,10.6
RP,Bryan Garcia (27265144),Bryan Garcia,27265144,P,7000,CWS@HOU 03/31/2023 08:10PM ET,HOU,13.89
SP,Zach Plesac (27265146),Zach Plesac,27265146,P,6900,CLE@SEA 03/31/2023 10:10PM ET,CLE,10.81
RP,Luis Garcia (27265147),Luis Garcia,27265147,P,6900,CWS@HOU 03/31/2023 08:10PM ET,HOU,16.76
RP,Devin Smeltzer (27265145),Devin Smeltzer,27265145,P,6900,NYM@MIA 03/31/2023 06:40PM ET,MIA,9.87
SP,Josh Rogers (27265148),Josh Rogers,27265148,P,6800,COL@SD 03/31/2023 09:40PM ET,COL,2.52
SP,Tommy Henry (27265150),Tommy Henry,27265150,P,6700,ARI@LAD 03/31/2023 10:10PM ET,ARI,10.13
SP,Austin Gomber (27265149),Austin Gomber,27265149,P,6700,COL@SD 03/31/2023 09:40PM ET,COL,7.05
RP,Michael Grove (27265152),Michael Grove,27265152,P,6600,ARI@LAD 03/31/2023 10:10PM ET,LAD,8.97
RP,Logan Allen (27265151),Logan Allen,27265151,P,6600,COL@SD 03/31/2023 09:40PM ET,COL,2.06
SP,David Peterson (27264714),David Peterson,27264714,P,6600,NYM@MIA 03/31/2023 06:40PM ET,NYM,11.79
SP,George Kirby (27265155),George Kirby,27265155,P,6500,CLE@SEA 03/31/2023 10:10PM ET,SEA,15.55
SP,A.J. Alexy (27265153),A.J. Alexy,27265153,P,6500,CWS@HOU 03/31/2023 08:10PM ET,CWS,0.59
SP,Jared Koenig (27265154),Jared Koenig,27265154,P,6500,COL@SD 03/31/2023 09:40PM ET,SD,5.05
SP,Touki Toussaint (27265159),Touki Toussaint,27265159,P,6400,CLE@SEA 03/31/2023 10:10PM ET,CLE,8.02
SP,Mike Clevinger (27265156),Mike Clevinger,27265156,P,6400,CWS@HOU 03/31/2023 08:10PM ET,CWS,10.39
SP,Jose Urena (27265157),Jose Urena,27265157,P,6400,COL@SD 03/31/2023 09:40PM ET,COL,7.45
SP,Max Meyer (27265158),Max Meyer,27265158,P,6400,NYM@MIA 03/31/2023 06:40PM ET,MIA,5.05
RP,Hunter Brown (27265162),Hunter Brown,27265162,P,6300,CWS@HOU 03/31/2023 08:10PM ET,HOU,8.78
RP,Blake Treinen (27265161),Blake Treinen,27265161,P,6300,ARI@LAD 03/31/2023 10:10PM ET,LAD,4.08
SP,Peter Lambert (27265160),Peter Lambert,27265160,P,6300,COL@SD 03/31/2023 09:40PM ET,COL,0
RP,Josh Hader (27265163),Josh Hader,27265163,P,6200,COL@SD 03/31/2023 09:40PM ET,SD,3.52
SP,Chris Flexen (27265165),Chris Flexen,27265165,P,6100,CLE@SEA 03/31/2023 10:10PM ET,SEA,9.3
RP,Robert Suarez (27265164),Robert Suarez,27265164,P,6100,COL@SD 03/31/2023 09:40PM ET,SD,4.23
SP,Ryan Feltner (27265166),Ryan Feltner,27265166,P,6100,COL@SD 03/31/2023 09:40PM ET,COL,9.59
OF,Mookie Betts (27264716),Mookie Betts,27264716,OF,6000,ARI@LAD 03/31/2023 10:10PM ET,LAD,9.63
RP,Evan Phillips (27265169),Evan Phillips,27265169,P,6000,ARI@LAD 03/31/2023 10:10PM ET,LAD,4.41
