Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Kyle Larson (26774369),Kyle Larson,26774369,D,10800,Pala Casino 400,Nasca,32.3
D,Denny Hamlin (26774370),Denny Hamlin,26774370,D,10600,Pala Casino 400,Nasca,38.38
D,Chase Elliott (26774371),Chase Elliott,26774371,D,10500,Pala Casino 400,Nasca,14.38
D,Kyle Busch (26774372),Kyle Busch,26774372,D,10300,Pala Casino 400,Nasca,36.45
D,Ryan Blaney (26774373),Ryan Blaney,26774373,D,10100,Pala Casino 400,Nasca,37.15
D,Ross Chastain (26774374),Ross Chastain,26774374,D,9900,Pala Casino 400,Nasca,40.67
D,Joey Logano (26774375),Joey Logano,26774375,D,9700,Pala Casino 400,Nasca,43.8
D,Christopher Bell (26774376),Christopher Bell,26774376,D,9500,Pala Casino 400,Nasca,47.83
D,Martin Truex Jr (26774377),Martin Truex Jr,26774377,D,9300,Pala Casino 400,Nasca,43.87
D,Tyler Reddick (26774378),Tyler Reddick,26774378,D,9100,Pala Casino 400,Nasca,20.57
D,William Byron (26774379),William Byron,26774379,D,8900,Pala Casino 400,Nasca,18.7
D,Bubba Wallace (26774380),Bubba Wallace,26774380,D,8700,Pala Casino 400,Nasca,26.3
D,Kevin Harvick (26774381),Kevin Harvick,26774381,D,8500,Pala Casino 400,Nasca,37.65
D,Alex Bowman (26774382),Alex Bowman,26774382,D,8300,Pala Casino 400,Nasca,31.32
D,Austin Dillon (26774383),Austin Dillon,26774383,D,8100,Pala Casino 400,Nasca,30.17
D,Brad Keselowski (26774384),Brad Keselowski,26774384,D,7900,Pala Casino 400,Nasca,33.78
D,Austin Cindric (26774385),Austin Cindric,26774385,D,7800,Pala Casino 400,Nasca,22.82
D,Erik Jones (26774386),Erik Jones,26774386,D,7700,Pala Casino 400,Nasca,11.75
D,Chase Briscoe (26774387),Chase Briscoe,26774387,D,7500,Pala Casino 400,Nasca,14.4
D,Daniel Suarez (26774388),Daniel Suarez,26774388,D,7300,Pala Casino 400,Nasca,36.1
D,Ricky Stenhouse Jr (26774389),Ricky Stenhouse Jr,26774389,D,7100,Pala Casino 400,Nasca,55.5
D,Chris Buescher (26774390),Chris Buescher,26774390,D,6900,Pala Casino 400,Nasca,48.68
D,Ryan Preece (26774391),Ryan Preece,26774391,D,6700,Pala Casino 400,Nasca,29.85
D,Aric Almirola (26774392),Aric Almirola,26774392,D,6500,Pala Casino 400,Nasca,25.67
D,AJ Allmendinger (26774393),AJ Allmendinger,26774393,D,6400,Pala Casino 400,Nasca,41.1
D,Noah Gragson (26774394),Noah Gragson,26774394,D,6200,Pala Casino 400,Nasca,27.08
D,Ty Gibbs (26774395),Ty Gibbs,26774395,D,6100,Pala Casino 400,Nasca,19.95
D,Justin Haley (26774396),Justin Haley,26774396,D,5900,Pala Casino 400,Nasca,23.32
D,Michael McDowell (26774397),Michael McDowell,26774397,D,5700,Pala Casino 400,Nasca,21.47
D,Harrison Burton (26774398),Harrison Burton,26774398,D,5500,Pala Casino 400,Nasca,21.58
D,Ty Dillon (26774399),Ty Dillon,26774399,D,5300,Pala Casino 400,Nasca,10.12
D,Corey Lajoie (26774400),Corey Lajoie,26774400,D,5200,Pala Casino 400,Nasca,39.85
D,Todd Gilliland (26774401),Todd Gilliland,26774401,D,5000,Pala Casino 400,Nasca,24.62
D,Cody Ware (26774402),Cody Ware,26774402,D,4900,Pala Casino 400,Nasca,38.25
D,BJ McLeod (26774403),BJ McLeod,26774403,D,4800,Pala Casino 400,Nasca,23.08
D,JJ Yeley (26774404),JJ Yeley,26774404,D,4700,Pala Casino 400,Nasca,0
