Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (26680559),Luka Doncic,26680559,PG/G/UTIL,12100,MIN@DAL 02/13/2023 08:30PM ET,DAL,61.50
C,Nikola Jokic (26680562),Nikola Jokic,26680562,C/UTIL,12000,DEN@MIA 02/13/2023 07:30PM ET,DEN,59.47
C,Joel Embiid (26680564),Joel Embiid,26680564,C/UTIL,11400,HOU@PHI 02/13/2023 07:00PM ET,PHI,57.41
PG,Damian Lillard (26680566),Damian Lillard,26680566,PG/G/UTIL,11100,LAL@POR 02/13/2023 10:00PM ET,POR,50.43
SF,LeBron James (26680569),LeBron James,26680569,SF/F/UTIL,10800,LAL@POR 02/13/2023 10:00PM ET,LAL,54.51
PG,Shai Gilgeous-Alexander (26680572),Shai Gilgeous-Alexander,26680572,PG/G/UTIL,10700,NOP@OKC 02/13/2023 08:00PM ET,OKC,49.92
C,Anthony Davis (26680575),Anthony Davis,26680575,C/UTIL,10600,LAL@POR 02/13/2023 10:00PM ET,LAL,51.63
PG,LaMelo Ball (26680577),LaMelo Ball,26680577,PG/G/UTIL,10400,ATL@CHA 02/13/2023 07:00PM ET,CHA,47.32
PG/SG,Kyrie Irving (26680580),Kyrie Irving,26680580,PG/SG/G/UTIL,10300,MIN@DAL 02/13/2023 08:30PM ET,DAL,45.80
PF/C,Julius Randle (26680584),Julius Randle,26680584,PF/C/F/UTIL,10100,BKN@NYK 02/13/2023 07:30PM ET,NYK,47.38
PG,Stephen Curry (26680588),Stephen Curry,26680588,PG/G/UTIL,10000,WAS@GSW 02/13/2023 10:00PM ET,GSW,51.09
PF/C,Kristaps Porzingis (26680591),Kristaps Porzingis,26680591,PF/C/F/UTIL,9900,WAS@GSW 02/13/2023 10:00PM ET,WAS,42.52
PG,James Harden (26680595),James Harden,26680595,PG/G/UTIL,9800,HOU@PHI 02/13/2023 07:00PM ET,PHI,49.80
PG,Trae Young (26680598),Trae Young,26680598,PG/G/UTIL,9700,ATL@CHA 02/13/2023 07:00PM ET,ATL,47.99
SG/SF,Anthony Edwards (26680601),Anthony Edwards,26680601,SG/SF/F/G/UTIL,9600,MIN@DAL 02/13/2023 08:30PM ET,MIN,43.29
C,Bam Adebayo (26680606),Bam Adebayo,26680606,C/UTIL,9400,DEN@MIA 02/13/2023 07:30PM ET,MIA,42.58
PF/C,Zion Williamson (26680608),Zion Williamson,26680608,PF/C/F/UTIL,9300,NOP@OKC 02/13/2023 08:00PM ET,NOP,43.57
PG,Tyrese Haliburton (26680612),Tyrese Haliburton,26680612,PG/G/UTIL,9200,UTA@IND 02/13/2023 07:00PM ET,IND,44.89
SF/PF,Lauri Markkanen (26680615),Lauri Markkanen,26680615,SF/PF/F/UTIL,9100,UTA@IND 02/13/2023 07:00PM ET,UTA,41.97
C,Nikola Vucevic (26680619),Nikola Vucevic,26680619,C/UTIL,9000,ORL@CHI 02/13/2023 08:00PM ET,CHI,41.26
PG/SG,Dejounte Murray (26680621),Dejounte Murray,26680621,PG/SG/G/UTIL,8900,ATL@CHA 02/13/2023 07:00PM ET,ATL,41.20
PG,Jalen Brunson (26680625),Jalen Brunson,26680625,PG/G/UTIL,8800,BKN@NYK 02/13/2023 07:30PM ET,NYK,39.81
PG/SG,Donovan Mitchell (26680628),Donovan Mitchell,26680628,PG/SG/G/UTIL,8700,SAS@CLE 02/13/2023 07:00PM ET,CLE,43.47
C,Karl-Anthony Towns (26680632),Karl-Anthony Towns,26680632,C/UTIL,8600,MIN@DAL 02/13/2023 08:30PM ET,MIN,41.71
PF,Jimmy Butler (26680634),Jimmy Butler,26680634,PF/F/UTIL,8500,DEN@MIA 02/13/2023 07:30PM ET,MIA,41.21
SG/SF,Zach LaVine (26680637),Zach LaVine,26680637,SG/SF/F/G/UTIL,8400,ORL@CHI 02/13/2023 08:00PM ET,CHI,38.31
SF/PF,DeMar DeRozan (26680642),DeMar DeRozan,26680642,SF/PF/F/UTIL,8300,ORL@CHI 02/13/2023 08:00PM ET,CHI,41.19
PG/SG,Jamal Murray (26680650),Jamal Murray,26680650,PG/SG/G/UTIL,8200,DEN@MIA 02/13/2023 07:30PM ET,DEN,36.72
SF/PF,Kyle Kuzma (26680646),Kyle Kuzma,26680646,SF/PF/F/UTIL,8200,WAS@GSW 02/13/2023 10:00PM ET,WAS,38.82
PG,Darius Garland (26680656),Darius Garland,26680656,PG/G/UTIL,8100,SAS@CLE 02/13/2023 07:00PM ET,CLE,40.21
C,Alperen Sengun (26680654),Alperen Sengun,26680654,C/UTIL,8100,HOU@PHI 02/13/2023 07:00PM ET,HOU,35.08
PG,Spencer Dinwiddie (26680664),Spencer Dinwiddie,26680664,PG/G/UTIL,8000,BKN@NYK 02/13/2023 07:30PM ET,BKN,32.24
SG/SF,Klay Thompson (26680659),Klay Thompson,26680659,SG/SF/F/G/UTIL,8000,WAS@GSW 02/13/2023 10:00PM ET,GSW,33.22
SG,Cam Thomas (26680671),Cam Thomas,26680671,SG/G/UTIL,7900,BKN@NYK 02/13/2023 07:30PM ET,BKN,16.01
PG/SG,Josh Giddey (26680667),Josh Giddey,26680667,PG/SG/G/UTIL,7900,NOP@OKC 02/13/2023 08:00PM ET,OKC,37.14
SG,Brandon Ingram (26680674),Brandon Ingram,26680674,SG/G/UTIL,7800,NOP@OKC 02/13/2023 08:00PM ET,NOP,37.88
PG/SG,Jordan Poole (26680677),Jordan Poole,26680677,PG/SG/G/UTIL,7800,WAS@GSW 02/13/2023 10:00PM ET,GSW,33.11
PG,CJ McCollum (26680681),CJ McCollum,26680681,PG/G/UTIL,7700,NOP@OKC 02/13/2023 08:00PM ET,NOP,38.64
PF/C,Christian Wood (26680684),Christian Wood,26680684,PF/C/F/UTIL,7700,MIN@DAL 02/13/2023 08:30PM ET,DAL,33.90
SG,Bradley Beal (26680688),Bradley Beal,26680688,SG/G/UTIL,7600,WAS@GSW 02/13/2023 10:00PM ET,WAS,37.33
PG,Kevin Porter Jr. (26680691),Kevin Porter Jr.,26680691,PG/G/UTIL,7600,HOU@PHI 02/13/2023 07:00PM ET,HOU,37.41
PG/SG,Terry Rozier (26680697),Terry Rozier,26680697,PG/SG/G/UTIL,7500,ATL@CHA 02/13/2023 07:00PM ET,CHA,37.32
SG,Tyler Herro (26680694),Tyler Herro,26680694,SG/G/UTIL,7400,DEN@MIA 02/13/2023 07:30PM ET,MIA,37.28
PF/C,Evan Mobley (26680701),Evan Mobley,26680701,PF/C/F/UTIL,7400,SAS@CLE 02/13/2023 07:00PM ET,CLE,34.74
SF/PF,Paolo Banchero (26680711),Paolo Banchero,26680711,SF/PF/F/UTIL,7300,ORL@CHI 02/13/2023 08:00PM ET,ORL,36.28
C,Myles Turner (26680705),Myles Turner,26680705,C/UTIL,7300,UTA@IND 02/13/2023 07:00PM ET,IND,35.85
PG/SG,D'Angelo Russell (26680707),D'Angelo Russell,26680707,PG/SG/G/UTIL,7300,LAL@POR 02/13/2023 10:00PM ET,LAL,34.12
C,Nicolas Claxton (26680718),Nicolas Claxton,26680718,C/UTIL,7200,BKN@NYK 02/13/2023 07:30PM ET,BKN,33.65
