Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints,EWAvgPoints
PF/C,Giannis Antetokounmpo (27125684),Giannis Antetokounmpo,27125684,PF/C/F/UTIL,12000,TOR@MIL 03/19/2023 08:00PM ET,MIL,57.22,L,68.664,18
C,Anthony Davis (27125688),Anthony Davis,27125688,C/UTIL,10700,ORL@LAL 03/19/2023 09:30PM ET,LAL,51.81,L,67.353,19.5
PG,Damian Lillard (27125690),Damian Lillard,27125690,PG/G/UTIL,10500,LAC@POR 03/19/2023 09:00PM ET,POR,52.47,L,68.211,19.5
SF,LeBron James (27125693),LeBron James,27125693,SF/F/UTIL,10400,ORL@LAL 03/19/2023 09:30PM ET,LAL,53.52,O,53.52,15
SF/PF,Kawhi Leonard (27125696),Kawhi Leonard,27125696,SF/PF/F/UTIL,9500,LAC@POR 03/19/2023 09:00PM ET,LAC,41.76,L,41.76,15
SG/SF,Paul George (27125700),Paul George,27125700,SG/SF/F/G/UTIL,9100,LAC@POR 03/19/2023 09:00PM ET,LAC,42.69,L,51.228,18
PF/C,Pascal Siakam (27125705),Pascal Siakam,27125705,PF/C/F/UTIL,8700,TOR@MIL 03/19/2023 08:00PM ET,TOR,45.5,L,50.05,16.5
SF,Jimmy Butler (27125709),Jimmy Butler,27125709,SF/F/UTIL,8600,MIA@DET 03/19/2023 06:00PM ET,MIA,41.91,L,41.91,15
PG,Fred VanVleet (27125712),Fred VanVleet,27125712,PG/G/UTIL,8500,TOR@MIL 03/19/2023 08:00PM ET,TOR,40.66,L,48.792,18
PG,Jrue Holiday (27125715),Jrue Holiday,27125715,PG/G/UTIL,8400,TOR@MIL 03/19/2023 08:00PM ET,MIL,40.02,L,40.02,15
PF/C,Zion Williamson (27125718),Zion Williamson,27125718,PF/C/F/UTIL,8300,NOP@HOU 03/19/2023 07:00PM ET,NOP,43.57,O,43.57,15
SF,Brandon Ingram (27125722),Brandon Ingram,27125722,SF/F/UTIL,8200,NOP@HOU 03/19/2023 07:00PM ET,NOP,38.14,L,53.396,21
PG/SG,D'Angelo Russell (27125725),D'Angelo Russell,27125725,PG/SG/G/UTIL,8100,ORL@LAL 03/19/2023 09:30PM ET,LAL,34.23,L,44.499,19.5
C,Bam Adebayo (27125729),Bam Adebayo,27125729,C/UTIL,8000,MIA@DET 03/19/2023 06:00PM ET,MIA,41.06,L,53.378,19.5
SF,Khris Middleton (27125731),Khris Middleton,27125731,SF/F/UTIL,7900,TOR@MIL 03/19/2023 08:00PM ET,MIL,28.52,L,31.372,15
PG,CJ McCollum (27125734),CJ McCollum,27125734,PG/G/UTIL,7800,NOP@HOU 03/19/2023 07:00PM ET,NOP,38.41,L,49.933,19.5
