Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
PF/C,Giannis Antetokounmpo (27190349),Giannis Antetokounmpo,27190349,PF/C/F/UTIL,11600,MIL@DEN 03/25/2023 09:00PM ET,MIL,57.12,L,68.544
C,Joel Embiid (27190353),Joel Embiid,27190353,C/UTIL,11500,PHI@PHX 03/25/2023 10:00PM ET,PHI,57.82,L,63.602
C,Nikola Jokic (27190355),Nikola Jokic,27190355,C/UTIL,11300,MIL@DEN 03/25/2023 09:00PM ET,DEN,59.53,L,71.436
C,Domantas Sabonis (27190357),Domantas Sabonis,27190357,C/UTIL,10200,UTA@SAC 03/25/2023 10:00PM ET,SAC,48.8,L,63.44
SF/PF,Kawhi Leonard (27190359),Kawhi Leonard,27190359,SF/PF/F/UTIL,10100,NOP@LAC 03/25/2023 10:30PM ET,LAC,41.97,L,50.364
SG,Devin Booker (27190363),Devin Booker,27190363,SG/G/UTIL,10000,PHI@PHX 03/25/2023 10:00PM ET,PHX,44.5,L,48.95
SF/PF,Kevin Durant (27190366),Kevin Durant,27190366,SF/PF/F/UTIL,9700,PHI@PHX 03/25/2023 10:00PM ET,PHX,49.68,O,49.68
PG,James Harden (27190370),James Harden,27190370,PG/G/UTIL,9600,PHI@PHX 03/25/2023 10:00PM ET,PHI,49.98,L,49.98
SG/SF,Paul George (27190373),Paul George,27190373,SG/SF/F/G/UTIL,9300,NOP@LAC 03/25/2023 10:30PM ET,LAC,42.92,O,42.92
SF,Lauri Markkanen (27190378),Lauri Markkanen,27190378,SF/F/UTIL,9000,UTA@SAC 03/25/2023 10:00PM ET,UTA,42.91,O,51.492
SF,Brandon Ingram (27190381),Brandon Ingram,27190381,SF/F/UTIL,8900,NOP@LAC 03/25/2023 10:30PM ET,NOP,39.26,L,43.186
SF,Jimmy Butler (27190384),Jimmy Butler,27190384,SF/F/UTIL,8700,BKN@MIA 03/25/2023 08:00PM ET,MIA,42.37,L,50.844
PG,De'Aaron Fox (27190387),De'Aaron Fox,27190387,PG/G/UTIL,8400,UTA@SAC 03/25/2023 10:00PM ET,SAC,42.31,L,42.31
PG,Spencer Dinwiddie (27190390),Spencer Dinwiddie,27190390,PG/G/UTIL,8300,BKN@MIA 03/25/2023 08:00PM ET,BKN,33.75,L,37.125
PG,Russell Westbrook (27190393),Russell Westbrook,27190393,PG/G/UTIL,8200,NOP@LAC 03/25/2023 10:30PM ET,LAC,36.65,L,43.98
PG,CJ McCollum (27190396),CJ McCollum,27190396,PG/G/UTIL,8100,NOP@LAC 03/25/2023 10:30PM ET,NOP,38.42,L,38.42
PF/C,Zion Williamson (27190399),Zion Williamson,27190399,PF/C/F/UTIL,8000,NOP@LAC 03/25/2023 10:30PM ET,NOP,43.57,O,43.57
PG,Jrue Holiday (27190403),Jrue Holiday,27190403,PG/G/UTIL,7800,MIL@DEN 03/25/2023 09:00PM ET,MIL,39.47,L,39.47
SF,Khris Middleton (27190406),Khris Middleton,27190406,SF/F/UTIL,7700,MIL@DEN 03/25/2023 09:00PM ET,MIL,29.3,L,29.3
PG,Jamal Murray (27190409),Jamal Murray,27190409,PG/G/UTIL,7600,MIL@DEN 03/25/2023 09:00PM ET,DEN,37.01,L,40.711
C,Bam Adebayo (27190414),Bam Adebayo,27190414,C/UTIL,7500,BKN@MIA 03/25/2023 08:00PM ET,MIA,41.01,L,41.01
C,Jonas Valanciunas (27190412),Jonas Valanciunas,27190412,C/UTIL,7500,NOP@LAC 03/25/2023 10:30PM ET,NOP,31,L,37.2
PG/SG,Jordan Clarkson (27190416),Jordan Clarkson,27190416,PG/SG/G/UTIL,7500,UTA@SAC 03/25/2023 10:00PM ET,UTA,33.84,O,33.84
C,Deandre Ayton (27190420),Deandre Ayton,27190420,C/UTIL,7400,PHI@PHX 03/25/2023 10:00PM ET,PHX,36.36,L,36.36
PG/SG,Tyrese Maxey (27190422),Tyrese Maxey,27190422,PG/SG/G/UTIL,7300,PHI@PHX 03/25/2023 10:00PM ET,PHI,31.34,L,31.34
PG,Chris Paul (27190426),Chris Paul,27190426,PG/G/UTIL,7200,PHI@PHX 03/25/2023 10:00PM ET,PHX,36.88,L,40.568
SG,Mikal Bridges (27190429),Mikal Bridges,27190429,SG/G/UTIL,7100,BKN@MIA 03/25/2023 08:00PM ET,BKN,33.74,L,37.114
C,Brook Lopez (27190432),Brook Lopez,27190432,C/UTIL,7000,MIL@DEN 03/25/2023 09:00PM ET,MIL,32.46,L,32.46
PG/SG,Talen Horton-Tucker (27190434),Talen Horton-Tucker,27190434,PG/SG/G/UTIL,6900,UTA@SAC 03/25/2023 10:00PM ET,UTA,20.07,L,34.119
C,Walker Kessler (27190438),Walker Kessler,27190438,C/UTIL,6800,UTA@SAC 03/25/2023 10:00PM ET,UTA,25.65,L,25.65
PG/SG,Tyler Herro (27190440),Tyler Herro,27190440,PG/SG/G/UTIL,6700,BKN@MIA 03/25/2023 08:00PM ET,MIA,36.24,L,39.864
