Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Jordan Love (31569449),Jordan Love,31569449,CPT,17400,GB@NYG 12/11/2023 08:15PM ET,GB,19.56
RB,Saquon Barkley (31569450),Saquon Barkley,31569450,CPT,16800,GB@NYG 12/11/2023 08:15PM ET,NYG,16.28
RB,Aaron Jones (31569451),Aaron Jones,31569451,CPT,15900,GB@NYG 12/11/2023 08:15PM ET,GB,11.06
QB,Tommy DeVito (31569452),Tommy DeVito,31569452,CPT,14700,GB@NYG 12/11/2023 08:15PM ET,NYG,13.24
WR,Jayden Reed (31569453),Jayden Reed,31569453,CPT,13800,GB@NYG 12/11/2023 08:15PM ET,GB,11.45
WR,Romeo Doubs (31569454),Romeo Doubs,31569454,CPT,13200,GB@NYG 12/11/2023 08:15PM ET,GB,11.46
RB,AJ Dillon (31569455),AJ Dillon,31569455,CPT,12900,GB@NYG 12/11/2023 08:15PM ET,GB,8.16
WR,Christian Watson (31569456),Christian Watson,31569456,CPT,12000,GB@NYG 12/11/2023 08:15PM ET,GB,0
QB,Jordan Love (31569394),Jordan Love,31569394,FLEX,11600,GB@NYG 12/11/2023 08:15PM ET,GB,19.56
RB,Saquon Barkley (31569395),Saquon Barkley,31569395,FLEX,11200,GB@NYG 12/11/2023 08:15PM ET,NYG,16.28
TE,Darren Waller (31569457),Darren Waller,31569457,CPT,10800,GB@NYG 12/11/2023 08:15PM ET,NYG,0
RB,Aaron Jones (31569396),Aaron Jones,31569396,FLEX,10600,GB@NYG 12/11/2023 08:15PM ET,GB,11.06
WR,Jalin Hyatt (31569458),Jalin Hyatt,31569458,CPT,10500,GB@NYG 12/11/2023 08:15PM ET,NYG,4.42
DST,Packers  (31569459),Packers ,31569459,CPT,9900,GB@NYG 12/11/2023 08:15PM ET,GB,6.92
QB,Tommy DeVito (31569397),Tommy DeVito,31569397,FLEX,9800,GB@NYG 12/11/2023 08:15PM ET,NYG,13.24
WR,Jayden Reed (31569398),Jayden Reed,31569398,FLEX,9200,GB@NYG 12/11/2023 08:15PM ET,GB,11.45
QB,Tyrod Taylor (31569460),Tyrod Taylor,31569460,CPT,9000,GB@NYG 12/11/2023 08:15PM ET,NYG,0
QB,Daniel Jones (31569461),Daniel Jones,31569461,CPT,9000,GB@NYG 12/11/2023 08:15PM ET,NYG,0
QB,Alex McGough (31569462),Alex McGough,31569462,CPT,9000,GB@NYG 12/11/2023 08:15PM ET,GB,0
QB,Matt Barkley (31569463),Matt Barkley,31569463,CPT,9000,GB@NYG 12/11/2023 08:15PM ET,NYG,0
QB,Sean Clifford (31569464),Sean Clifford,31569464,CPT,9000,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Romeo Doubs (31569399),Romeo Doubs,31569399,FLEX,8800,GB@NYG 12/11/2023 08:15PM ET,GB,11.46
RB,AJ Dillon (31569400),AJ Dillon,31569400,FLEX,8600,GB@NYG 12/11/2023 08:15PM ET,GB,8.16
K,Anders Carlson (31569465),Anders Carlson,31569465,CPT,8400,GB@NYG 12/11/2023 08:15PM ET,GB,6.75
WR,Christian Watson (31569401),Christian Watson,31569401,FLEX,8000,GB@NYG 12/11/2023 08:15PM ET,GB,0
WR,Dontayvion Wicks (31569466),Dontayvion Wicks,31569466,CPT,7800,GB@NYG 12/11/2023 08:15PM ET,GB,6.00
K,Graham Gano (31569467),Graham Gano,31569467,CPT,7500,GB@NYG 12/11/2023 08:15PM ET,NYG,0
K,Cade York (31569468),Cade York,31569468,CPT,7500,GB@NYG 12/11/2023 08:15PM ET,NYG,0
K,Randy Bullock (31569469),Randy Bullock,31569469,CPT,7500,GB@NYG 12/11/2023 08:15PM ET,NYG,4.5
TE,Darren Waller (31569402),Darren Waller,31569402,FLEX,7200,GB@NYG 12/11/2023 08:15PM ET,NYG,0
WR,Jalin Hyatt (31569403),Jalin Hyatt,31569403,FLEX,7000,GB@NYG 12/11/2023 08:15PM ET,NYG,4.42
WR,Wan'Dale Robinson (31569470),Wan'Dale Robinson,31569470,CPT,6900,GB@NYG 12/11/2023 08:15PM ET,NYG,7.12
DST,Packers  (31569404),Packers ,31569404,FLEX,6600,GB@NYG 12/11/2023 08:15PM ET,GB,6.92
QB,Tyrod Taylor (31569405),Tyrod Taylor,31569405,FLEX,6000,GB@NYG 12/11/2023 08:15PM ET,NYG,0
QB,Daniel Jones (31569406),Daniel Jones,31569406,FLEX,6000,GB@NYG 12/11/2023 08:15PM ET,NYG,0
QB,Alex McGough (31569407),Alex McGough,31569407,FLEX,6000,GB@NYG 12/11/2023 08:15PM ET,GB,0
QB,Matt Barkley (31569408),Matt Barkley,31569408,FLEX,6000,GB@NYG 12/11/2023 08:15PM ET,NYG,0
QB,Sean Clifford (31569409),Sean Clifford,31569409,FLEX,6000,GB@NYG 12/11/2023 08:15PM ET,GB,0
