Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,CeeDee Lamb (31349859),CeeDee Lamb,31349859,CPT,17100,SEA@DAL 11/30/2023 08:15PM ET,DAL,22.54
QB,Dak Prescott (31349860),Dak Prescott,31349860,CPT,16500,SEA@DAL 11/30/2023 08:15PM ET,DAL,22.23
RB,Tony Pollard (31349861),Tony Pollard,31349861,CPT,14700,SEA@DAL 11/30/2023 08:15PM ET,DAL,14.29
WR,DK Metcalf (31349862),DK Metcalf,31349862,CPT,14400,SEA@DAL 11/30/2023 08:15PM ET,SEA,13.18
QB,Geno Smith (31349863),Geno Smith,31349863,CPT,13800,SEA@DAL 11/30/2023 08:15PM ET,SEA,14.70
RB,Kenneth Walker III (31349864),Kenneth Walker III,31349864,CPT,12600,SEA@DAL 11/30/2023 08:15PM ET,SEA,14.06
WR,Brandin Cooks (31349865),Brandin Cooks,31349865,CPT,12000,SEA@DAL 11/30/2023 08:15PM ET,DAL,10.75
WR,CeeDee Lamb (31349909),CeeDee Lamb,31349909,FLEX,11400,SEA@DAL 11/30/2023 08:15PM ET,DAL,22.54
QB,Dak Prescott (31349910),Dak Prescott,31349910,FLEX,11000,SEA@DAL 11/30/2023 08:15PM ET,DAL,22.23
WR,Tyler Lockett (31349866),Tyler Lockett,31349866,CPT,10800,SEA@DAL 11/30/2023 08:15PM ET,SEA,12.5
RB,Zach Charbonnet (31349867),Zach Charbonnet,31349867,CPT,10200,SEA@DAL 11/30/2023 08:15PM ET,SEA,6.41
RB,Tony Pollard (31349911),Tony Pollard,31349911,FLEX,9800,SEA@DAL 11/30/2023 08:15PM ET,DAL,14.29
WR,DK Metcalf (31349912),DK Metcalf,31349912,FLEX,9600,SEA@DAL 11/30/2023 08:15PM ET,SEA,13.18
TE,Jake Ferguson (31349868),Jake Ferguson,31349868,CPT,9300,SEA@DAL 11/30/2023 08:15PM ET,DAL,9.64
QB,Geno Smith (31349913),Geno Smith,31349913,FLEX,9200,SEA@DAL 11/30/2023 08:15PM ET,SEA,14.70
QB,Drew Lock (31349869),Drew Lock,31349869,CPT,9000,SEA@DAL 11/30/2023 08:15PM ET,SEA,1.37
QB,Trey Lance (31349870),Trey Lance,31349870,CPT,9000,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
QB,Cooper Rush (31349871),Cooper Rush,31349871,CPT,9000,SEA@DAL 11/30/2023 08:15PM ET,DAL,0.51
QB,Brett Rypien (31349872),Brett Rypien,31349872,CPT,9000,SEA@DAL 11/30/2023 08:15PM ET,SEA,3.39
RB,Kenneth Walker III (31349914),Kenneth Walker III,31349914,FLEX,8400,SEA@DAL 11/30/2023 08:15PM ET,SEA,14.06
DST,Cowboys  (31349873),Cowboys ,31349873,CPT,8400,SEA@DAL 11/30/2023 08:15PM ET,DAL,5
WR,Brandin Cooks (31349915),Brandin Cooks,31349915,FLEX,8000,SEA@DAL 11/30/2023 08:15PM ET,DAL,10.75
WR,Jaxon Smith-Njigba (31349874),Jaxon Smith-Njigba,31349874,CPT,7800,SEA@DAL 11/30/2023 08:15PM ET,SEA,8.24
WR,Tyler Lockett (31349916),Tyler Lockett,31349916,FLEX,7200,SEA@DAL 11/30/2023 08:15PM ET,SEA,12.5
K,Brandon Aubrey (31349875),Brandon Aubrey,31349875,CPT,7200,SEA@DAL 11/30/2023 08:15PM ET,DAL,10
RB,Zach Charbonnet (31349917),Zach Charbonnet,31349917,FLEX,6800,SEA@DAL 11/30/2023 08:15PM ET,SEA,6.41
K,Jason Myers (31349876),Jason Myers,31349876,CPT,6600,SEA@DAL 11/30/2023 08:15PM ET,SEA,10.09
RB,Rico Dowdle (31349877),Rico Dowdle,31349877,CPT,6300,SEA@DAL 11/30/2023 08:15PM ET,DAL,5.41
TE,Jake Ferguson (31349918),Jake Ferguson,31349918,FLEX,6200,SEA@DAL 11/30/2023 08:15PM ET,DAL,9.64
QB,Drew Lock (31349919),Drew Lock,31349919,FLEX,6000,SEA@DAL 11/30/2023 08:15PM ET,SEA,1.37
QB,Trey Lance (31349920),Trey Lance,31349920,FLEX,6000,SEA@DAL 11/30/2023 08:15PM ET,DAL,0
QB,Cooper Rush (31349921),Cooper Rush,31349921,FLEX,6000,SEA@DAL 11/30/2023 08:15PM ET,DAL,0.51
QB,Brett Rypien (31349922),Brett Rypien,31349922,FLEX,6000,SEA@DAL 11/30/2023 08:15PM ET,SEA,3.39
WR,Michael Gallup (31349878),Michael Gallup,31349878,CPT,5700,SEA@DAL 11/30/2023 08:15PM ET,DAL,6.34
