Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Jack Coan (27013932),Jack Coan,27013932,CPT,14700,ARL@SA 03/19/2023 09:00PM ET,SA,12.98
RB,Kalen Ballage (27013933),Kalen Ballage,27013933,CPT,14400,ARL@SA 03/19/2023 09:00PM ET,SA,6.18
QB,Kyle Sloter (27013934),Kyle Sloter,27013934,CPT,14100,ARL@SA 03/19/2023 09:00PM ET,ARL,7.03
TE,Sal Cannella (27013935),Sal Cannella,27013935,CPT,13800,ARL@SA 03/19/2023 09:00PM ET,ARL,10.52
RB,De'Veon Smith (27013936),De'Veon Smith,27013936,CPT,13500,ARL@SA 03/19/2023 09:00PM ET,ARL,9.5
WR,Jalen Tolliver (27013937),Jalen Tolliver,27013937,CPT,12600,ARL@SA 03/19/2023 09:00PM ET,SA,9.8
WR,Jordan Smallwood (27013938),Jordan Smallwood,27013938,CPT,11700,ARL@SA 03/19/2023 09:00PM ET,ARL,2.1
WR,Tyler Vaughns (27013939),Tyler Vaughns,27013939,CPT,10800,ARL@SA 03/19/2023 09:00PM ET,ARL,8.3
QB,Drew Plitt (27013940),Drew Plitt,27013940,CPT,10500,ARL@SA 03/19/2023 09:00PM ET,ARL,6.89
QB,Jawon Pass (27013941),Jawon Pass,27013941,CPT,10500,ARL@SA 03/19/2023 09:00PM ET,SA,0
QB,Reid Sinnett (27013942),Reid Sinnett,27013942,CPT,10500,ARL@SA 03/19/2023 09:00PM ET,SA,0
QB,Kevin Anderson (27013943),Kevin Anderson,27013943,CPT,10500,ARL@SA 03/19/2023 09:00PM ET,ARL,0
WR,Brandon Arconado (27013944),Brandon Arconado,27013944,CPT,9900,ARL@SA 03/19/2023 09:00PM ET,ARL,5.1
QB,Jack Coan (27013894),Jack Coan,27013894,FLEX,9800,ARL@SA 03/19/2023 09:00PM ET,SA,12.98
RB,Kalen Ballage (27013895),Kalen Ballage,27013895,FLEX,9600,ARL@SA 03/19/2023 09:00PM ET,SA,6.18
QB,Kyle Sloter (27013896),Kyle Sloter,27013896,FLEX,9400,ARL@SA 03/19/2023 09:00PM ET,ARL,7.03
TE,Sal Cannella (27013897),Sal Cannella,27013897,FLEX,9200,ARL@SA 03/19/2023 09:00PM ET,ARL,10.52
RB,De'Veon Smith (27013898),De'Veon Smith,27013898,FLEX,9000,ARL@SA 03/19/2023 09:00PM ET,ARL,9.5
RB,Jacques Patrick (27013945),Jacques Patrick,27013945,CPT,9000,ARL@SA 03/19/2023 09:00PM ET,SA,5.35
DST,Renegades  (27013946),Renegades ,27013946,CPT,8700,ARL@SA 03/19/2023 09:00PM ET,ARL,3.5
WR,Jalen Tolliver (27013899),Jalen Tolliver,27013899,FLEX,8400,ARL@SA 03/19/2023 09:00PM ET,SA,9.8
WR,Jordan Smallwood (27013900),Jordan Smallwood,27013900,FLEX,7800,ARL@SA 03/19/2023 09:00PM ET,ARL,2.1
WR,Darece Roberson Jr. (27013947),Darece Roberson Jr.,27013947,CPT,7800,ARL@SA 03/19/2023 09:00PM ET,SA,3.9
WR,Tyler Vaughns (27013901),Tyler Vaughns,27013901,FLEX,7200,ARL@SA 03/19/2023 09:00PM ET,ARL,8.3
WR,LuJuan Winningham (27013948),LuJuan Winningham,27013948,CPT,7200,ARL@SA 03/19/2023 09:00PM ET,ARL,4.23
QB,Drew Plitt (27013902),Drew Plitt,27013902,FLEX,7000,ARL@SA 03/19/2023 09:00PM ET,ARL,6.89
QB,Jawon Pass (27013903),Jawon Pass,27013903,FLEX,7000,ARL@SA 03/19/2023 09:00PM ET,SA,0
QB,Reid Sinnett (27013904),Reid Sinnett,27013904,FLEX,7000,ARL@SA 03/19/2023 09:00PM ET,SA,0
QB,Kevin Anderson (27013905),Kevin Anderson,27013905,FLEX,7000,ARL@SA 03/19/2023 09:00PM ET,ARL,0
WR,Brandon Arconado (27013906),Brandon Arconado,27013906,FLEX,6600,ARL@SA 03/19/2023 09:00PM ET,ARL,5.1
TE,Alize Mack (27013949),Alize Mack,27013949,CPT,6600,ARL@SA 03/19/2023 09:00PM ET,SA,7.58
RB,Jacques Patrick (27013907),Jacques Patrick,27013907,FLEX,6000,ARL@SA 03/19/2023 09:00PM ET,SA,5.35
DST,Brahmas  (27013950),Brahmas ,27013950,CPT,6000,ARL@SA 03/19/2023 09:00PM ET,SA,6
DST,Renegades  (27013908),Renegades ,27013908,FLEX,5800,ARL@SA 03/19/2023 09:00PM ET,ARL,3.5
WR,Fred Brown (27013951),Fred Brown,27013951,CPT,5400,ARL@SA 03/19/2023 09:00PM ET,SA,7.1
WR,Darece Roberson Jr. (27013909),Darece Roberson Jr.,27013909,FLEX,5200,ARL@SA 03/19/2023 09:00PM ET,SA,3.9
WR,LuJuan Winningham (27013910),LuJuan Winningham,27013910,FLEX,4800,ARL@SA 03/19/2023 09:00PM ET,ARL,4.23
WR,Travis Jonsen (27013952),Travis Jonsen,27013952,CPT,4800,ARL@SA 03/19/2023 09:00PM ET,SA,2.53
TE,Alize Mack (27013911),Alize Mack,27013911,FLEX,4400,ARL@SA 03/19/2023 09:00PM ET,SA,7.58
DST,Brahmas  (27013912),Brahmas ,27013912,FLEX,4000,ARL@SA 03/19/2023 09:00PM ET,SA,6
WR,Fred Brown (27013913),Fred Brown,27013913,FLEX,3600,ARL@SA 03/19/2023 09:00PM ET,SA,7.1
WR,Travis Toivonen (27013953),Travis Toivonen,27013953,CPT,3600,ARL@SA 03/19/2023 09:00PM ET,SA,8.4
WR,Travis Jonsen (27013914),Travis Jonsen,27013914,FLEX,3200,ARL@SA 03/19/2023 09:00PM ET,SA,2.53
