Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
C,Nathan MacKinnon (26774471),Nathan MacKinnon,26774471,C/UTIL,8600,COL@WPG 02/24/2023 08:00PM ET,COL,20.20,P
RW,Matthew Tkachuk (26774635),Matthew Tkachuk,26774635,W/UTIL,8500,BUF@FLA 02/24/2023 07:00PM ET,FLA,16.41,P
G,Frederik Andersen (26775167),Frederik Andersen,26775167,G,8500,OTT@CAR 02/24/2023 07:00PM ET,CAR,12.87,P
G,Antti Raanta (26775168),Antti Raanta,26775168,G,8500,OTT@CAR 02/24/2023 07:00PM ET,CAR,12.00,P
C,Auston Matthews (26774473),Auston Matthews,26774473,C/UTIL,8400,MIN@TOR 02/24/2023 07:00PM ET,TOR,17.24,P
G,Sergei Bobrovsky (26775169),Sergei Bobrovsky,26775169,G,8300,BUF@FLA 02/24/2023 07:00PM ET,FLA,12.01,P
G,Ilya Samsonov (26775170),Ilya Samsonov,26775170,G,8200,MIN@TOR 02/24/2023 07:00PM ET,TOR,14.6,P
G,Joseph Woll (26775171),Joseph Woll,26775171,G,8200,MIN@TOR 02/24/2023 07:00PM ET,TOR,18.5,O
G,Alex Lyon (26775172),Alex Lyon,26775172,G,8100,BUF@FLA 02/24/2023 07:00PM ET,FLA,11.92,O
G,Spencer Knight (26775173),Spencer Knight,26775173,G,8100,BUF@FLA 02/24/2023 07:00PM ET,FLA,12.36,O
G,Pheonix Copley (26775174),Pheonix Copley,26775174,G,8000,LA@NYI 02/24/2023 07:30PM ET,LA,12.34,P
G,Jonathan Quick (26775175),Jonathan Quick,26775175,G,8000,LA@NYI 02/24/2023 07:30PM ET,LA,7.89,P
C,Tage Thompson (26774475),Tage Thompson,26774475,C/UTIL,7900,BUF@FLA 02/24/2023 07:00PM ET,BUF,17.08,P
LW,Kyle Connor (26774637),Kyle Connor,26774637,W/UTIL,7900,COL@WPG 02/24/2023 08:00PM ET,WPG,14.13,O
G,Connor Hellebuyck (26775176),Connor Hellebuyck,26775176,G,7900,COL@WPG 02/24/2023 08:00PM ET,WPG,16.80,L
G,Alexandar Georgiev (26775177),Alexandar Georgiev,26775177,G,7800,COL@WPG 02/24/2023 08:00PM ET,COL,16.52,L
G,Pavel Francouz (26775178),Pavel Francouz,26775178,G,7800,COL@WPG 02/24/2023 08:00PM ET,COL,15.63,O
G,Justus Annunen (26775179),Justus Annunen,26775179,G,7800,COL@WPG 02/24/2023 08:00PM ET,COL,15.8,P
RW,Travis Konecny (26774639),Travis Konecny,26774639,W/UTIL,7700,MON@PHI 02/24/2023 07:00PM ET,PHI,13.95,O
