Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
G,Scottie Scheffler (29094735),Scottie Scheffler,29094735,G,13400,TOUR Championship,Golf,97.18,97.18
G,Rory McIlroy (29094736),Rory McIlroy,29094736,G,13000,TOUR Championship,Golf,88.08,88.08
G,Viktor Hovland (29094737),Viktor Hovland,29094737,G,12500,TOUR Championship,Golf,88.26,88.26
G,Jon Rahm (29094738),Jon Rahm,29094738,G,11600,TOUR Championship,Golf,89.37,89.37
G,Max Homa (29094739),Max Homa,29094739,G,10900,TOUR Championship,Golf,79.89,79.89
G,Patrick Cantlay (29094740),Patrick Cantlay,29094740,G,10800,TOUR Championship,Golf,83.94,83.94
G,Xander Schauffele (29094741),Xander Schauffele,29094741,G,10500,TOUR Championship,Golf,83.6,83.6
G,Matt Fitzpatrick (29094742),Matt Fitzpatrick,29094742,G,10000,TOUR Championship,Golf,65.19,65.19
G,Lucas Glover (29094743),Lucas Glover,29094743,G,9700,TOUR Championship,Golf,61.85,61.85
G,Brian Harman (29094744),Brian Harman,29094744,G,9500,TOUR Championship,Golf,68.28,68.28
G,Wyndham Clark (29094745),Wyndham Clark,29094745,G,9100,TOUR Championship,Golf,75.44,75.44
G,Rickie Fowler (29094746),Rickie Fowler,29094746,G,9000,TOUR Championship,Golf,77.85,77.85
G,Tommy Fleetwood (29094747),Tommy Fleetwood,29094747,G,8800,TOUR Championship,Golf,72.15,72.15
G,Sungjae Im (29094748),Sungjae Im,29094748,G,8500,TOUR Championship,Golf,71.62,71.62
G,Russell Henley (29094749),Russell Henley,29094749,G,8300,TOUR Championship,Golf,66.48,66.48
G,Keegan Bradley (29094750),Keegan Bradley,29094750,G,8100,TOUR Championship,Golf,68.24,68.24
G,Tom Kim (29094751),Tom Kim,29094751,G,7900,TOUR Championship,Golf,71.96,71.96
G,Corey Conners (29094752),Corey Conners,29094752,G,7900,TOUR Championship,Golf,68.33,68.33
G,Collin Morikawa (29094753),Collin Morikawa,29094753,G,7700,TOUR Championship,Golf,72.04,72.04
G,Tony Finau (29094754),Tony Finau,29094754,G,7500,TOUR Championship,Golf,72.46,72.46
G,Jason Day (29094755),Jason Day,29094755,G,7400,TOUR Championship,Golf,68,68
G,Si Woo Kim (29094756),Si Woo Kim,29094756,G,7200,TOUR Championship,Golf,65.27,65.27
G,Tyrrell Hatton (29094757),Tyrrell Hatton,29094757,G,6900,TOUR Championship,Golf,78.93,78.93
G,Jordan Spieth (29094758),Jordan Spieth,29094758,G,6700,TOUR Championship,Golf,64.76,64.76
G,Taylor Moore (29094759),Taylor Moore,29094759,G,6500,TOUR Championship,Golf,58.57,58.57
G,Sam Burns (29094760),Sam Burns,29094760,G,6100,TOUR Championship,Golf,62.96,62.96
G,Emiliano Grillo (29094761),Emiliano Grillo,29094761,G,5700,TOUR Championship,Golf,64.59,64.59
G,Sepp Straka (29094762),Sepp Straka,29094762,G,5400,TOUR Championship,Golf,60.17,60.17
G,Adam Schenk (29094763),Adam Schenk,29094763,G,5200,TOUR Championship,Golf,58.05,58.05
G,Nick Taylor (29094764),Nick Taylor,29094764,G,5000,TOUR Championship,Golf,59.58,59.58
