Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Kyle Larson (26932600),Kyle Larson,26932600,D,11100,United Rentals Work United 500,Nasca,37.11
D,Joey Logano (26932601),Joey Logano,26932601,D,10800,United Rentals Work United 500,Nasca,28.25
D,Kyle Busch (26932602),Kyle Busch,26932602,D,10600,United Rentals Work United 500,Nasca,42.47
D,Ryan Blaney (26932603),Ryan Blaney,26932603,D,10300,United Rentals Work United 500,Nasca,28.51
D,Ross Chastain (26932604),Ross Chastain,26932604,D,10000,United Rentals Work United 500,Nasca,46.07
D,William Byron (26932605),William Byron,26932605,D,9800,United Rentals Work United 500,Nasca,39.51
D,Denny Hamlin (26932606),Denny Hamlin,26932606,D,9600,United Rentals Work United 500,Nasca,41.57
D,Tyler Reddick (26932607),Tyler Reddick,26932607,D,9400,United Rentals Work United 500,Nasca,24.03
D,Martin Truex Jr (26932608),Martin Truex Jr,26932608,D,9200,United Rentals Work United 500,Nasca,43.1
D,Kevin Harvick (26932609),Kevin Harvick,26932609,D,9000,United Rentals Work United 500,Nasca,40.72
D,Christopher Bell (26932610),Christopher Bell,26932610,D,8800,United Rentals Work United 500,Nasca,33.6
D,Alex Bowman (26932611),Alex Bowman,26932611,D,8600,United Rentals Work United 500,Nasca,38.82
D,Daniel Suarez (26932612),Daniel Suarez,26932612,D,8500,United Rentals Work United 500,Nasca,41.3
D,Chase Briscoe (26932613),Chase Briscoe,26932613,D,8400,United Rentals Work United 500,Nasca,16.91
D,Bubba Wallace (26932614),Bubba Wallace,26932614,D,8200,United Rentals Work United 500,Nasca,26.57
D,Josh Berry (26932615),Josh Berry,26932615,D,8000,United Rentals Work United 500,Nasca,16
D,Brad Keselowski (26932616),Brad Keselowski,26932616,D,7800,United Rentals Work United 500,Nasca,34.18
D,Erik Jones (26932617),Erik Jones,26932617,D,7600,United Rentals Work United 500,Nasca,20.34
D,Austin Dillon (26932618),Austin Dillon,26932618,D,7500,United Rentals Work United 500,Nasca,31.94
D,Ryan Preece (26932619),Ryan Preece,26932619,D,7300,United Rentals Work United 500,Nasca,23.71
D,Austin Cindric (26932620),Austin Cindric,26932620,D,7100,United Rentals Work United 500,Nasca,22.98
D,Aric Almirola (26932621),Aric Almirola,26932621,D,6900,United Rentals Work United 500,Nasca,19.49
D,Ty Gibbs (26932622),Ty Gibbs,26932622,D,6700,United Rentals Work United 500,Nasca,19.71
D,Chris Buescher (26932623),Chris Buescher,26932623,D,6600,United Rentals Work United 500,Nasca,35.46
D,Justin Haley (26932624),Justin Haley,26932624,D,6400,United Rentals Work United 500,Nasca,31.33
D,AJ Allmendinger (26932625),AJ Allmendinger,26932625,D,6200,United Rentals Work United 500,Nasca,25.75
D,Noah Gragson (26932626),Noah Gragson,26932626,D,6000,United Rentals Work United 500,Nasca,21.84
D,Ricky Stenhouse Jr (26932627),Ricky Stenhouse Jr,26932627,D,5800,United Rentals Work United 500,Nasca,35.95
D,Harrison Burton (26932628),Harrison Burton,26932628,D,5700,United Rentals Work United 500,Nasca,26.62
D,Corey Lajoie (26932629),Corey Lajoie,26932629,D,5600,United Rentals Work United 500,Nasca,32.29
D,Michael McDowell (26932630),Michael McDowell,26932630,D,5400,United Rentals Work United 500,Nasca,22.57
D,Zane Smith (26932631),Zane Smith,26932631,D,5200,United Rentals Work United 500,Nasca,41.42
D,Ty Dillon (26932632),Ty Dillon,26932632,D,5000,United Rentals Work United 500,Nasca,10.42
D,Todd Gilliland (26932633),Todd Gilliland,26932633,D,4900,United Rentals Work United 500,Nasca,23.15
D,Cody Ware (26932634),Cody Ware,26932634,D,4700,United Rentals Work United 500,Nasca,19.12
D,BJ McLeod (26932635),BJ McLeod,26932635,D,4600,United Rentals Work United 500,Nasca,20.79
