Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
D,William Byron (27251367),William Byron,27251367,D,11000,Toyota Owners 400,Nasca,39.52,39.52
D,Kevin Harvick (27251368),Kevin Harvick,27251368,D,10800,Toyota Owners 400,Nasca,39.03,39.03
D,Kyle Larson (27251369),Kyle Larson,27251369,D,10600,Toyota Owners 400,Nasca,39.7,43.67
D,Christopher Bell (27251370),Christopher Bell,27251370,D,10300,Toyota Owners 400,Nasca,32.21,48.315
D,Denny Hamlin (27251371),Denny Hamlin,27251371,D,10100,Toyota Owners 400,Nasca,36.71,55.065
D,Martin Truex Jr (27251372),Martin Truex Jr,27251372,D,9900,Toyota Owners 400,Nasca,38.75,54.25
D,Kyle Busch (27251373),Kyle Busch,27251373,D,9700,Toyota Owners 400,Nasca,43.42,47.762
D,Joey Logano (27251374),Joey Logano,27251374,D,9400,Toyota Owners 400,Nasca,33.06,39.672
D,Alex Bowman (27251375),Alex Bowman,27251375,D,9200,Toyota Owners 400,Nasca,39.41,43.351
D,Tyler Reddick (27251376),Tyler Reddick,27251376,D,9000,Toyota Owners 400,Nasca,36.46,36.46
D,Ryan Blaney (27251377),Ryan Blaney,27251377,D,8800,Toyota Owners 400,Nasca,33.58,33.58
D,Ross Chastain (27251378),Ross Chastain,27251378,D,8700,Toyota Owners 400,Nasca,40.54,48.648
D,Chris Buescher (27251379),Chris Buescher,27251379,D,8400,Toyota Owners 400,Nasca,30.96,30.96
D,Brad Keselowski (27251380),Brad Keselowski,27251380,D,8300,Toyota Owners 400,Nasca,29.69,41.566
D,Daniel Suarez (27251381),Daniel Suarez,27251381,D,8100,Toyota Owners 400,Nasca,27.84,27.84
D,Josh Berry (27251382),Josh Berry,27251382,D,7900,Toyota Owners 400,Nasca,31.18,31.18
D,Chase Briscoe (27251383),Chase Briscoe,27251383,D,7800,Toyota Owners 400,Nasca,22.92,22.92
D,Aric Almirola (27251384),Aric Almirola,27251384,D,7600,Toyota Owners 400,Nasca,15.02,27.036
D,Bubba Wallace (27251385),Bubba Wallace,27251385,D,7500,Toyota Owners 400,Nasca,19.15,28.725
D,Ty Gibbs (27251386),Ty Gibbs,27251386,D,7300,Toyota Owners 400,Nasca,26.05,26.05
D,Austin Dillon (27251387),Austin Dillon,27251387,D,7200,Toyota Owners 400,Nasca,28.02,33.624
D,AJ Allmendinger (27251388),AJ Allmendinger,27251388,D,7000,Toyota Owners 400,Nasca,22.41,22.41
D,Austin Cindric (27251389),Austin Cindric,27251389,D,6800,Toyota Owners 400,Nasca,24.12,28.944
D,Erik Jones (27251390),Erik Jones,27251390,D,6600,Toyota Owners 400,Nasca,23.14,27.768
D,Ryan Preece (27251391),Ryan Preece,27251391,D,6400,Toyota Owners 400,Nasca,22.17,26.604
D,Chandler Smith (27251392),Chandler Smith,27251392,D,6100,Toyota Owners 400,Nasca,29.8,29.8
D,Michael McDowell (27251393),Michael McDowell,27251393,D,6000,Toyota Owners 400,Nasca,24.04,24.04
D,Noah Gragson (27251394),Noah Gragson,27251394,D,5800,Toyota Owners 400,Nasca,22.57,22.57
D,Ricky Stenhouse Jr (27251395),Ricky Stenhouse Jr,27251395,D,5700,Toyota Owners 400,Nasca,37.69,37.69
D,Justin Haley (27251396),Justin Haley,27251396,D,5500,Toyota Owners 400,Nasca,27.64,27.64
D,Corey Lajoie (27251397),Corey Lajoie,27251397,D,5400,Toyota Owners 400,Nasca,38.22,38.22
D,Harrison Burton (27251398),Harrison Burton,27251398,D,5300,Toyota Owners 400,Nasca,18.04,18.04
D,Todd Gilliland (27251399),Todd Gilliland,27251399,D,5200,Toyota Owners 400,Nasca,27.5,27.5
D,Anthony Alfredo (27251400),Anthony Alfredo,27251400,D,5100,Toyota Owners 400,Nasca,0,0
D,JJ Yeley (27251401),JJ Yeley,27251401,D,4900,Toyota Owners 400,Nasca,15.78,15.78
D,Cody Ware (27251402),Cody Ware,27251402,D,4800,Toyota Owners 400,Nasca,20.01,20.01
D,Ty Dillon (27251403),Ty Dillon,27251403,D,4700,Toyota Owners 400,Nasca,11.55,11.55
