Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Muhammad Mokaev (26995942),Muhammad Mokaev,26995942,F,9700,Filho@Mokaev 03/18/2023 03:00PM ET,Mokaev,122.53
F,Jack Shore (26995939),Jack Shore,26995939,F,9500,Amirkhani@Shore 03/18/2023 04:00PM ET,Shore,84.31
F,Juliana Miller (26995949),Juliana Miller,26995949,F,9400,Hardy@Miller 03/18/2023 12:30PM ET,Miller,115.2
F,Jake Hadley (26995934),Jake Hadley,26995934,F,9300,Gordon@Hadley 03/18/2023 01:00PM ET,Hadley,64.05
F,Gunnar Nelson (26995953),Gunnar Nelson,26995953,F,9200,Barberena@Nelson 03/18/2023 05:40PM ET,Nelson,67.79
F,Marvin Vettori (26995930),Marvin Vettori,26995930,F,9100,Dolidze@Vettori 03/18/2023 05:00PM ET,Vettori,80.90
F,Sam Patterson (26995944),Sam Patterson,26995944,F,9000,Ashmouz@Patterson 03/18/2023 03:20PM ET,Patterson,0
F,Kamaru Usman (26995936),Kamaru Usman,26995936,F,8900,Usman@Edwards 03/18/2023 06:20PM ET,Usman,120.17
F,Rafael Fiziev (26995937),Rafael Fiziev,26995937,F,8800,Fiziev@Gaethje 03/18/2023 06:00PM ET,Fiziev,68.10
F,Christian Duncan (26995947),Christian Duncan,26995947,F,8700,Todorovic@Duncan 03/18/2023 01:10PM ET,Duncan,0
F,Joanne Wood (26995932),Joanne Wood,26995932,F,8600,Carolina@Wood 03/18/2023 12:50PM ET,Wood,65.86
F,Casey O'Neill (26995951),Casey O'Neill,26995951,F,8500,O'Neill@Maia 03/18/2023 05:20PM ET,O'Neill,125.57
F,Ludovit Klein (26995945),Ludovit Klein,26995945,F,8400,Klein@Herbert 03/18/2023 12:40PM ET,Klein,62.62
F,Lerone Murphy (26995958),Lerone Murphy,26995958,F,8300,Santos@Murphy 03/18/2023 01:20PM ET,Murphy,72.43
F,Omar Morales (26995955),Omar Morales,26995955,F,8200,Morales@Duncan 03/18/2023 03:40PM ET,Morales,41.34
F,Chris Duncan (26995956),Chris Duncan,26995956,F,8000,Morales@Duncan 03/18/2023 03:40PM ET,Duncan,0
F,Gabriel Santos (26995957),Gabriel Santos,26995957,F,7900,Santos@Murphy 03/18/2023 01:20PM ET,Santos,0
F,Jai Herbert (26995946),Jai Herbert,26995946,F,7800,Klein@Herbert 03/18/2023 12:40PM ET,Herbert,46.42
F,Jennifer Maia (26995952),Jennifer Maia,26995952,F,7700,O'Neill@Maia 03/18/2023 05:20PM ET,Maia,53.62
F,Luana Carolina (26995931),Luana Carolina,26995931,F,7600,Carolina@Wood 03/18/2023 12:50PM ET,Carolina,51.20
F,Dusko Todorovic (26995948),Dusko Todorovic,26995948,F,7500,Todorovic@Duncan 03/18/2023 01:10PM ET,Todorovic,65.32
F,Justin Gaethje (26995938),Justin Gaethje,26995938,F,7400,Fiziev@Gaethje 03/18/2023 06:00PM ET,Gaethje,75.88
F,Leon Edwards (26995935),Leon Edwards,26995935,F,7300,Usman@Edwards 03/18/2023 06:20PM ET,Edwards,70.87
F,Yanal Ashmouz (26995943),Yanal Ashmouz,26995943,F,7200,Ashmouz@Patterson 03/18/2023 03:20PM ET,Ashmouz,0
F,Roman Dolidze (26995929),Roman Dolidze,26995929,F,7100,Dolidze@Vettori 03/18/2023 05:00PM ET,Dolidze,90.28
F,Bryan Barberena (26995954),Bryan Barberena,26995954,F,7000,Barberena@Nelson 03/18/2023 05:40PM ET,Barberena,74.62
F,Malcolm Gordon (26995933),Malcolm Gordon,26995933,F,6900,Gordon@Hadley 03/18/2023 01:00PM ET,Gordon,43.12
F,Veronica Hardy (26995950),Veronica Hardy,26995950,F,6800,Hardy@Miller 03/18/2023 12:30PM ET,Hardy,40.31
F,Makwan Amirkhani (26995940),Makwan Amirkhani,26995940,F,6700,Amirkhani@Shore 03/18/2023 04:00PM ET,Amirkhani,68.43
F,Jafel Filho (26995941),Jafel Filho,26995941,F,6500,Filho@Mokaev 03/18/2023 03:00PM ET,Filho,0
