Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,APPG,HAvgPoints,HTM,WAvgPoints,Money Matt/Notes,Math
F,Zak Cummings (27433366),Zak Cummings,27433366,F,9600,Herman@Cummings 04/15/2023 07:10PM ET,Cummings,60.1,60.1,1,60.1,???,
F,Rafa Garcia (27433367),Rafa Garcia,27433367,F,9500,Garcia@Guida 04/15/2023 08:30PM ET,Garcia,73.19,73.19,1,73.19,lightweight and long fight,
F,Chris Gutierrez (27433362),Chris Gutierrez,27433362,F,9400,Gutierrez@Munhoz 04/15/2023 08:50PM ET,Gutierrez,71.06,85.935,1.1,94.5285,Matt's Favorite,100.81
F,Bruna Brasil (27433374),Bruna Brasil,27433374,F,9300,Gomes@Brasil 04/15/2023 06:10PM ET,Brasil,0,87.79,1,87.79,shes a brazillian named brasil wtf,87.7934
F,Gaston Bolanos (27433375),Gaston Bolanos,27433375,F,9200,Bolanos@Phillips 04/15/2023 05:50PM ET,Bolanos,0,90,1,90,"darkhorse, 6 knock outs 3 loses",90
F,Matheus Nicolau (27433371),Matheus Nicolau,27433371,F,9100,Nicolau@Royval 04/15/2023 07:30PM ET,Nicolau,76.05,76.05,1,76.05,"other guy has 14 pounds and 2"" reach",
F,Max Holloway (27433353),Max Holloway,27433353,F,9000,Allen@Holloway 04/15/2023 10:10PM ET,Holloway,87.44,77.114,1.1,84.8254,Main Card,66.788
F,Dustin Jacoby (27433360),Dustin Jacoby,27433360,F,8900,Murzakanov@Jacoby 04/15/2023 09:30PM ET,Jacoby,67.23,67.23,1.1,73.953,fighting an undefeated russian,
F,Bill Algeo (27433364),Bill Algeo,27433364,F,8800,Brown@Algeo 04/15/2023 07:50PM ET,Algeo,70.06,70.06,1,70.06,boring featherweight,
F,Billy Quarantillo (27433358),Billy Quarantillo,27433358,F,8700,Quarantillo@Barboza 04/15/2023 09:50PM ET,Quarantillo,101.85,85.4598,1.1,94.00578,fights old man,69.0696
F,Lucie Pudilova (27433379),Lucie Pudilova,27433379,F,8600,Pudilova@Edwards 04/15/2023 05:30PM ET,Pudilova,52.75,52.75,1,52.75,boring womens fight,
F,Daniel Zellhuber (27433378),Daniel Zellhuber,27433378,F,8500,Zellhuber@Vannata 04/15/2023 06:30PM ET,Zellhuber,20.8,95.3,1,95.3,"coming off first loss, 4"" taller w 6"" more reach",
F,Ion Cutelaba (27433355),Ion Cutelaba,27433355,F,8400,Cutelaba@Boser 04/15/2023 09:10PM ET,Cutelaba,57.07,57.07,1,57.07,"light heavyweight, potential to KO",
F,Gillian Robertson (27433369),Gillian Robertson,27433369,F,8200,Rodriguez@Robertson 04/15/2023 06:50PM ET,Robertson,69.76,69.76,1,69.76,"Matt remembered her, not sure if good",
F,Piera Rodriguez (27433370),Piera Rodriguez,27433370,F,8000,Rodriguez@Robertson 04/15/2023 06:50PM ET,Rodriguez,86.34,98.17,1,98.17,undefeated venezula woman,110
F,Tanner Boser (27433356),Tanner Boser,27433356,F,7800,Cutelaba@Boser 04/15/2023 09:10PM ET,Boser,59.14,59.14,1,59.14,"Light heavyweight, potential to KO",
F,Lando Vannata (27433377),Lando Vannata,27433377,F,7700,Zellhuber@Vannata 04/15/2023 06:30PM ET,Vannata,53.34,53.34,1.1,58.674,fighting a man much bigger than him,
F,Joselyne Edwards (27433380),Joselyne Edwards,27433380,F,7600,Pudilova@Edwards 04/15/2023 05:30PM ET,Edwards,62.65,62.65,1,62.65,boring womens fight,
F,Edson Barboza (27433357),Edson Barboza,27433357,F,7500,Quarantillo@Barboza 04/15/2023 09:50PM ET,Barboza,54.09,54.09,1,54.09,Matt says is old,
F,TJ Brown (27433363),TJ Brown,27433363,F,7400,Brown@Algeo 04/15/2023 07:50PM ET,Brown,71.97,71.97,1,71.97,boring featherweight,
F,Azamat Murzakanov (27433359),Azamat Murzakanov,27433359,F,7300,Murzakanov@Jacoby 04/15/2023 09:30PM ET,Murzakanov,84.38,104.69,1,104.69,undefeated russian,125
F,Arnold Allen (27433354),Arnold Allen,27433354,F,7200,Allen@Holloway 04/15/2023 10:10PM ET,Allen,73.58,71.804,1,71.804,Main Card,70.028
F,Brandon Royval (27433372),Brandon Royval,27433372,F,7100,Nicolau@Royval 04/15/2023 07:30PM ET,Royval,63.76,63.76,1.1,70.136,bigger than nicolau,
F,Aaron Phillips (27433376),Aaron Phillips,27433376,F,7000,Bolanos@Phillips 04/15/2023 05:50PM ET,Phillips,29.6,29.6,1.1,32.56,fighting the dark horse,
F,Denise Gomes (27433373),Denise Gomes,27433373,F,6900,Gomes@Brasil 04/15/2023 06:10PM ET,Gomes,32.73,32.73,1,32.73,fighting a brazillian named brasil,
F,Pedro Munhoz (27433361),Pedro Munhoz,27433361,F,6800,Gutierrez@Munhoz 04/15/2023 08:50PM ET,Munhoz,64.4,83.005,1,83.005,Matt's Favorite,101.61
F,Clay Guida (27433368),Clay Guida,27433368,F,6700,Garcia@Guida 04/15/2023 08:30PM ET,Guida,65.61,65.61,1.1,72.171,lightweight and long fight,
F,Ed Herman (27433365),Ed Herman,27433365,F,6600,Herman@Cummings 04/15/2023 07:10PM ET,Herman,62.28,62.28,1,62.28,?????,
