Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Bo Nickal (26803473),Bo Nickal,26803473,F,9600,Pickett@Nickal 03/04/2023 10:00PM ET,Nickal,0
F,Valentina Shevchenko (26803485),Valentina Shevchenko,26803485,F,9400,Grasso@Shevchenko 03/04/2023 11:00PM ET,Shevchenko,97.41
F,Ian Garry (26803487),Ian Garry,26803487,F,9300,Kenan@Garry 03/04/2023 06:10PM ET,Garry,88.82
F,Shavkat Rakhmonov (26803471),Shavkat Rakhmonov,26803471,F,9200,Rakhmonov@Neal 03/04/2023 10:40PM ET,Rakhmonov,105.55
F,Farid Basharat (26803483),Farid Basharat,26803483,F,9100,Basharat@Blackshear 03/04/2023 05:40PM ET,Basharat,0
F,Loik Radzhabov (26847227),Loik Radzhabov,26847227,F,9000,Radzhabov@Ribovics 03/04/2023 05:30PM ET,Radzhabov,0
F,Tabatha Ricci (26803481),Tabatha Ricci,26803481,F,8900,Ricci@Penne 03/04/2023 05:50PM ET,Ricci,66.62
F,Cameron Saaiman (26803489),Cameron Saaiman,26803489,F,8800,Saaiman@Martinez 03/04/2023 06:00PM ET,Saaiman,118.27
F,Dricus Du Plessis (26803475),Dricus Du Plessis,26803475,F,8700,Du Plessis@Brunson 03/04/2023 08:40PM ET,Du Plessis,105.90
F,Mateusz Gamrot (26803493),Mateusz Gamrot,26803493,F,8600,Turner@Gamrot 03/04/2023 10:20PM ET,Gamrot,84.61
F,Cody Garbrandt (26803491),Cody Garbrandt,26803491,F,8500,Jones@Garbrandt 03/04/2023 09:00PM ET,Garbrandt,64.52
F,Jon Jones (26803469),Jon Jones,26803469,F,8400,Gane@Jones 03/04/2023 11:20PM ET,Jones,91.50
F,Amanda Ribas (26803477),Amanda Ribas,26803477,F,8300,Ribas@Araujo 03/04/2023 08:20PM ET,Ribas,76.64
F,Marc-Andre Barriault (26803479),Marc-Andre Barriault,26803479,F,8200,Barriault@Marquez 03/04/2023 08:00PM ET,Barriault,50.51
F,Julian Marquez (26803480),Julian Marquez,26803480,F,8000,Barriault@Marquez 03/04/2023 08:00PM ET,Marquez,57.75
F,Viviane Araujo (26803478),Viviane Araujo,26803478,F,7900,Ribas@Araujo 03/04/2023 08:20PM ET,Araujo,72.62
F,Ciryl Gane (26803470),Ciryl Gane,26803470,F,7800,Gane@Jones 03/04/2023 11:20PM ET,Gane,86.43
F,Trevin Jones (26803492),Trevin Jones,26803492,F,7700,Jones@Garbrandt 03/04/2023 09:00PM ET,Jones,37.97
F,Jalin Turner (26803494),Jalin Turner,26803494,F,7600,Turner@Gamrot 03/04/2023 10:20PM ET,Turner,91.37
F,Derek Brunson (26803476),Derek Brunson,26803476,F,7500,Du Plessis@Brunson 03/04/2023 08:40PM ET,Brunson,78.08
F,Mana Martinez (26803490),Mana Martinez,26803490,F,7400,Saaiman@Martinez 03/04/2023 06:00PM ET,Martinez,73.53
F,Jessica Penne (26803482),Jessica Penne,26803482,F,7300,Ricci@Penne 03/04/2023 05:50PM ET,Penne,50.89
F,Esteban Ribovics (26847226),Esteban Ribovics,26847226,F,7200,Radzhabov@Ribovics 03/04/2023 05:30PM ET,Ribovics,0
F,Da'Mon Blackshear (26803484),Da'Mon Blackshear,26803484,F,7100,Basharat@Blackshear 03/04/2023 05:40PM ET,Blackshear,35.33
F,Geoff Neal (26803472),Geoff Neal,26803472,F,7000,Rakhmonov@Neal 03/04/2023 10:40PM ET,Neal,84.52
F,Song Kenan (26803488),Song Kenan,26803488,F,6900,Kenan@Garry 03/04/2023 06:10PM ET,Kenan,70.38
F,Alexa Grasso (26803486),Alexa Grasso,26803486,F,6800,Grasso@Shevchenko 03/04/2023 11:00PM ET,Grasso,68.93
F,Jamie Pickett (26803474),Jamie Pickett,26803474,F,6600,Pickett@Nickal 03/04/2023 10:00PM ET,Pickett,30.68
