Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
SP,Justin Verlander (27412973),Justin Verlander,27412973,P,11100,SD@NYM 04/10/2023 07:10PM ET,NYM,0,0
SP,Brandon Woodruff (27412974),Brandon Woodruff,27412974,P,10500,MIL@ARI 04/10/2023 09:40PM ET,MIL,22.75,22.75
SP,Max Scherzer (27412316),Max Scherzer,27412316,P,10400,SD@NYM 04/10/2023 07:10PM ET,NYM,9.95,9.95
SP,Clayton Kershaw (27412975),Clayton Kershaw,27412975,P,9800,LAD@SF 04/10/2023 09:45PM ET,LAD,19.3,19.3
SP,Walker Buehler (27412976),Walker Buehler,27412976,P,9800,LAD@SF 04/10/2023 09:45PM ET,LAD,0,0
SP,Kodai Senga (27412977),Kodai Senga,27412977,P,9700,SD@NYM 04/10/2023 07:10PM ET,NYM,25.15,25.15
SP,Kyle Wright (27412980),Kyle Wright,27412980,P,9600,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
SP,Luis Castillo (27412317),Luis Castillo,27412317,P,9600,SEA@CHC 04/10/2023 07:40PM ET,SEA,25.62,25.62
SP,Joe Musgrove (27412978),Joe Musgrove,27412978,P,9600,SD@NYM 04/10/2023 07:10PM ET,SD,0,0
SP,Freddy Peralta (27412979),Freddy Peralta,27412979,P,9600,MIL@ARI 04/10/2023 09:40PM ET,MIL,26.9,26.9
SP,Julio Urias (27412318),Julio Urias,27412318,P,9400,LAD@SF 04/10/2023 09:45PM ET,LAD,24.5,24.5
SP,Janson Junk (27412981),Janson Junk,27412981,P,9300,MIL@ARI 04/10/2023 09:40PM ET,MIL,0,0
SP,Aaron Ashby (27412982),Aaron Ashby,27412982,P,9300,MIL@ARI 04/10/2023 09:40PM ET,MIL,0,0
SP,Robbie Ray (27412983),Robbie Ray,27412983,P,9200,SEA@CHC 04/10/2023 07:40PM ET,SEA,2.1,2.1
SP,Charlie Morton (27412984),Charlie Morton,27412984,P,9000,CIN@ATL 04/10/2023 07:20PM ET,ATL,9.32,9.32
SP,Carlos Carrasco (27412985),Carlos Carrasco,27412985,P,9000,SD@NYM 04/10/2023 07:10PM ET,NYM,-1.35,-1.35
SP,Corbin Burnes (27412986),Corbin Burnes,27412986,P,9000,MIL@ARI 04/10/2023 09:40PM ET,MIL,1.1,1.1
SP,Jose Quintana (27412987),Jose Quintana,27412987,P,8900,SD@NYM 04/10/2023 07:10PM ET,NYM,0,0
RP,Spencer Strider (27412988),Spencer Strider,27412988,P,8800,CIN@ATL 04/10/2023 07:20PM ET,ATL,25.48,25.48
SP,Tylor Megill (27412989),Tylor Megill,27412989,P,8800,SD@NYM 04/10/2023 07:10PM ET,NYM,20.48,20.48
SP,Reid Detmers (27412990),Reid Detmers,27412990,P,8700,WAS@LAA 04/10/2023 09:38PM ET,LAA,12.38,12.38
SP,Logan Gilbert (27412991),Logan Gilbert,27412991,P,8700,SEA@CHC 04/10/2023 07:40PM ET,SEA,16.35,16.35
SP,Tyler Anderson (27412992),Tyler Anderson,27412992,P,8600,WAS@LAA 04/10/2023 09:38PM ET,LAA,12.2,12.2
SP,Jacob deGrom (27412993),Jacob deGrom,27412993,P,8600,KC@TEX 04/10/2023 08:05PM ET,TEX,21.88,21.88
SP,Elieser Hernandez (27412995),Elieser Hernandez,27412995,P,8600,SD@NYM 04/10/2023 07:10PM ET,NYM,0,0
SP,Ethan Small (27412994),Ethan Small,27412994,P,8600,MIL@ARI 04/10/2023 09:40PM ET,MIL,0,0
SP,Marcus Stroman (27412996),Marcus Stroman,27412996,P,8500,SEA@CHC 04/10/2023 07:40PM ET,CHC,27.9,27.9
SP,German Marquez (27412319),German Marquez,27412319,P,8500,STL@COL 04/10/2023 08:40PM ET,COL,14.15,14.15
SP,Nick Lodolo (27412998),Nick Lodolo,27412998,P,8400,CIN@ATL 04/10/2023 07:20PM ET,CIN,30.3,30.3
SP,Jameson Taillon (27412997),Jameson Taillon,27412997,P,8400,SEA@CHC 04/10/2023 07:40PM ET,CHC,8.62,8.62
SP,Yu Darvish (27412320),Yu Darvish,27412320,P,8400,SD@NYM 04/10/2023 07:10PM ET,SD,9.85,9.85
SP,Jason Alexander (27412999),Jason Alexander,27412999,P,8400,MIL@ARI 04/10/2023 09:40PM ET,MIL,0,0
RP,Adrian Houser (27413000),Adrian Houser,27413000,P,8400,MIL@ARI 04/10/2023 09:40PM ET,MIL,0,0
SP,Brady Singer (27413002),Brady Singer,27413002,P,8300,KC@TEX 04/10/2023 08:05PM ET,KC,11.48,11.48
SP,Jon Gray (27413003),Jon Gray,27413003,P,8300,KC@TEX 04/10/2023 08:05PM ET,TEX,18,18
SP,Max Fried (27413001),Max Fried,27413001,P,8300,CIN@ATL 04/10/2023 07:20PM ET,ATL,7.1,7.1
SP,Adam Wainwright (27413005),Adam Wainwright,27413005,P,8200,STL@COL 04/10/2023 08:40PM ET,STL,0,0
SP,Eric Lauer (27413004),Eric Lauer,27413004,P,8200,MIL@ARI 04/10/2023 09:40PM ET,MIL,9.4,9.4
SP,Patrick Sandoval (27413007),Patrick Sandoval,27413007,P,8100,WAS@LAA 04/10/2023 09:38PM ET,LAA,13.08,13.08
SP,Nathan Eovaldi (27413008),Nathan Eovaldi,27413008,P,8100,KC@TEX 04/10/2023 08:05PM ET,TEX,16.8,16.8
SP,Adbert Alzolay (27413009),Adbert Alzolay,27413009,P,8100,SEA@CHC 04/10/2023 07:40PM ET,CHC,12.65,12.65
RP,Hayden Wesneski (27413010),Hayden Wesneski,27413010,P,8100,SEA@CHC 04/10/2023 07:40PM ET,CHC,7.7,7.7
SP,Marco Gonzales (27413012),Marco Gonzales,27413012,P,8100,SEA@CHC 04/10/2023 07:40PM ET,SEA,9.9,9.9
SP,Sean Manaea (27413011),Sean Manaea,27413011,P,8100,LAD@SF 04/10/2023 09:45PM ET,SF,11.3,11.3
