Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
G,Jon Rahm (27430862),Jon Rahm,27430862,G,11100,RBC Heritage,Golf,103.35,113.685
G,Scottie Scheffler (27430863),Scottie Scheffler,27430863,G,11000,RBC Heritage,Golf,100.14,130.182
G,Jordan Spieth (27430864),Jordan Spieth,27430864,G,10400,RBC Heritage,Golf,74.23,74.23
G,Patrick Cantlay (27430865),Patrick Cantlay,27430865,G,10300,RBC Heritage,Golf,89.38,151.946
G,Collin Morikawa (27430866),Collin Morikawa,27430866,G,10000,RBC Heritage,Golf,80.08,96.096
G,Viktor Hovland (27430867),Viktor Hovland,27430867,G,9800,RBC Heritage,Golf,93.04,111.648
G,Cameron Young (27430868),Cameron Young,27430868,G,9600,RBC Heritage,Golf,82.3,115.22
G,Tony Finau (27430869),Tony Finau,27430869,G,9400,RBC Heritage,Golf,84.41,84.41
G,Xander Schauffele (27430870),Xander Schauffele,27430870,G,9300,RBC Heritage,Golf,85.59,102.708
G,Max Homa (27430871),Max Homa,27430871,G,9100,RBC Heritage,Golf,92.14,92.14
G,Justin Thomas (27430872),Justin Thomas,27430872,G,8900,RBC Heritage,Golf,75.96,83.556
G,Sam Burns (27430873),Sam Burns,27430873,G,8700,RBC Heritage,Golf,68.46,68.46
G,Sungjae Im (27430874),Sungjae Im,27430874,G,8600,RBC Heritage,Golf,79.93,87.923
G,Tom Kim (27430875),Tom Kim,27430875,G,8500,RBC Heritage,Golf,79.62,79.62
G,Matt Fitzpatrick (27430876),Matt Fitzpatrick,27430876,G,8400,RBC Heritage,Golf,61.65,86.31
G,Shane Lowry (27430877),Shane Lowry,27430877,G,8300,RBC Heritage,Golf,65.04,130.08
G,Tyrrell Hatton (27430878),Tyrrell Hatton,27430878,G,8200,RBC Heritage,Golf,76.85,76.85
G,Tommy Fleetwood (27430879),Tommy Fleetwood,27430879,G,8100,RBC Heritage,Golf,70.42,119.714
G,Sahith Theegala (27430880),Sahith Theegala,27430880,G,8000,RBC Heritage,Golf,77.89,85.679
G,Keegan Bradley (27430881),Keegan Bradley,27430881,G,7900,RBC Heritage,Golf,68.73,68.73
G,Corey Conners (27430882),Corey Conners,27430882,G,7800,RBC Heritage,Golf,68.12,74.932
G,Russell Henley (27430883),Russell Henley,27430883,G,7800,RBC Heritage,Golf,62.36,62.36
G,Matt Kuchar (27430884),Matt Kuchar,27430884,G,7700,RBC Heritage,Golf,63.46,95.19
G,Justin Rose (27430885),Justin Rose,27430885,G,7700,RBC Heritage,Golf,70.91,70.91
G,Rickie Fowler (27430886),Rickie Fowler,27430886,G,7600,RBC Heritage,Golf,78.59,78.59
G,Si Woo Kim (27430887),Si Woo Kim,27430887,G,7600,RBC Heritage,Golf,71.89,71.89
G,Wyndham Clark (27430888),Wyndham Clark,27430888,G,7600,RBC Heritage,Golf,74.93,82.423
G,Taylor Montgomery (27430889),Taylor Montgomery,27430889,G,7500,RBC Heritage,Golf,80.97,80.97
G,Chris Kirk (27430890),Chris Kirk,27430890,G,7500,RBC Heritage,Golf,70.43,77.473
G,Keith Mitchell (27430891),Keith Mitchell,27430891,G,7500,RBC Heritage,Golf,71.08,78.188
G,Gary Woodland (27430892),Gary Woodland,27430892,G,7500,RBC Heritage,Golf,53.96,53.96
G,Min Woo Lee (27430893),Min Woo Lee,27430893,G,7400,RBC Heritage,Golf,75.5,75.5
G,Tom Hoge (27430894),Tom Hoge,27430894,G,7400,RBC Heritage,Golf,72.83,72.83
G,Webb Simpson (27430895),Webb Simpson,27430895,G,7400,RBC Heritage,Golf,49.5,49.5
G,Adam Scott (27430896),Adam Scott,27430896,G,7400,RBC Heritage,Golf,72.06,72.06
G,Taylor Moore (27430897),Taylor Moore,27430897,G,7400,RBC Heritage,Golf,61.53,61.53
