Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
D,Zane Smith (27251291),Zane Smith,27251291,D,10900,SpeedyCash.com 250,Nasca,45.85,50.435
D,Ty Majeski (27251292),Ty Majeski,27251292,D,10700,SpeedyCash.com 250,Nasca,35.99,35.99
D,Corey Heim (27251293),Corey Heim,27251293,D,10400,SpeedyCash.com 250,Nasca,29.06,29.06
D,Ben Rhodes (27251294),Ben Rhodes,27251294,D,10200,SpeedyCash.com 250,Nasca,43.44,43.44
D,Christian Eckes (27251295),Christian Eckes,27251295,D,10100,SpeedyCash.com 250,Nasca,35.28,56.448
D,Stewart Friesen (27251296),Stewart Friesen,27251296,D,9900,SpeedyCash.com 250,Nasca,22.8,50.16
D,Grant Enfinger (27251297),Grant Enfinger,27251297,D,9700,SpeedyCash.com 250,Nasca,34.42,34.42
D,Carson Hocevar (27251298),Carson Hocevar,27251298,D,9500,SpeedyCash.com 250,Nasca,9,9
D,Nicholas Sanchez (27251299),Nicholas Sanchez,27251299,D,9300,SpeedyCash.com 250,Nasca,19.79,19.79
D,Matt Crafton (27251300),Matt Crafton,27251300,D,9000,SpeedyCash.com 250,Nasca,28.8,28.8
D,Matt DiBenedetto (27251301),Matt DiBenedetto,27251301,D,8800,SpeedyCash.com 250,Nasca,26.65,26.65
D,Tyler Ankrum (27251302),Tyler Ankrum,27251302,D,8700,SpeedyCash.com 250,Nasca,36.02,43.224
D,Chase Purdy (27251303),Chase Purdy,27251303,D,8500,SpeedyCash.com 250,Nasca,25.35,25.35
D,Taylor Gray (27251304),Taylor Gray,27251304,D,8400,SpeedyCash.com 250,Nasca,40,40
D,Tanner Gray (27251305),Tanner Gray,27251305,D,8200,SpeedyCash.com 250,Nasca,34.18,34.18
D,Jake Garcia (27251306),Jake Garcia,27251306,D,8000,SpeedyCash.com 250,Nasca,31.78,38.136
D,Rajah Caruth (27251307),Rajah Caruth,27251307,D,7800,SpeedyCash.com 250,Nasca,15.34,32.214
D,Bret Holmes (27251308),Bret Holmes,27251308,D,7600,SpeedyCash.com 250,Nasca,14.36,14.36
D,Colby Howard (27251309),Colby Howard,27251309,D,7400,SpeedyCash.com 250,Nasca,29.32,29.32
D,Ryan Vargas (27251310),Ryan Vargas,27251310,D,7300,SpeedyCash.com 250,Nasca,50,55
D,Jack Wood (27251311),Jack Wood,27251311,D,7100,SpeedyCash.com 250,Nasca,16.48,16.48
D,Daniel Dye (27251312),Daniel Dye,27251312,D,7000,SpeedyCash.com 250,Nasca,27.79,38.906
D,Hailie Deegan (27251313),Hailie Deegan,27251313,D,6800,SpeedyCash.com 250,Nasca,10.86,10.86
D,Dean Thompson (27251314),Dean Thompson,27251314,D,6600,SpeedyCash.com 250,Nasca,3.72,3.72
D,Tyler Hill (27251315),Tyler Hill,27251315,D,6400,SpeedyCash.com 250,Nasca,0,0
D,Kris Wright (27251316),Kris Wright,27251316,D,6200,SpeedyCash.com 250,Nasca,29.04,43.56
D,Kaden Honeycutt (27251317),Kaden Honeycutt,27251317,D,6000,SpeedyCash.com 250,Nasca,21.5,21.5
D,Chad Chastain (27251318),Chad Chastain,27251318,D,5800,SpeedyCash.com 250,Nasca,0,0
D,Josh Reaume (27251319),Josh Reaume,27251319,D,5700,SpeedyCash.com 250,Nasca,22.33,44.66
D,Lawless Alan (27251320),Lawless Alan,27251320,D,5500,SpeedyCash.com 250,Nasca,17.08,17.08
D,Matt Mills (27251321),Matt Mills,27251321,D,5400,SpeedyCash.com 250,Nasca,25,25
D,Keith McGee (27251322),Keith McGee,27251322,D,5200,SpeedyCash.com 250,Nasca,5,5
D,Spencer Boyd (27251323),Spencer Boyd,27251323,D,5000,SpeedyCash.com 250,Nasca,19,19
D,Armani Williams (27251324),Armani Williams,27251324,D,4800,SpeedyCash.com 250,Nasca,0,0
D,Mason Massey (27251325),Mason Massey,27251325,D,4600,SpeedyCash.com 250,Nasca,19.67,19.67
D,Trey Hutchens III (27251326),Trey Hutchens III,27251326,D,4500,SpeedyCash.com 250,Nasca,0,0
