Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Kyle Busch (26847290),Kyle Busch,26847290,D,10900,Pennzoil 400 presented by Jiffy Lube,Nasca,47.86
D,Kyle Larson (26847291),Kyle Larson,26847291,D,10700,Pennzoil 400 presented by Jiffy Lube,Nasca,26.45
D,Joey Logano (26847292),Joey Logano,26847292,D,10500,Pennzoil 400 presented by Jiffy Lube,Nasca,42.14
D,Ross Chastain (26847293),Ross Chastain,26847293,D,10300,Pennzoil 400 presented by Jiffy Lube,Nasca,50.16
D,Chase Elliott (26847294),Chase Elliott,26847294,D,10100,Pennzoil 400 presented by Jiffy Lube,Nasca,29.78
D,Denny Hamlin (26847295),Denny Hamlin,26847295,D,9900,Pennzoil 400 presented by Jiffy Lube,Nasca,41.85
D,Ryan Blaney (26847296),Ryan Blaney,26847296,D,9700,Pennzoil 400 presented by Jiffy Lube,Nasca,29.85
D,Martin Truex Jr (26847297),Martin Truex Jr,26847297,D,9500,Pennzoil 400 presented by Jiffy Lube,Nasca,41.76
D,Christopher Bell (26847298),Christopher Bell,26847298,D,9300,Pennzoil 400 presented by Jiffy Lube,Nasca,30.44
D,William Byron (26847299),William Byron,26847299,D,9100,Pennzoil 400 presented by Jiffy Lube,Nasca,20.25
D,Tyler Reddick (26847300),Tyler Reddick,26847300,D,8800,Pennzoil 400 presented by Jiffy Lube,Nasca,17.42
D,Kevin Harvick (26847301),Kevin Harvick,26847301,D,8600,Pennzoil 400 presented by Jiffy Lube,Nasca,40.79
D,Alex Bowman (26847302),Alex Bowman,26847302,D,8500,Pennzoil 400 presented by Jiffy Lube,Nasca,33
D,Bubba Wallace (26847303),Bubba Wallace,26847303,D,8300,Pennzoil 400 presented by Jiffy Lube,Nasca,19.95
D,Austin Dillon (26847304),Austin Dillon,26847304,D,8100,Pennzoil 400 presented by Jiffy Lube,Nasca,36.42
D,Josh Berry (26877863),Josh Berry,26877863,D,8000,Pennzoil 400 presented by Jiffy Lube,Nasca,0
D,Erik Jones (26847305),Erik Jones,26847305,D,7900,Pennzoil 400 presented by Jiffy Lube,Nasca,18.56
D,Brad Keselowski (26847306),Brad Keselowski,26847306,D,7700,Pennzoil 400 presented by Jiffy Lube,Nasca,39.22
D,Daniel Suarez (26847307),Daniel Suarez,26847307,D,7600,Pennzoil 400 presented by Jiffy Lube,Nasca,38.84
D,Chase Briscoe (26847308),Chase Briscoe,26847308,D,7400,Pennzoil 400 presented by Jiffy Lube,Nasca,19.64
D,Ryan Preece (26847309),Ryan Preece,26847309,D,7200,Pennzoil 400 presented by Jiffy Lube,Nasca,22.89
D,Austin Cindric (26847310),Austin Cindric,26847310,D,7100,Pennzoil 400 presented by Jiffy Lube,Nasca,18.36
D,Chris Buescher (26847311),Chris Buescher,26847311,D,6900,Pennzoil 400 presented by Jiffy Lube,Nasca,39.93
D,Ricky Stenhouse Jr (26847312),Ricky Stenhouse Jr,26847312,D,6800,Pennzoil 400 presented by Jiffy Lube,Nasca,44.3
D,Ty Gibbs (26847313),Ty Gibbs,26847313,D,6600,Pennzoil 400 presented by Jiffy Lube,Nasca,23.58
D,Aric Almirola (26847314),Aric Almirola,26847314,D,6400,Pennzoil 400 presented by Jiffy Lube,Nasca,16.25
D,Noah Gragson (26847315),Noah Gragson,26847315,D,6300,Pennzoil 400 presented by Jiffy Lube,Nasca,24.88
D,AJ Allmendinger (26847316),AJ Allmendinger,26847316,D,6100,Pennzoil 400 presented by Jiffy Lube,Nasca,24.58
D,Justin Haley (26847317),Justin Haley,26847317,D,5900,Pennzoil 400 presented by Jiffy Lube,Nasca,24.74
D,Michael McDowell (26847318),Michael McDowell,26847318,D,5700,Pennzoil 400 presented by Jiffy Lube,Nasca,24.72
D,Harrison Burton (26847319),Harrison Burton,26847319,D,5600,Pennzoil 400 presented by Jiffy Lube,Nasca,26.87
D,Ty Dillon (26847320),Ty Dillon,26847320,D,5400,Pennzoil 400 presented by Jiffy Lube,Nasca,11.75
D,Corey Lajoie (26847321),Corey Lajoie,26847321,D,5200,Pennzoil 400 presented by Jiffy Lube,Nasca,35.72
D,Todd Gilliland (26847322),Todd Gilliland,26847322,D,5100,Pennzoil 400 presented by Jiffy Lube,Nasca,26.96
D,Cody Ware (26847323),Cody Ware,26847323,D,4900,Pennzoil 400 presented by Jiffy Lube,Nasca,25.17
D,BJ McLeod (26847324),BJ McLeod,26847324,D,4700,Pennzoil 400 presented by Jiffy Lube,Nasca,23.38
D,JJ Yeley (26847325),JJ Yeley,26847325,D,4600,Pennzoil 400 presented by Jiffy Lube,Nasca,18
