Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
D,Kyle Larson (27178068),Kyle Larson,27178068,D,10400,EchoPark Automotive Grand Prix,Nasca,41.18,49.416
D,Kyle Busch (27178069),Kyle Busch,27178069,D,10200,EchoPark Automotive Grand Prix,Nasca,42.44,50.928
D,Ross Chastain (27178070),Ross Chastain,27178070,D,10100,EchoPark Automotive Grand Prix,Nasca,39.34,55.076
D,Tyler Reddick (27178071),Tyler Reddick,27178071,D,9900,EchoPark Automotive Grand Prix,Nasca,32.8,45.92
D,AJ Allmendinger (27178072),AJ Allmendinger,27178072,D,9700,EchoPark Automotive Grand Prix,Nasca,28.34,42.51
D,William Byron (27178073),William Byron,27178073,D,9500,EchoPark Automotive Grand Prix,Nasca,38.79,38.79
D,Christopher Bell (27178074),Christopher Bell,27178074,D,9300,EchoPark Automotive Grand Prix,Nasca,37.77,37.77
D,Ryan Blaney (27178075),Ryan Blaney,27178075,D,9100,EchoPark Automotive Grand Prix,Nasca,32.95,32.95
D,Daniel Suarez (27178076),Daniel Suarez,27178076,D,9000,EchoPark Automotive Grand Prix,Nasca,32.33,38.796
D,Austin Cindric (27178077),Austin Cindric,27178077,D,8800,EchoPark Automotive Grand Prix,Nasca,22.24,28.912
D,Joey Logano (27178078),Joey Logano,27178078,D,8700,EchoPark Automotive Grand Prix,Nasca,37.6,37.6
D,Alex Bowman (27178079),Alex Bowman,27178079,D,8600,EchoPark Automotive Grand Prix,Nasca,38.69,50.297
D,Denny Hamlin (27178080),Denny Hamlin,27178080,D,8500,EchoPark Automotive Grand Prix,Nasca,37.38,37.38
D,Chase Briscoe (27178081),Chase Briscoe,27178081,D,8300,EchoPark Automotive Grand Prix,Nasca,21.62,23.782
D,Martin Truex Jr (27178082),Martin Truex Jr,27178082,D,8200,EchoPark Automotive Grand Prix,Nasca,39.36,39.36
D,Kevin Harvick (27178083),Kevin Harvick,27178083,D,8000,EchoPark Automotive Grand Prix,Nasca,38.04,41.844
D,Brad Keselowski (27178084),Brad Keselowski,27178084,D,7900,EchoPark Automotive Grand Prix,Nasca,34.4,34.4
D,Chris Buescher (27178085),Chris Buescher,27178085,D,7700,EchoPark Automotive Grand Prix,Nasca,26.08,28.688
D,Jordan Taylor (27179674),Jordan Taylor,27179674,D,7500,EchoPark Automotive Grand Prix,Nasca,0,0
D,Erik Jones (27178086),Erik Jones,27178086,D,7400,EchoPark Automotive Grand Prix,Nasca,25.87,25.87
D,Jimmie Johnson (27178087),Jimmie Johnson,27178087,D,7300,EchoPark Automotive Grand Prix,Nasca,24.75,27.225
D,Michael McDowell (27178088),Michael McDowell,27178088,D,7100,EchoPark Automotive Grand Prix,Nasca,21.84,34.944
D,Kimi Raikkonen (27178089),Kimi Raikkonen,27178089,D,7000,EchoPark Automotive Grand Prix,Nasca,0,20
D,Bubba Wallace (27178090),Bubba Wallace,27178090,D,6900,EchoPark Automotive Grand Prix,Nasca,25.03,25.03
D,Jenson Button (27178091),Jenson Button,27178091,D,6800,EchoPark Automotive Grand Prix,Nasca,0,0
D,Ty Gibbs (27178092),Ty Gibbs,27178092,D,6600,EchoPark Automotive Grand Prix,Nasca,23.56,28.272
D,Austin Dillon (27178093),Austin Dillon,27178093,D,6400,EchoPark Automotive Grand Prix,Nasca,31.54,37.848
D,Justin Haley (27178094),Justin Haley,27178094,D,6200,EchoPark Automotive Grand Prix,Nasca,27.59,30.349
D,Ryan Preece (27178095),Ryan Preece,27178095,D,6000,EchoPark Automotive Grand Prix,Nasca,24.91,24.91
D,Aric Almirola (27178096),Aric Almirola,27178096,D,5800,EchoPark Automotive Grand Prix,Nasca,14.17,14.17
D,Noah Gragson (27178097),Noah Gragson,27178097,D,5600,EchoPark Automotive Grand Prix,Nasca,23.94,23.94
D,Todd Gilliland (27178098),Todd Gilliland,27178098,D,5400,EchoPark Automotive Grand Prix,Nasca,22.79,22.79
D,Harrison Burton (27178099),Harrison Burton,27178099,D,5300,EchoPark Automotive Grand Prix,Nasca,18.72,18.72
D,Ricky Stenhouse Jr (27178100),Ricky Stenhouse Jr,27178100,D,5200,EchoPark Automotive Grand Prix,Nasca,35.98,35.98
D,Corey Lajoie (27178101),Corey Lajoie,27178101,D,5100,EchoPark Automotive Grand Prix,Nasca,36.59,40.249
D,Conor Daly (27178102),Conor Daly,27178102,D,4900,EchoPark Automotive Grand Prix,Nasca,24.22,24.22
D,Cody Ware (27178103),Cody Ware,27178103,D,4800,EchoPark Automotive Grand Prix,Nasca,18.52,18.52
D,Ty Dillon (27178104),Ty Dillon,27178104,D,4700,EchoPark Automotive Grand Prix,Nasca,13.98,13.98
D,Josh Bilicki (27178105),Josh Bilicki,27178105,D,4600,EchoPark Automotive Grand Prix,Nasca,0,0
