Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
F,Nate Landwehr (27151852),Nate Landwehr,27151852,F,9400,Lingo@Landwehr 03/25/2023 08:00PM ET,Landwehr,57.16,57.16
F,CJ Vergara (27151840),CJ Vergara,27151840,F,9300,Lacerda@Vergara 03/25/2023 04:50PM ET,Vergara,48.84,48.84
F,Tucker Lutz (27151835),Tucker Lutz,27151835,F,9200,Lutz@Pineda 03/25/2023 05:50PM ET,Lutz,55.52,55.52
F,Maycee Barber (27151842),Maycee Barber,27151842,F,9100,Barber@Lee 03/25/2023 07:40PM ET,Barber,71.29,120
F,Holly Holm (27151829),Holly Holm,27151829,F,9000,Santos@Holm 03/25/2023 08:20PM ET,Holm,61.35,105
F,Manel Kape (27151831),Manel Kape,27151831,F,8900,Kape@Perez 03/25/2023 07:20PM ET,Kape,73.91,105
F,Chidi Njokuani (27151833),Chidi Njokuani,27151833,F,8800,Duraev@Njokuani 03/25/2023 07:00PM ET,Njokuani,86.41,86.41
F,Steven Peterson (27151837),Steven Peterson,27151837,F,8700,Alexander@Peterson 03/25/2023 05:30PM ET,Peterson,67.67,67.67
F,Cory Sandhagen (27151828),Cory Sandhagen,27151828,F,8600,Sandhagen@Vera 03/25/2023 08:40PM ET,Sandhagen,88.43,88.43
F,Manuel Torres (27151847),Manuel Torres,27151847,F,8500,Cancelled,Torres,114.08,0
F,Hailey Cowan (27151850),Hailey Cowan,27151850,F,8400,Cancelled,Cowan,0,0
F,Vinicius Salvador (27151845),Vinicius Salvador,27151845,F,8300,Salvador@Altamirano 03/25/2023 04:30PM ET,Salvador,0,110
F,Trevin Giles (27151843),Trevin Giles,27151843,F,8200,Parsons@Giles 03/25/2023 05:10PM ET,Giles,53.78,53.78
F,Preston Parsons (27151844),Preston Parsons,27151844,F,8000,Parsons@Giles 03/25/2023 05:10PM ET,Parsons,59.04,98
F,Victor Altamirano (27151846),Victor Altamirano,27151846,F,7900,Salvador@Altamirano 03/25/2023 04:30PM ET,Altamirano,87.83,40
F,Tamires Vidal (27151849),Tamires Vidal,27151849,F,7800,Cancelled,Vidal,109.48,0
F,Trey Ogden (27151848),Trey Ogden,27151848,F,7700,Cancelled,Ogden,56.3,56.3
F,Marlon Vera (27151827),Marlon Vera,27151827,F,7600,Sandhagen@Vera 03/25/2023 08:40PM ET,Vera,75.19,75.19
F,Lucas Alexander (27151838),Lucas Alexander,27151838,F,7500,Alexander@Peterson 03/25/2023 05:30PM ET,Alexander,0.4,0.4
F,Albert Duraev (27151834),Albert Duraev,27151834,F,7400,Duraev@Njokuani 03/25/2023 07:00PM ET,Duraev,54.12,105
F,Alex Perez (27151832),Alex Perez,27151832,F,7300,Kape@Perez 03/25/2023 07:20PM ET,Perez,75.47,75.47
F,Yana Santos (27151830),Yana Santos,27151830,F,7200,Santos@Holm 03/25/2023 08:20PM ET,Santos,66.68,66.68
F,Andrea Lee (27151841),Andrea Lee,27151841,F,7100,Barber@Lee 03/25/2023 07:40PM ET,Lee,73.88,73.88
F,Daniel Pineda (27151836),Daniel Pineda,27151836,F,7000,Lutz@Pineda 03/25/2023 05:50PM ET,Pineda,58.7,58.7
F,Daniel da Silva (27151839),Daniel da Silva,27151839,F,6900,Lacerda@Vergara 03/25/2023 04:50PM ET,Lacerda,13.13,13.13
F,Austin Lingo (27151851),Austin Lingo,27151851,F,6800,Lingo@Landwehr 03/25/2023 08:00PM ET,Lingo,59.37,80
