Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Rodolfo Bellato (31173731),Rodolfo Bellato,31173731,F,9600,Potieria@Bellato 12/02/2023 04:40PM ET,Bellato,0
F,Punahele Soriano (31173724),Punahele Soriano,31173724,F,9400,Stoltzfus@Soriano 12/02/2023 07:00PM ET,Soriano,68
F,Zach Reese (31173726),Zach Reese,31173726,F,9300,Brundage@Reese 12/02/2023 05:20PM ET,Reese,0
F,Arman Tsarukyan (31173709),Arman Tsarukyan,31173709,F,9200,Tsarukyan@Dariush 12/02/2023 08:40PM ET,Tsarukyan,91.70
F,Joaquim Silva (31173721),Joaquim Silva,31173721,F,9100,Silva@Guida 12/02/2023 07:20PM ET,Silva,52.54
F,Wellington Turman (31173733),Wellington Turman,31173733,F,9000,Gooden@Turman 12/02/2023 04:20PM ET,Turman,44.7
F,Melquizael Costa (31173730),Melquizael Costa,31173730,F,8900,Cancelled,Costa,52.39
F,Jalin Turner (31306167),Jalin Turner,31306167,F,8900,Green@Turner 12/02/2023 08:20PM ET,Turner,81.05
F,Rob Font (31173715),Rob Font,31173715,F,8800,Figueiredo@Font 12/02/2023 08:00PM ET,Font,82.68
F,Julia Avila (31173717),Julia Avila,31173717,F,8700,Avila@Tate 12/02/2023 05:40PM ET,Avila,79.67
F,Dan Hooker (31173711),Dan Hooker,31173711,F,8600,-,Hooker,74.32
F,Jamey-Lyn Horth (31173736),Jamey-Lyn Horth,31173736,F,8500,Horth@Hardy 12/02/2023 04:00PM ET,Horth,67.01
F,Azamat Murzakanov (31173719),Azamat Murzakanov,31173719,F,8400,Cancelled,Murzakanov,80.55
F,Drakkar Klose (31173727),Drakkar Klose,31173727,F,8300,Solecki@Klose 12/02/2023 05:00PM ET,Klose,71.33
F,Sean Brady (31173713),Sean Brady,31173713,F,8200,Gastelum@Brady 12/02/2023 07:40PM ET,Brady,86.10
F,Kelvin Gastelum (31173714),Kelvin Gastelum,31173714,F,8000,Gastelum@Brady 12/02/2023 07:40PM ET,Gastelum,64.73
F,Joe Solecki (31173728),Joe Solecki,31173728,F,7900,Solecki@Klose 12/02/2023 05:00PM ET,Solecki,87.50
F,Khalil Rountree Jr. (31173720),Khalil Rountree Jr.,31173720,F,7800,Cancelled,Rountree Jr.,63.10
F,Veronica Hardy (31173735),Veronica Hardy,31173735,F,7700,Horth@Hardy 12/02/2023 04:00PM ET,Hardy,48.87
F,Bobby Green (31173712),Bobby Green,31173712,F,7600,Green@Turner 12/02/2023 08:20PM ET,Green,65.27
F,Miesha Tate (31173718),Miesha Tate,31173718,F,7500,Avila@Tate 12/02/2023 05:40PM ET,Tate,56.73
F,Deiveson Figueiredo (31173716),Deiveson Figueiredo,31173716,F,7400,Figueiredo@Font 12/02/2023 08:00PM ET,Figueiredo,79.02
F,Steve Garcia (31173729),Steve Garcia,31173729,F,7300,Cancelled,Garcia,75.26
F,Jared Gooden (31173734),Jared Gooden,31173734,F,7200,Gooden@Turman 12/02/2023 04:20PM ET,Gooden,50.60
F,Clay Guida (31173722),Clay Guida,31173722,F,7100,Silva@Guida 12/02/2023 07:20PM ET,Guida,64.54
F,Beneil Dariush (31173710),Beneil Dariush,31173710,F,7000,Tsarukyan@Dariush 12/02/2023 08:40PM ET,Dariush,72.48
F,Cody Brundage (31173725),Cody Brundage,31173725,F,6900,Brundage@Reese 12/02/2023 05:20PM ET,Brundage,56.87
F,Dustin Stoltzfus (31173723),Dustin Stoltzfus,31173723,F,6800,Stoltzfus@Soriano 12/02/2023 07:00PM ET,Stoltzfus,38.64
F,Ihor Potieria (31173732),Ihor Potieria,31173732,F,6600,Potieria@Bellato 12/02/2023 04:40PM ET,Potieria,43.58
