Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
PG,Shai Gilgeous-Alexander (27470873),Shai Gilgeous-Alexander,27470873,PG/G/UTIL,10400,OKC@MIN 04/14/2023 09:30PM ET,OKC,49.93,L,
SF/PF,Jimmy Butler (27470876),Jimmy Butler,27470876,SF/PF/F/UTIL,9000,CHI@MIA 04/14/2023 07:00PM ET,MIA,42.29,L,
PG/SG,Josh Giddey (27470880),Josh Giddey,27470880,PG/SG/G/UTIL,8900,OKC@MIN 04/14/2023 09:30PM ET,OKC,38.13,L,
SG/SF,Anthony Edwards (27470884),Anthony Edwards,27470884,SG/SF/F/G/UTIL,8800,OKC@MIN 04/14/2023 09:30PM ET,MIN,42.91,L,
PF/C,Karl-Anthony Towns (27470889),Karl-Anthony Towns,27470889,PF/C/F/UTIL,8500,OKC@MIN 04/14/2023 09:30PM ET,MIN,41.14,L,
SG/SF,Zach LaVine (27470893),Zach LaVine,27470893,SG/SF/F/G/UTIL,8000,CHI@MIA 04/14/2023 07:00PM ET,CHI,39.34,L,
C,Rudy Gobert (27470898),Rudy Gobert,27470898,C/UTIL,7900,OKC@MIN 04/14/2023 09:30PM ET,MIN,34.01,L,
SF/PF,DeMar DeRozan (27470900),DeMar DeRozan,27470900,SF/PF/F/UTIL,7700,CHI@MIA 04/14/2023 07:00PM ET,CHI,40.58,L,
C,Bam Adebayo (27470904),Bam Adebayo,27470904,C/UTIL,7600,CHI@MIA 04/14/2023 07:00PM ET,MIA,40,L,
C,Nikola Vucevic (27470906),Nikola Vucevic,27470906,C/UTIL,7500,CHI@MIA 04/14/2023 07:00PM ET,CHI,39.99,L,
SF/PF,Kyle Anderson (27470908),Kyle Anderson,27470908,SF/PF/F/UTIL,7400,OKC@MIN 04/14/2023 09:30PM ET,MIN,27.71,L,
PG/SG,Tyler Herro (27470912),Tyler Herro,27470912,PG/SG/G/UTIL,7100,CHI@MIA 04/14/2023 07:00PM ET,MIA,35.62,L,
PG,Mike Conley (27470916),Mike Conley,27470916,PG/G/UTIL,6800,OKC@MIN 04/14/2023 09:30PM ET,MIN,28.57,L,
PF,Jalen Williams (27470919),Jalen Williams,27470919,PF/F/UTIL,6400,OKC@MIN 04/14/2023 09:30PM ET,OKC,28.02,L,
SF,Luguentz Dort (27470922),Luguentz Dort,27470922,SF/F/UTIL,5900,OKC@MIN 04/14/2023 09:30PM ET,OKC,25.84,L,
PG,Kyle Lowry (27470925),Kyle Lowry,27470925,PG/G/UTIL,5600,CHI@MIA 04/14/2023 07:00PM ET,MIA,27.33,L,
SF/PF,Taurean Prince (27470928),Taurean Prince,27470928,SF/PF/F/UTIL,5200,OKC@MIN 04/14/2023 09:30PM ET,MIN,16.3,L,
PG/SG,Alex Caruso (27470932),Alex Caruso,27470932,PG/SG/G/UTIL,5000,CHI@MIA 04/14/2023 07:00PM ET,CHI,17.86,L,
PG/SG,Gabe Vincent (27470936),Gabe Vincent,27470936,PG/SG/G/UTIL,4900,CHI@MIA 04/14/2023 07:00PM ET,MIA,17.87,O,
PG/SG,Coby White (27470940),Coby White,27470940,PG/SG/G/UTIL,4800,CHI@MIA 04/14/2023 07:00PM ET,CHI,19.37,L,
SF/PF,Patrick Williams (27470944),Patrick Williams,27470944,SF/PF/F/UTIL,4700,CHI@MIA 04/14/2023 07:00PM ET,CHI,20.58,L,
SG/SF,Max Strus (27470948),Max Strus,27470948,SG/SF/F/G/UTIL,4600,CHI@MIA 04/14/2023 07:00PM ET,MIA,20.84,L,
SF/PF,Caleb Martin (27470953),Caleb Martin,27470953,SF/PF/F/UTIL,4500,CHI@MIA 04/14/2023 07:00PM ET,MIA,20.93,L,
C,Jaylin Williams (27470957),Jaylin Williams,27470957,C/UTIL,4400,OKC@MIN 04/14/2023 09:30PM ET,OKC,16.4,L,
PG/SG,Patrick Beverley (27470959),Patrick Beverley,27470959,PG/SG/G/UTIL,4300,CHI@MIA 04/14/2023 07:00PM ET,CHI,18.35,L,
SG/SF,Isaiah Joe (27470963),Isaiah Joe,27470963,SG/SF/F/G/UTIL,4200,OKC@MIN 04/14/2023 09:30PM ET,OKC,16.51,L,
PF/C,Kevin Love (27470968),Kevin Love,27470968,PF/C/F/UTIL,4100,CHI@MIA 04/14/2023 07:00PM ET,MIA,20.05,L,
PG/SG,Nickeil Alexander-Walker (27470972),Nickeil Alexander-Walker,27470972,PG/SG/G/UTIL,4000,OKC@MIN 04/14/2023 09:30PM ET,MIN,13.03,L,
