Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
PF/C,Giannis Antetokounmpo (27089099),Giannis Antetokounmpo,27089099,PF/C/F/UTIL,12000,IND@MIL 03/16/2023 08:00PM ET,MIL,57.46,L,74.698
C,Nikola Jokic (27089103),Nikola Jokic,27089103,C/UTIL,11600,DEN@DET 03/16/2023 07:00PM ET,DEN,59.49,L,71.388
C,Domantas Sabonis (27089105),Domantas Sabonis,27089105,C/UTIL,10100,SAC@BKN 03/16/2023 07:30PM ET,SAC,48.31,L,57.972
PG/SG,Devin Booker (27089107),Devin Booker,27089107,PG/SG/G/UTIL,9900,ORL@PHX 03/16/2023 10:00PM ET,PHX,44.6,L,44.6
SF/PF,Kevin Durant (27089111),Kevin Durant,27089111,SF/PF/F/UTIL,9800,ORL@PHX 03/16/2023 10:00PM ET,PHX,49.68,O,49.68
PG,Tyrese Haliburton (27089115),Tyrese Haliburton,27089115,PG/G/UTIL,9700,IND@MIL 03/16/2023 08:00PM ET,IND,46.24,L,46.24
PG,Shai Gilgeous-Alexander (27089118),Shai Gilgeous-Alexander,27089118,PG/G/UTIL,9600,OKC@TOR 03/16/2023 07:30PM ET,OKC,50.22,L,60.264
PG,De'Aaron Fox (27089121),De'Aaron Fox,27089121,PG/G/UTIL,8900,SAC@BKN 03/16/2023 07:30PM ET,SAC,43.02,L,47.322
PG,Fred VanVleet (27089124),Fred VanVleet,27089124,PG/G/UTIL,8600,OKC@TOR 03/16/2023 07:30PM ET,TOR,40.5,L,44.55
PG,Jrue Holiday (27089127),Jrue Holiday,27089127,PG/G/UTIL,8500,IND@MIL 03/16/2023 08:00PM ET,MIL,39.85,L,39.85
PF/C,Pascal Siakam (27089130),Pascal Siakam,27089130,PF/C/F/UTIL,8400,OKC@TOR 03/16/2023 07:30PM ET,TOR,45.24,L,58.812
SG,Mikal Bridges (27089134),Mikal Bridges,27089134,SG/G/UTIL,8300,SAC@BKN 03/16/2023 07:30PM ET,BKN,33.9,L,47.46
SF,Khris Middleton (27089137),Khris Middleton,27089137,SF/F/UTIL,8200,IND@MIL 03/16/2023 08:00PM ET,MIL,28.49,L,34.188
C,Myles Turner (27089140),Myles Turner,27089140,C/UTIL,8100,IND@MIL 03/16/2023 08:00PM ET,IND,36,L,36
PG/SG,Josh Giddey (27089142),Josh Giddey,27089142,PG/SG/G/UTIL,8000,OKC@TOR 03/16/2023 07:30PM ET,OKC,37.59,L,41.349
PG,Spencer Dinwiddie (27089146),Spencer Dinwiddie,27089146,PG/G/UTIL,7900,SAC@BKN 03/16/2023 07:30PM ET,BKN,33.35,L,43.355
C,Brook Lopez (27089149),Brook Lopez,27089149,C/UTIL,7800,IND@MIL 03/16/2023 08:00PM ET,MIL,32.26,L,32.26
PG,Jamal Murray (27089151),Jamal Murray,27089151,PG/G/UTIL,7700,DEN@DET 03/16/2023 07:00PM ET,DEN,36.78,L,33.102
SF/PF,Paolo Banchero (27089154),Paolo Banchero,27089154,SF/PF/F/UTIL,7600,ORL@PHX 03/16/2023 10:00PM ET,ORL,36.04,L,43.248
PG,Chris Paul (27089158),Chris Paul,27089158,PG/G/UTIL,7500,ORL@PHX 03/16/2023 10:00PM ET,PHX,36.66,L,36.66
C,Deandre Ayton (27089161),Deandre Ayton,27089161,C/UTIL,7400,ORL@PHX 03/16/2023 10:00PM ET,PHX,36.53,L,40.183
SF/PF,Scottie Barnes (27089163),Scottie Barnes,27089163,SF/PF/F/UTIL,7300,OKC@TOR 03/16/2023 07:30PM ET,TOR,35.06,L,42.072
C,Jakob Poeltl (27089167),Jakob Poeltl,27089167,C/UTIL,7200,OKC@TOR 03/16/2023 07:30PM ET,TOR,32.43,L,38.916
PF,Jalen Williams (27089169),Jalen Williams,27089169,PF/F/UTIL,7100,OKC@TOR 03/16/2023 07:30PM ET,OKC,27.34,L,30.074
PG/SG,Jaden Ivey (27089172),Jaden Ivey,27089172,PG/SG/G/UTIL,7000,DEN@DET 03/16/2023 07:00PM ET,DET,29.3,L,29.3
C,James Wiseman (27089176),James Wiseman,27089176,C/UTIL,6900,DEN@DET 03/16/2023 07:00PM ET,DET,18.33,L,29.328
PF/C,Marvin Bagley III (27089178),Marvin Bagley III,27089178,PF/C/F/UTIL,6800,DEN@DET 03/16/2023 07:00PM ET,DET,23.07,L,23.07
PG,Killian Hayes (27089182),Killian Hayes,27089182,PG/G/UTIL,6700,DEN@DET 03/16/2023 07:00PM ET,DET,25.22,L,25.22
C,Nic Claxton (27089185),Nic Claxton,27089185,C/UTIL,6600,SAC@BKN 03/16/2023 07:30PM ET,BKN,33.1,L,36.41
PF/C,Bobby Portis (27089189),Bobby Portis,27089189,PF/C/F/UTIL,6500,IND@MIL 03/16/2023 08:00PM ET,MIL,30.28,L,36.336
C,Wendell Carter Jr. (27089187),Wendell Carter Jr.,27089187,C/UTIL,6500,ORL@PHX 03/16/2023 10:00PM ET,ORL,32.09,L,32.09
SF,Buddy Hield (27089193),Buddy Hield,27089193,SF/F/UTIL,6400,IND@MIL 03/16/2023 08:00PM ET,IND,31.44,L,31.44
PG,Markelle Fultz (27089196),Markelle Fultz,27089196,PG/G/UTIL,6400,ORL@PHX 03/16/2023 10:00PM ET,ORL,29.73,L,29.73
SF/PF,Cameron Johnson (27089199),Cameron Johnson,27089199,SF/PF/F/UTIL,6300,SAC@BKN 03/16/2023 07:30PM ET,BKN,26.78,L,29.458
SG,OG Anunoby (27089203),OG Anunoby,27089203,SG/G/UTIL,6300,OKC@TOR 03/16/2023 07:30PM ET,TOR,31.46,L,31.46
PF,Aaron Gordon (27089206),Aaron Gordon,27089206,PF/F/UTIL,6200,DEN@DET 03/16/2023 07:00PM ET,DEN,32.6,L,32.6
SG/SF,Franz Wagner (27089209),Franz Wagner,27089209,SG/SF/F/G/UTIL,6100,ORL@PHX 03/16/2023 10:00PM ET,ORL,30.74,L,30.74
SF,Michael Porter Jr. (27089214),Michael Porter Jr.,27089214,SF/F/UTIL,6000,DEN@DET 03/16/2023 07:00PM ET,DEN,28.65,L,34.38
PG/SG,Andrew Nembhard (27089217),Andrew Nembhard,27089217,PG/SG/G/UTIL,6000,IND@MIL 03/16/2023 08:00PM ET,IND,19.81,L,25.753
SF/PF,Bojan Bogdanovic (27089221),Bojan Bogdanovic,27089221,SF/PF/F/UTIL,5900,DEN@DET 03/16/2023 07:00PM ET,DET,31.67,O,31.67
SF,Luguentz Dort (27089225),Luguentz Dort,27089225,SF/F/UTIL,5800,OKC@TOR 03/16/2023 07:30PM ET,OKC,25.71,L,25.71
SG/SF,Kevin Huerter (27089228),Kevin Huerter,27089228,SG/SF/F/G/UTIL,5700,SAC@BKN 03/16/2023 07:30PM ET,SAC,27.15,L,27.15
SF/PF,Isaiah Livers (27089233),Isaiah Livers,27089233,SF/PF/F/UTIL,5500,DEN@DET 03/16/2023 07:00PM ET,DET,13.22,O,13.22
C,Isaiah Jackson (27089241),Isaiah Jackson,27089241,C/UTIL,5400,IND@MIL 03/16/2023 08:00PM ET,IND,16.83,L,16.83
PG/SG,Cole Anthony (27089237),Cole Anthony,27089237,PG/SG/G/UTIL,5400,ORL@PHX 03/16/2023 10:00PM ET,ORL,26.05,L,26.05
SG/SF,Bennedict Mathurin (27089243),Bennedict Mathurin,27089243,SG/SF/F/G/UTIL,5300,IND@MIL 03/16/2023 08:00PM ET,IND,24.97,O,24.97
C,Jalen Duren (27089248),Jalen Duren,27089248,C/UTIL,5200,DEN@DET 03/16/2023 07:00PM ET,DET,24.14,L,24.14
C,Ben Simmons (27089263),Ben Simmons,27089263,C/UTIL,5100,SAC@BKN 03/16/2023 07:30PM ET,BKN,26.64,O,26.64
PF/C,Eugene Omoruyi (27089259),Eugene Omoruyi,27089259,PF/C/F/UTIL,5100,DEN@DET 03/16/2023 07:00PM ET,DET,11.21,L,11.21
PF/C,Jalen Smith (27089265),Jalen Smith,27089265,PF/C/F/UTIL,5100,IND@MIL 03/16/2023 08:00PM ET,IND,20.05,L,20.05
SG/SF,Josh Okogie (27089250),Josh Okogie,27089250,SG/SF/F/G/UTIL,5100,ORL@PHX 03/16/2023 10:00PM ET,PHX,15.53,L,17.083
SF/PF,Harrison Barnes (27089255),Harrison Barnes,27089255,SF/PF/F/UTIL,5100,SAC@BKN 03/16/2023 07:30PM ET,SAC,25.25,L,25.25
SF/PF,Royce O'Neale (27089272),Royce O'Neale,27089272,SF/PF/F/UTIL,5000,SAC@BKN 03/16/2023 07:30PM ET,BKN,24.22,L,24.22
SG/SF,Rodney McGruder (27089276),Rodney McGruder,27089276,SG/SF/F/G/UTIL,5000,DEN@DET 03/16/2023 07:00PM ET,DET,9.28,L,9.28
PG,T.J. McConnell (27089269),T.J. McConnell,27089269,PG/G/UTIL,5000,IND@MIL 03/16/2023 08:00PM ET,IND,20.8,L,20.8
