Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
PG,Luka Doncic (27101629),Luka Doncic,27101629,PG/G/UTIL,12100,DAL@LAL 03/17/2023 10:30PM ET,DAL,60.55,O,60.55
C,Joel Embiid (27101632),Joel Embiid,27101632,C/UTIL,11400,PHI@CHA 03/17/2023 07:00PM ET,PHI,57.68,L,69.216
SF/PF,Jayson Tatum (27101634),Jayson Tatum,27101634,SF/PF/F/UTIL,10800,BOS@POR 03/17/2023 10:00PM ET,BOS,52.81,M,52.81
C,Anthony Davis (27101638),Anthony Davis,27101638,C/UTIL,10700,DAL@LAL 03/17/2023 10:30PM ET,LAL,51.96,L,51.96
PG,Stephen Curry (27101640),Stephen Curry,27101640,PG/G/UTIL,10500,GSW@ATL 03/17/2023 07:30PM ET,GSW,51.19,M,61.428
SF,LeBron James (27101643),LeBron James,27101643,SF/F/UTIL,10400,DAL@LAL 03/17/2023 10:30PM ET,LAL,53.52,O,53.52
PG,Damian Lillard (27101646),Damian Lillard,27101646,PG/G/UTIL,10300,BOS@POR 03/17/2023 10:00PM ET,POR,52.39,L,52.39
PG/SG,Kyrie Irving (27101649),Kyrie Irving,27101649,PG/SG/G/UTIL,10200,DAL@LAL 03/17/2023 10:30PM ET,DAL,46.17,L,46.17
PG,James Harden (27101653),James Harden,27101653,PG/G/UTIL,9600,PHI@CHA 03/17/2023 07:00PM ET,PHI,50.32,L,55.352
PG,Trae Young (27101656),Trae Young,27101656,PG/G/UTIL,9500,GSW@ATL 03/17/2023 07:30PM ET,ATL,48.39,L,53.229
SG/SF,Anthony Edwards (27101659),Anthony Edwards,27101659,SG/SF/F/G/UTIL,9200,MIN@CHI 03/17/2023 08:00PM ET,MIN,43.69,O,48.059
PG,Ja Morant (27101664),Ja Morant,27101664,PG/G/UTIL,9100,MEM@SAS 03/17/2023 08:00PM ET,MEM,49.55,O,49.55
PG/SG,Donovan Mitchell (27101667),Donovan Mitchell,27101667,PG/SG/G/UTIL,9000,WAS@CLE 03/17/2023 07:30PM ET,CLE,44.05,L,48.455
SG/SF,Jaylen Brown (27101671),Jaylen Brown,27101671,SG/SF/F/G/UTIL,8900,BOS@POR 03/17/2023 10:00PM ET,BOS,43.73,L,56.849
SG/SF,Zach LaVine (27101676),Zach LaVine,27101676,SG/SF/F/G/UTIL,8800,MIN@CHI 03/17/2023 08:00PM ET,CHI,39.34,L,39.34
SF/PF,DeMar DeRozan (27101681),DeMar DeRozan,27101681,SF/PF/F/UTIL,8700,MIN@CHI 03/17/2023 08:00PM ET,CHI,40.66,L,40.66
PF/C,Kristaps Porzingis (27101685),Kristaps Porzingis,27101685,PF/C/F/UTIL,8600,WAS@CLE 03/17/2023 07:30PM ET,WAS,42.69,L,42.69
C,Karl-Anthony Towns (27101689),Karl-Anthony Towns,27101689,C/UTIL,8500,MIN@CHI 03/17/2023 08:00PM ET,MIN,41.71,L,41.71
PG/SG,D'Angelo Russell (27101691),D'Angelo Russell,27101691,PG/SG/G/UTIL,8400,DAL@LAL 03/17/2023 10:30PM ET,LAL,34.24,L,34.24
PF/C,Zion Williamson (27101695),Zion Williamson,27101695,PF/C/F/UTIL,8300,NOP@HOU 03/17/2023 08:00PM ET,NOP,43.57,O,43.57
SG,Bradley Beal (27101699),Bradley Beal,27101699,SG/G/UTIL,8200,WAS@CLE 03/17/2023 07:30PM ET,WAS,39.11,L,43.021
SF,Brandon Ingram (27101702),Brandon Ingram,27101702,SF/F/UTIL,8100,NOP@HOU 03/17/2023 08:00PM ET,NOP,37.88,L,41.668
C,Nikola Vucevic (27101705),Nikola Vucevic,27101705,C/UTIL,8000,MIN@CHI 03/17/2023 08:00PM ET,CHI,40.74,L,44.814
PG,Terry Rozier (27101707),Terry Rozier,27101707,PG/G/UTIL,7900,PHI@CHA 03/17/2023 07:00PM ET,CHA,37.38,L,37.38
PG/SG,Dejounte Murray (27101710),Dejounte Murray,27101710,PG/SG/G/UTIL,7800,GSW@ATL 03/17/2023 07:30PM ET,ATL,40.02,L,40.02
PG,CJ McCollum (27101714),CJ McCollum,27101714,PG/G/UTIL,7700,NOP@HOU 03/17/2023 08:00PM ET,NOP,38.51,L,38.51
PF/C,Evan Mobley (27101717),Evan Mobley,27101717,PF/C/F/UTIL,7600,WAS@CLE 03/17/2023 07:30PM ET,CLE,35.3,L,35.3
PG,Kevin Porter Jr. (27101724),Kevin Porter Jr.,27101724,PG/G/UTIL,7500,NOP@HOU 03/17/2023 08:00PM ET,HOU,37.17,L,37.17
SF,Keldon Johnson (27101721),Keldon Johnson,27101721,SF/F/UTIL,7500,MEM@SAS 03/17/2023 08:00PM ET,SAS,33.94,L,33.94
PG,Darius Garland (27101730),Darius Garland,27101730,PG/G/UTIL,7400,WAS@CLE 03/17/2023 07:30PM ET,CLE,40.09,L,40.09
SG,Desmond Bane (27101727),Desmond Bane,27101727,SG/G/UTIL,7400,MEM@SAS 03/17/2023 08:00PM ET,MEM,36.73,L,36.73
PG/SG,Jaden Hardy (27101737),Jaden Hardy,27101737,PG/SG/G/UTIL,7300,DAL@LAL 03/17/2023 10:30PM ET,DAL,12.52,L,26.292
PF/C,Jaren Jackson Jr. (27101733),Jaren Jackson Jr.,27101733,PF/C/F/UTIL,7300,MEM@SAS 03/17/2023 08:00PM ET,MEM,34.97,L,41.964
SG/SF,Kelly Oubre Jr. (27101741),Kelly Oubre Jr.,27101741,SG/SF/F/G/UTIL,7200,PHI@CHA 03/17/2023 07:00PM ET,CHA,33.07,L,33.07
SF/PF,Kyle Kuzma (27101746),Kyle Kuzma,27101746,SF/PF/F/UTIL,7200,WAS@CLE 03/17/2023 07:30PM ET,WAS,38.22,L,38.22
SG/SF,Klay Thompson (27101750),Klay Thompson,27101750,SG/SF/F/G/UTIL,7100,GSW@ATL 03/17/2023 07:30PM ET,GSW,34.33,L,34.33
PF,Jerami Grant (27101755),Jerami Grant,27101755,PF/F/UTIL,7100,BOS@POR 03/17/2023 10:00PM ET,POR,33.23,L,33.23
PG/SG,Jalen Green (27101760),Jalen Green,27101760,PG/SG/G/UTIL,7000,NOP@HOU 03/17/2023 08:00PM ET,HOU,33.73,L,33.73
C,Rudy Gobert (27101758),Rudy Gobert,27101758,C/UTIL,7000,MIN@CHI 03/17/2023 08:00PM ET,MIN,33.72,L,33.72
C,Alperen Sengun (27101764),Alperen Sengun,27101764,C/UTIL,6900,NOP@HOU 03/17/2023 08:00PM ET,HOU,34.47,L,34.47
SF/PF,Kyle Anderson (27101766),Kyle Anderson,27101766,SF/PF/F/UTIL,6900,MIN@CHI 03/17/2023 08:00PM ET,MIN,26.14,L,26.14
PF,Jabari Smith Jr. (27101770),Jabari Smith Jr.,27101770,PF/F/UTIL,6800,NOP@HOU 03/17/2023 08:00PM ET,HOU,26.51,L,26.51
C,Christian Wood (27101776),Christian Wood,27101776,C/UTIL,6700,DAL@LAL 03/17/2023 10:30PM ET,DAL,32.49,L,32.49
