Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints,EWAvgPoints,
PG,Luka Doncic (27209666),Luka Doncic,27209666,PG/G/UTIL,11900,DAL@IND 03/27/2023 07:00PM ET,DAL,60.93,L,60.93,10,
PF/C,Giannis Antetokounmpo (27209669),Giannis Antetokounmpo,27209669,PF/C/F/UTIL,11600,MIL@DET 03/27/2023 07:00PM ET,MIL,57.07,O,57.07,10,
C,Joel Embiid (27209673),Joel Embiid,27209673,C/UTIL,11500,PHI@DEN 03/27/2023 09:30PM ET,PHI,57.71,O,57.71,10,
C,Nikola Jokic (27209675),Nikola Jokic,27209675,C/UTIL,11400,PHI@DEN 03/27/2023 09:30PM ET,DEN,59.5,L,65.45,12.1,12
PG,Damian Lillard (27209677),Damian Lillard,27209677,PG/G/UTIL,11000,NOP@POR 03/27/2023 10:00PM ET,POR,52.45,O,52.45,12,
C,Domantas Sabonis (27209680),Domantas Sabonis,27209680,C/UTIL,10300,MIN@SAC 03/27/2023 10:00PM ET,SAC,48.76,L,48.76,10,
SF/PF,Kawhi Leonard (27209682),Kawhi Leonard,27209682,SF/PF/F/UTIL,10100,CHI@LAC 03/27/2023 10:30PM ET,LAC,41.67,L,50.004,13.2,
SG,Devin Booker (27209686),Devin Booker,27209686,SG/G/UTIL,10000,PHX@UTA 03/27/2023 09:00PM ET,PHX,44.43,L,48.873,11,
PG/SG,Kyrie Irving (27209689),Kyrie Irving,27209689,PG/SG/G/UTIL,9800,DAL@IND 03/27/2023 07:00PM ET,DAL,45.94,L,55.128,12,
SF/PF,Kevin Durant (27209693),Kevin Durant,27209693,SF/PF/F/UTIL,9700,PHX@UTA 03/27/2023 09:00PM ET,PHX,49.68,O,49.68,10,
PG,James Harden (27209697),James Harden,27209697,PG/G/UTIL,9600,PHI@DEN 03/27/2023 09:30PM ET,PHI,49.98,L,49.98,10,
PF,Julius Randle (27209700),Julius Randle,27209700,PF/F/UTIL,9300,HOU@NYK 03/27/2023 07:30PM ET,NYK,46.95,L,56.34,12,
SG/SF,Paul George (27209703),Paul George,27209703,SG/SF/F/G/UTIL,9200,CHI@LAC 03/27/2023 10:30PM ET,LAC,42.92,O,42.92,11,
PG,Tyrese Haliburton (27209708),Tyrese Haliburton,27209708,PG/G/UTIL,9100,DAL@IND 03/27/2023 07:00PM ET,IND,46.14,L,46.14,10,
SF,Lauri Markkanen (27209711),Lauri Markkanen,27209711,SF/F/UTIL,9000,PHX@UTA 03/27/2023 09:00PM ET,UTA,42.91,L,42.91,11,
SF,Brandon Ingram (27209714),Brandon Ingram,27209714,SF/F/UTIL,8900,NOP@POR 03/27/2023 10:00PM ET,NOP,39.79,L,47.748,12,
SG/SF,Anthony Edwards (27209717),Anthony Edwards,27209717,SG/SF/F/G/UTIL,8800,MIN@SAC 03/27/2023 10:00PM ET,MIN,42.96,L,42.96,10,
SG/SF,Zach LaVine (27209722),Zach LaVine,27209722,SG/SF/F/G/UTIL,8700,CHI@LAC 03/27/2023 10:30PM ET,CHI,39.52,L,39.52,10,
SF/PF,DeMar DeRozan (27209727),DeMar DeRozan,27209727,SF/PF/F/UTIL,8600,CHI@LAC 03/27/2023 10:30PM ET,CHI,41.1,L,41.1,10,
C,Nikola Vucevic (27209731),Nikola Vucevic,27209731,C/UTIL,8500,CHI@LAC 03/27/2023 10:30PM ET,CHI,40.26,L,44.286,11,
PG,De'Aaron Fox (27209733),De'Aaron Fox,27209733,PG/G/UTIL,8400,MIN@SAC 03/27/2023 10:00PM ET,SAC,42.31,L,42.31,10,
PF,Karl-Anthony Towns (27209736),Karl-Anthony Towns,27209736,PF/F/UTIL,8300,MIN@SAC 03/27/2023 10:00PM ET,MIN,40.88,O,40.88,10,
PG,CJ McCollum (27209739),CJ McCollum,27209739,PG/G/UTIL,8200,NOP@POR 03/27/2023 10:00PM ET,NOP,38.58,L,46.296,12,
PG,Russell Westbrook (27209742),Russell Westbrook,27209742,PG/G/UTIL,8100,CHI@LAC 03/27/2023 10:30PM ET,LAC,36.46,L,36.46,11,
PF/C,Zion Williamson (27209745),Zion Williamson,27209745,PF/C/F/UTIL,8000,NOP@POR 03/27/2023 10:00PM ET,NOP,43.57,O,43.57,10,
PG,Jamal Murray (27209749),Jamal Murray,27209749,PG/G/UTIL,7900,PHI@DEN 03/27/2023 09:30PM ET,DEN,37.23,L,37.23,11,
C,Jonas Valanciunas (27209752),Jonas Valanciunas,27209752,C/UTIL,7900,NOP@POR 03/27/2023 10:00PM ET,NOP,31.19,L,43.666,14,
PG,Kevin Porter Jr. (27209754),Kevin Porter Jr.,27209754,PG/G/UTIL,7800,HOU@NYK 03/27/2023 07:30PM ET,HOU,37.07,L,37.07,11,
PG,Jalen Brunson (27209757),Jalen Brunson,27209757,PG/G/UTIL,7800,HOU@NYK 03/27/2023 07:30PM ET,NYK,39.81,L,39.81,10,
SF,Khris Middleton (27209764),Khris Middleton,27209764,SF/F/UTIL,7700,MIL@DET 03/27/2023 07:00PM ET,MIL,29.46,L,29.46,10,
PG/SG,Tyrese Maxey (27209760),Tyrese Maxey,27209760,PG/SG/G/UTIL,7700,PHI@DEN 03/27/2023 09:30PM ET,PHI,31.76,L,34.936,11,
PG,Jrue Holiday (27209767),Jrue Holiday,27209767,PG/G/UTIL,7600,MIL@DET 03/27/2023 07:00PM ET,MIL,39.23,O,39.23,10,
C,Rudy Gobert (27209777),Rudy Gobert,27209777,C/UTIL,7500,MIN@SAC 03/27/2023 10:00PM ET,MIN,34.17,L,34.17,10,
PG/SG,Jordan Clarkson (27209770),Jordan Clarkson,27209770,PG/SG/G/UTIL,7500,PHX@UTA 03/27/2023 09:00PM ET,UTA,33.84,O,33.84,11,
PG,Chris Paul (27209774),Chris Paul,27209774,PG/G/UTIL,7400,PHX@UTA 03/27/2023 09:00PM ET,PHX,36.79,L,44.148,12,
C,Deandre Ayton (27209779),Deandre Ayton,27209779,C/UTIL,7400,PHX@UTA 03/27/2023 09:00PM ET,PHX,36.36,L,36.36,10,
C,Walker Kessler (27209781),Walker Kessler,27209781,C/UTIL,7300,PHX@UTA 03/27/2023 09:00PM ET,UTA,26.04,L,26.04,11,
PG/SG,Jalen Green (27209783),Jalen Green,27209783,PG/SG/G/UTIL,7200,HOU@NYK 03/27/2023 07:30PM ET,HOU,34.15,L,34.15,11,
PG/SG,Jaden Ivey (27209790),Jaden Ivey,27209790,PG/SG/G/UTIL,7100,MIL@DET 03/27/2023 07:00PM ET,DET,29.22,L,32.142,11,
PF,Kelly Olynyk (27209787),Kelly Olynyk,27209787,PF/F/UTIL,7100,PHX@UTA 03/27/2023 09:00PM ET,UTA,27.55,L,27.55,11,
SG/SF,Talen Horton-Tucker (27209794),Talen Horton-Tucker,27209794,SG/SF/F/G/UTIL,7000,PHX@UTA 03/27/2023 09:00PM ET,UTA,20.05,L,20.05,11,
C,Alperen Sengun (27209810),Alperen Sengun,27209810,C/UTIL,6900,HOU@NYK 03/27/2023 07:30PM ET,HOU,34.28,L,34.28,11,
SF/PF,Kyle Anderson (27209799),Kyle Anderson,27209799,SF/PF/F/UTIL,6900,MIN@SAC 03/27/2023 10:00PM ET,MIN,26.93,L,26.93,10,
PF,Jerami Grant (27209803),Jerami Grant,27209803,PF/F/UTIL,6900,NOP@POR 03/27/2023 10:00PM ET,POR,33.23,O,33.23,12,
PF/C,Marvin Bagley III (27209806),Marvin Bagley III,27209806,PF/C/F/UTIL,6800,MIL@DET 03/27/2023 07:00PM ET,DET,24.02,L,24.02,10,
C,Christian Wood (27209817),Christian Wood,27209817,C/UTIL,6700,DAL@IND 03/27/2023 07:00PM ET,DAL,32.47,L,32.47,10,
SG/SF,Kevin Huerter (27209812),Kevin Huerter,27209812,SG/SF/F/G/UTIL,6700,MIN@SAC 03/27/2023 10:00PM ET,SAC,27.52,L,30.272,11,
PG,Killian Hayes (27209819),Killian Hayes,27209819,PG/G/UTIL,6600,MIL@DET 03/27/2023 07:00PM ET,DET,25.59,L,25.59,10,
C,Myles Turner (27209822),Myles Turner,27209822,C/UTIL,6600,DAL@IND 03/27/2023 07:00PM ET,IND,35.53,L,35.53,10,
PG/SG,Immanuel Quickley (27209824),Immanuel Quickley,27209824,PG/SG/G/UTIL,6500,HOU@NYK 03/27/2023 07:30PM ET,NYK,26.32,L,26.32,10,
C,Jusuf Nurkic (27209828),Jusuf Nurkic,27209828,C/UTIL,6500,NOP@POR 03/27/2023 10:00PM ET,POR,32.1,O,32.1,12,
PF,Jabari Smith Jr. (27209837),Jabari Smith Jr.,27209837,PF/F/UTIL,6400,HOU@NYK 03/27/2023 07:30PM ET,HOU,26.54,L,26.54,11,
C,Brook Lopez (27209830),Brook Lopez,27209830,C/UTIL,6400,MIL@DET 03/27/2023 07:00PM ET,MIL,32.28,L,35.508,11,
SG/SF,Trey Murphy III (27209832),Trey Murphy III,27209832,SG/SF/F/G/UTIL,6400,NOP@POR 03/27/2023 10:00PM ET,NOP,24.47,L,26.917,11,
PG,Mike Conley (27209847),Mike Conley,27209847,PG/G/UTIL,6300,MIN@SAC 03/27/2023 10:00PM ET,MIN,28.13,L,28.13,10,
SF,RJ Barrett (27209844),RJ Barrett,27209844,SF/F/UTIL,6300,HOU@NYK 03/27/2023 07:30PM ET,NYK,31.15,L,31.15,10,
SF/PF,Tobias Harris (27209850),Tobias Harris,27209850,SF/PF/F/UTIL,6300,PHI@DEN 03/27/2023 09:30PM ET,PHI,29.47,L,29.47,10,
PG/SG,Anfernee Simons (27209840),Anfernee Simons,27209840,PG/SG/G/UTIL,6300,NOP@POR 03/27/2023 10:00PM ET,POR,32.92,O,32.92,12,
SF,Michael Porter Jr. (27209854),Michael Porter Jr.,27209854,SF/F/UTIL,6200,PHI@DEN 03/27/2023 09:30PM ET,DEN,28.99,L,28.99,11,
PG/SG,Shaedon Sharpe (27209857),Shaedon Sharpe,27209857,PG/SG/G/UTIL,6200,NOP@POR 03/27/2023 10:00PM ET,POR,14.79,L,29.58,13.2,
PF,Aaron Gordon (27209861),Aaron Gordon,27209861,PF/F/UTIL,6100,PHI@DEN 03/27/2023 09:30PM ET,DEN,31.88,L,31.88,11,
SG/SF,De'Anthony Melton (27209871),De'Anthony Melton,27209871,SG/SF/F/G/UTIL,6100,PHI@DEN 03/27/2023 09:30PM ET,PHI,24.45,L,24.45,10,
C,Trendon Watford (27209864),Trendon Watford,27209864,C/UTIL,6100,NOP@POR 03/27/2023 10:00PM ET,POR,15.72,O,15.72,12,
SG/SF,Josh Hart (27209866),Josh Hart,27209866,SG/SF/F/G/UTIL,6000,HOU@NYK 03/27/2023 07:30PM ET,NYK,28.08,L,28.08,10,
SF/PF,Bojan Bogdanovic (27209876),Bojan Bogdanovic,27209876,SF/PF/F/UTIL,5900,MIL@DET 03/27/2023 07:00PM ET,DET,31.67,O,31.67,10,
C,Ivica Zubac (27209883),Ivica Zubac,27209883,C/UTIL,5900,CHI@LAC 03/27/2023 10:30PM ET,LAC,27.72,L,27.72,11,
PG,Kris Dunn (27209880),Kris Dunn,27209880,PG/G/UTIL,5900,PHX@UTA 03/27/2023 09:00PM ET,UTA,27.3,L,27.3,11,
SF,Buddy Hield (27209885),Buddy Hield,27209885,SF/F/UTIL,5800,DAL@IND 03/27/2023 07:00PM ET,IND,31.36,O,31.36,10,
SG/SF,Eric Gordon (27209893),Eric Gordon,27209893,SG/SF/F/G/UTIL,5800,CHI@LAC 03/27/2023 10:30PM ET,LAC,21.25,L,21.25,11,
SG/SF,Ochai Agbaji (27209888),Ochai Agbaji,27209888,SG/SF/F/G/UTIL,5800,PHX@UTA 03/27/2023 09:00PM ET,UTA,11.9,L,11.9,11,
C,James Wiseman (27209898),James Wiseman,27209898,C/UTIL,5700,MIL@DET 03/27/2023 07:00PM ET,DET,19.01,L,19.01,10,
SG/SF,Rodney McGruder (27209900),Rodney McGruder,27209900,SG/SF/F/G/UTIL,5700,MIL@DET 03/27/2023 07:00PM ET,DET,11.45,L,11.45,10,
