Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
C,Nikola Jokic (26785261),Nikola Jokic,26785261,C/UTIL,11700,DEN@MEM 02/25/2023 08:00PM ET,DEN,59.48,L
C,Joel Embiid (26785263),Joel Embiid,26785263,C/UTIL,11300,BOS@PHI 02/25/2023 08:30PM ET,PHI,57.41,L
SF/PF,Jayson Tatum (26785265),Jayson Tatum,26785265,SF/PF/F/UTIL,10500,BOS@PHI 02/25/2023 08:30PM ET,BOS,52.91,L
PG,LaMelo Ball (26785269),LaMelo Ball,26785269,PG/G/UTIL,10400,MIA@CHA 02/25/2023 07:00PM ET,CHA,48.75,L
PG,Ja Morant (26785272),Ja Morant,26785272,PG/G/UTIL,10000,DEN@MEM 02/25/2023 08:00PM ET,MEM,49.36,L
PG,James Harden (26785275),James Harden,26785275,PG/G/UTIL,9900,BOS@PHI 02/25/2023 08:30PM ET,PHI,50.06,L
PF,Julius Randle (26785278),Julius Randle,26785278,PF/F/UTIL,9500,NOP@NYK 02/25/2023 07:30PM ET,NYK,47.4,P
PG,Tyrese Haliburton (26785281),Tyrese Haliburton,26785281,PG/G/UTIL,9400,IND@ORL 02/25/2023 07:00PM ET,IND,45.17,L
SF/PF,Lauri Markkanen (26785284),Lauri Markkanen,26785284,SF/PF/F/UTIL,9300,SAS@UTA 02/25/2023 09:00PM ET,UTA,42.37,L
PF,Jimmy Butler (26785288),Jimmy Butler,26785288,PF/F/UTIL,9200,MIA@CHA 02/25/2023 07:00PM ET,MIA,40.81,L
SG/SF,Jaylen Brown (26785291),Jaylen Brown,26785291,SG/SF/F/G/UTIL,8900,BOS@PHI 02/25/2023 08:30PM ET,BOS,43.36,L
C,Bam Adebayo (26785296),Bam Adebayo,26785296,C/UTIL,8800,MIA@CHA 02/25/2023 07:00PM ET,MIA,42.31,L
SG,Brandon Ingram (26785298),Brandon Ingram,26785298,SG/G/UTIL,8500,NOP@NYK 02/25/2023 07:30PM ET,NOP,38.06,L
PF/C,Zion Williamson (26785301),Zion Williamson,26785301,PF/C/F/UTIL,8400,NOP@NYK 02/25/2023 07:30PM ET,NOP,43.57,O
PG,Jalen Brunson (26785305),Jalen Brunson,26785305,PG/G/UTIL,8200,NOP@NYK 02/25/2023 07:30PM ET,NYK,40.04,L
SG,Desmond Bane (26785308),Desmond Bane,26785308,SG/G/UTIL,7900,DEN@MEM 02/25/2023 08:00PM ET,MEM,37.09,L
PG,Jamal Murray (26785311),Jamal Murray,26785311,PG/G/UTIL,7800,DEN@MEM 02/25/2023 08:00PM ET,DEN,36.69,L
PF/C,Jaren Jackson Jr. (26785314),Jaren Jackson Jr.,26785314,PF/C/F/UTIL,7700,DEN@MEM 02/25/2023 08:00PM ET,MEM,35.65,L
PG,CJ McCollum (26785318),CJ McCollum,26785318,PG/G/UTIL,7600,NOP@NYK 02/25/2023 07:30PM ET,NOP,38.74,L
SF/PF,Paolo Banchero (26785321),Paolo Banchero,26785321,SF/PF/F/UTIL,7500,IND@ORL 02/25/2023 07:00PM ET,ORL,35.74,L
C,Myles Turner (26785329),Myles Turner,26785329,C/UTIL,7300,IND@ORL 02/25/2023 07:00PM ET,IND,36.31,L
PG/SG,Jordan Clarkson (26785325),Jordan Clarkson,26785325,PG/SG/G/UTIL,7300,SAS@UTA 02/25/2023 09:00PM ET,UTA,33.84,L
PG/SG,Terry Rozier (26785331),Terry Rozier,26785331,PG/SG/G/UTIL,7200,MIA@CHA 02/25/2023 07:00PM ET,CHA,37.24,L
PG/SG,Tyler Herro (26785335),Tyler Herro,26785335,PG/SG/G/UTIL,7100,MIA@CHA 02/25/2023 07:00PM ET,MIA,36.96,L
PF,Aaron Gordon (26785339),Aaron Gordon,26785339,PF/F/UTIL,7000,DEN@MEM 02/25/2023 08:00PM ET,DEN,33.4,Q
SF,Keldon Johnson (26785342),Keldon Johnson,26785342,SF/F/UTIL,6900,SAS@UTA 02/25/2023 09:00PM ET,SAS,33.86,M
SG,Kelly Oubre Jr. (26785345),Kelly Oubre Jr.,26785345,SG/G/UTIL,6800,MIA@CHA 02/25/2023 07:00PM ET,CHA,32.29,L
PG,Markelle Fultz (26785348),Markelle Fultz,26785348,PG/G/UTIL,6600,IND@ORL 02/25/2023 07:00PM ET,ORL,29.25,L
C,Wendell Carter Jr. (26785351),Wendell Carter Jr.,26785351,C/UTIL,6500,IND@ORL 02/25/2023 07:00PM ET,ORL,32.12,L
PF/C,PJ Washington (26785353),PJ Washington,26785353,PF/C/F/UTIL,6400,MIA@CHA 02/25/2023 07:00PM ET,CHA,29.21,Q
C,Walker Kessler (26785357),Walker Kessler,26785357,C/UTIL,6300,SAS@UTA 02/25/2023 09:00PM ET,UTA,24.15,L
C,Zach Collins (26785359),Zach Collins,26785359,C/UTIL,6200,SAS@UTA 02/25/2023 09:00PM ET,SAS,23.22,L
PG,Marcus Smart (26785361),Marcus Smart,26785361,PG/G/UTIL,6100,BOS@PHI 02/25/2023 08:30PM ET,BOS,29.67,L
SF,Buddy Hield (26785364),Buddy Hield,26785364,SF/F/UTIL,6100,IND@ORL 02/25/2023 07:00PM ET,IND,31.7,L
C,Steven Adams (26785367),Steven Adams,26785367,C/UTIL,6100,DEN@MEM 02/25/2023 08:00PM ET,MEM,29.99,O
