Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
C,Nikola Jokic (26887692),Nikola Jokic,26887692,C/UTIL,11800,TOR@DEN 03/06/2023 09:00PM ET,DEN,59.31,L,65.241
PG,Damian Lillard (26887694),Damian Lillard,26887694,PG/G/UTIL,11600,POR@DET 03/06/2023 07:00PM ET,POR,52.04,L,72.856
C,Joel Embiid (26887697),Joel Embiid,26887697,C/UTIL,11300,PHI@IND 03/06/2023 07:00PM ET,PHI,57.22,L,80.108
SF/PF,Jayson Tatum (26887699),Jayson Tatum,26887699,SF/PF/F/UTIL,10600,BOS@CLE 03/06/2023 07:00PM ET,BOS,52.98,L,52.98
PG,James Harden (26887703),James Harden,26887703,PG/G/UTIL,10100,PHI@IND 03/06/2023 07:00PM ET,PHI,50.26,L,50.26
C,Domantas Sabonis (26887706),Domantas Sabonis,26887706,C/UTIL,10000,NOP@SAC 03/06/2023 10:00PM ET,SAC,47.69,L,66.766
PG,De'Aaron Fox (26887708),De'Aaron Fox,26887708,PG/G/UTIL,9500,NOP@SAC 03/06/2023 10:00PM ET,SAC,42.92,M,42.92
PG,Trae Young (26887711),Trae Young,26887711,PG/G/UTIL,9400,ATL@MIA 03/06/2023 07:30PM ET,ATL,48.04,L,48.04
PG/SG,Donovan Mitchell (26887714),Donovan Mitchell,26887714,PG/SG/G/UTIL,9300,BOS@CLE 03/06/2023 07:00PM ET,CLE,43.96,M,43.96
PG,Tyrese Haliburton (26887718),Tyrese Haliburton,26887718,PG/G/UTIL,9200,PHI@IND 03/06/2023 07:00PM ET,IND,45.45,L,59.085
PF/C,Pascal Siakam (26887721),Pascal Siakam,26887721,PF/C/F/UTIL,9000,TOR@DEN 03/06/2023 09:00PM ET,TOR,46.32,L,55.584
SF,Jimmy Butler (26887725),Jimmy Butler,26887725,SF/F/UTIL,8900,ATL@MIA 03/06/2023 07:30PM ET,MIA,41.22,L,53.586
SG/SF,Jaylen Brown (26887728),Jaylen Brown,26887728,SG/SF/F/G/UTIL,8800,BOS@CLE 03/06/2023 07:00PM ET,BOS,43.32,L,43.32
PG,Darius Garland (26887733),Darius Garland,26887733,PG/G/UTIL,8700,BOS@CLE 03/06/2023 07:00PM ET,CLE,40.31,L,40.31
SF,Brandon Ingram (26887736),Brandon Ingram,26887736,SF/F/UTIL,8600,NOP@SAC 03/06/2023 10:00PM ET,NOP,38.23,L,49.699
