Position,Name + ID,Name,ID,Roster_Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Rhamondre Stevenson (31497081),Rhamondre Stevenson,31497081,CPT,15900,NE@PIT 12/07/2023 08:15PM ET,NE,0
WR,George Pickens (31497082),George Pickens,31497082,CPT,15000,NE@PIT 12/07/2023 08:15PM ET,PIT,12.28
WR,Diontae Johnson (31497083),Diontae Johnson,31497083,CPT,14700,NE@PIT 12/07/2023 08:15PM ET,PIT,10.98
RB,Ezekiel Elliott (31497084),Ezekiel Elliott,31497084,CPT,14100,NE@PIT 12/07/2023 08:15PM ET,NE,7.78
QB,Mitch Trubisky (31497085),Mitch Trubisky,31497085,CPT,13800,NE@PIT 12/07/2023 08:15PM ET,PIT,12.01
QB,Bailey Zappe (31497086),Bailey Zappe,31497086,CPT,13500,NE@PIT 12/07/2023 08:15PM ET,NE,10.1
QB,Mac Jones (31497087),Mac Jones,31497087,CPT,13500,NE@PIT 12/07/2023 08:15PM ET,NE,0
RB,Najee Harris (31497088),Najee Harris,31497088,CPT,12600,NE@PIT 12/07/2023 08:15PM ET,PIT,10.34
RB,Jaylen Warren (31497089),Jaylen Warren,31497089,CPT,12000,NE@PIT 12/07/2023 08:15PM ET,PIT,12.12
TE,Pat Freiermuth (31497090),Pat Freiermuth,31497090,CPT,11100,NE@PIT 12/07/2023 08:15PM ET,PIT,8.13
RB,Rhamondre Stevenson (31497132),Rhamondre Stevenson,31497132,FLEX,10600,NE@PIT 12/07/2023 08:15PM ET,NE,12.22
WR,George Pickens (31497133),George Pickens,31497133,FLEX,10000,NE@PIT 12/07/2023 08:15PM ET,PIT,12.28
DST,Steelers  (31497091),Steelers ,31497091,CPT,9900,NE@PIT 12/07/2023 08:15PM ET,PIT,16.3
WR,Diontae Johnson (31497134),Diontae Johnson,31497134,FLEX,9800,NE@PIT 12/07/2023 08:15PM ET,PIT,10.98
RB,Ezekiel Elliott (31497135),Ezekiel Elliott,31497135,FLEX,9400,NE@PIT 12/07/2023 08:15PM ET,NE,7.78
QB,Mitch Trubisky (31497136),Mitch Trubisky,31497136,FLEX,9200,NE@PIT 12/07/2023 08:15PM ET,PIT,12.01
QB,Bailey Zappe (31497137),Bailey Zappe,31497137,FLEX,9000,NE@PIT 12/07/2023 08:15PM ET,NE,10.1
QB,Mac Jones (31497138),Mac Jones,31497138,FLEX,9000,NE@PIT 12/07/2023 08:15PM ET,NE,0
QB,Will Grier (31497092),Will Grier,31497092,CPT,9000,NE@PIT 12/07/2023 08:15PM ET,NE,0
QB,Kenny Pickett (31497093),Kenny Pickett,31497093,CPT,9000,NE@PIT 12/07/2023 08:15PM ET,PIT,0
QB,Mason Rudolph (31497094),Mason Rudolph,31497094,CPT,9000,NE@PIT 12/07/2023 08:15PM ET,PIT,0
QB,Malik Cunningham (31497095),Malik Cunningham,31497095,CPT,9000,NE@PIT 12/07/2023 08:15PM ET,NE,0
RB,Najee Harris (31497139),Najee Harris,31497139,FLEX,8400,NE@PIT 12/07/2023 08:15PM ET,PIT,10.34
WR,DeVante Parker (31497096),DeVante Parker,31497096,CPT,8400,NE@PIT 12/07/2023 08:15PM ET,NE,0
K,Chris Boswell (31497097),Chris Boswell,31497097,CPT,8100,NE@PIT 12/07/2023 08:15PM ET,PIT,8.08
RB,Jaylen Warren (31497140),Jaylen Warren,31497140,FLEX,8000,NE@PIT 12/07/2023 08:15PM ET,PIT,12.12
TE,Hunter Henry (31497098),Hunter Henry,31497098,CPT,7800,NE@PIT 12/07/2023 08:15PM ET,NE,6.78
DST,Patriots  (31497099),Patriots ,31497099,CPT,7500,NE@PIT 12/07/2023 08:15PM ET,NE,15.83
TE,Pat Freiermuth (31497141),Pat Freiermuth,31497141,FLEX,7400,NE@PIT 12/07/2023 08:15PM ET,PIT,8.13
K,Matthew Wright (31497100),Matthew Wright,31497100,CPT,6900,NE@PIT 12/07/2023 08:15PM ET,NE,0
K,Chad Ryland (31497101),Chad Ryland,31497101,CPT,6900,NE@PIT 12/07/2023 08:15PM ET,NE,4.75
DST,Steelers  (31497142),Steelers ,31497142,FLEX,6600,NE@PIT 12/07/2023 08:15PM ET,PIT,16.3
WR,Demario Douglas (31497102),Demario Douglas,31497102,CPT,6300,NE@PIT 12/07/2023 08:15PM ET,NE,7.89
QB,Will Grier (31497143),Will Grier,31497143,FLEX,6000,NE@PIT 12/07/2023 08:15PM ET,NE,0
QB,Kenny Pickett (31497144),Kenny Pickett,31497144,FLEX,6000,NE@PIT 12/07/2023 08:15PM ET,PIT,0
QB,Mason Rudolph (31497145),Mason Rudolph,31497145,FLEX,6000,NE@PIT 12/07/2023 08:15PM ET,PIT,0
QB,Malik Cunningham (31497146),Malik Cunningham,31497146,FLEX,6000,NE@PIT 12/07/2023 08:15PM ET,NE,0
WR,JuJu Smith-Schuster (31497103),JuJu Smith-Schuster,31497103,CPT,5700,NE@PIT 12/07/2023 08:15PM ET,NE,4.8
WR,DeVante Parker (31497147),DeVante Parker,31497147,FLEX,5600,NE@PIT 12/07/2023 08:15PM ET,NE,5.38
K,Chris Boswell (31497148),Chris Boswell,31497148,FLEX,5400,NE@PIT 12/07/2023 08:15PM ET,PIT,8.08
TE,Hunter Henry (31497149),Hunter Henry,31497149,FLEX,5200,NE@PIT 12/07/2023 08:15PM ET,NE,6.78
WR,Tyquan Thornton (31497104),Tyquan Thornton,31497104,CPT,5100,NE@PIT 12/07/2023 08:15PM ET,NE,2.52
DST,Patriots  (31497150),Patriots ,31497150,FLEX,5000,NE@PIT 12/07/2023 08:15PM ET,NE,15.83
K,Matthew Wright (31497151),Matthew Wright,31497151,FLEX,4600,NE@PIT 12/07/2023 08:15PM ET,NE,0
K,Chad Ryland (31497152),Chad Ryland,31497152,FLEX,4600,NE@PIT 12/07/2023 08:15PM ET,NE,4.75
WR,Allen Robinson II (31497105),Allen Robinson II,31497105,CPT,4500,NE@PIT 12/07/2023 08:15PM ET,PIT,3.87
WR,Demario Douglas (31497153),Demario Douglas,31497153,FLEX,4200,NE@PIT 12/07/2023 08:15PM ET,NE,7.89
RB,Ty Montgomery II (31497106),Ty Montgomery II,31497106,CPT,3900,NE@PIT 12/07/2023 08:15PM ET,NE,0.6
WR,JuJu Smith-Schuster (31497154),JuJu Smith-Schuster,31497154,FLEX,3800,NE@PIT 12/07/2023 08:15PM ET,NE,4.8
WR,Calvin Austin III (31497107),Calvin Austin III,31497107,CPT,3600,NE@PIT 12/07/2023 08:15PM ET,PIT,3.67
WR,Tyquan Thornton (31497155),Tyquan Thornton,31497155,FLEX,3400,NE@PIT 12/07/2023 08:15PM ET,NE,2.52
