Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Saquon Barkley (37460615),Saquon Barkley,37460615,CPT,18000,KC@PHI 02/09/2025 06:30PM ET,PHI,25.42
QB,Jalen Hurts (37460616),Jalen Hurts,37460616,CPT,15600,KC@PHI 02/09/2025 06:30PM ET,PHI,22.03
QB,Patrick Mahomes (37460617),Patrick Mahomes,37460617,CPT,15000,KC@PHI 02/09/2025 06:30PM ET,KC,19.26
WR,A.J. Brown (37460618),A.J. Brown,37460618,CPT,14400,KC@PHI 02/09/2025 06:30PM ET,PHI,16.18
TE,Travis Kelce (37460619),Travis Kelce,37460619,CPT,13500,KC@PHI 02/09/2025 06:30PM ET,KC,12.83
RB,Saquon Barkley (37460558),Saquon Barkley,37460558,FLEX,12000,KC@PHI 02/09/2025 06:30PM ET,PHI,25.42
WR,Xavier Worthy (37460620),Xavier Worthy,37460620,CPT,12000,KC@PHI 02/09/2025 06:30PM ET,KC,11.47
WR,DeVonta Smith (37460621),DeVonta Smith,37460621,CPT,11100,KC@PHI 02/09/2025 06:30PM ET,PHI,14.34
QB,Jalen Hurts (37460559),Jalen Hurts,37460559,FLEX,10400,KC@PHI 02/09/2025 06:30PM ET,PHI,22.03
QB,Patrick Mahomes (37460560),Patrick Mahomes,37460560,FLEX,10000,KC@PHI 02/09/2025 06:30PM ET,KC,19.26
WR,A.J. Brown (37460561),A.J. Brown,37460561,FLEX,9600,KC@PHI 02/09/2025 06:30PM ET,PHI,16.18
RB,Kareem Hunt (37460622),Kareem Hunt,37460622,CPT,9600,KC@PHI 02/09/2025 06:30PM ET,KC,12.47
TE,Travis Kelce (37460562),Travis Kelce,37460562,FLEX,9000,KC@PHI 02/09/2025 06:30PM ET,KC,12.83
QB,Tanner McKee (37460623),Tanner McKee,37460623,CPT,9000,KC@PHI 02/09/2025 06:30PM ET,PHI,14.41
QB,Kenny Pickett (37460624),Kenny Pickett,37460624,CPT,9000,KC@PHI 02/09/2025 06:30PM ET,PHI,4.31
QB,Carson Wentz (37460625),Carson Wentz,37460625,CPT,9000,KC@PHI 02/09/2025 06:30PM ET,KC,1.57
QB,Chris Oladokun (37460626),Chris Oladokun,37460626,CPT,9000,KC@PHI 02/09/2025 06:30PM ET,KC,0.5
QB,Ian Book (37460627),Ian Book,37460627,CPT,9000,KC@PHI 02/09/2025 06:30PM ET,PHI,0
TE,Dallas Goedert (37460628),Dallas Goedert,37460628,CPT,8700,KC@PHI 02/09/2025 06:30PM ET,PHI,11.36
WR,Hollywood Brown (37460629),Hollywood Brown,37460629,CPT,8100,KC@PHI 02/09/2025 06:30PM ET,KC,6.15
WR,Xavier Worthy (37460563),Xavier Worthy,37460563,FLEX,8000,KC@PHI 02/09/2025 06:30PM ET,KC,11.47
RB,Isiah Pacheco (37460630),Isiah Pacheco,37460630,CPT,7800,KC@PHI 02/09/2025 06:30PM ET,KC,7.01
K,Harrison Butker (37460631),Harrison Butker,37460631,CPT,7500,KC@PHI 02/09/2025 06:30PM ET,KC,7.8
K,Spencer Shrader (37460632),Spencer Shrader,37460632,CPT,7500,KC@PHI 02/09/2025 06:30PM ET,KC,6.5
WR,DeVonta Smith (37460564),DeVonta Smith,37460564,FLEX,7400,KC@PHI 02/09/2025 06:30PM ET,PHI,14.34
K,Jake Elliott (37460633),Jake Elliott,37460633,CPT,7200,KC@PHI 02/09/2025 06:30PM ET,PHI,8.45
WR,DeAndre Hopkins (37460634),DeAndre Hopkins,37460634,CPT,6600,KC@PHI 02/09/2025 06:30PM ET,KC,8.28
RB,Kareem Hunt (37460565),Kareem Hunt,37460565,FLEX,6400,KC@PHI 02/09/2025 06:30PM ET,KC,12.47
DST,Eagles  (37460635),Eagles ,37460635,CPT,6300,KC@PHI 02/09/2025 06:30PM ET,PHI,8.45
QB,Tanner McKee (37460566),Tanner McKee,37460566,FLEX,6000,KC@PHI 02/09/2025 06:30PM ET,PHI,14.41
QB,Kenny Pickett (37460567),Kenny Pickett,37460567,FLEX,6000,KC@PHI 02/09/2025 06:30PM ET,PHI,4.31
QB,Carson Wentz (37460568),Carson Wentz,37460568,FLEX,6000,KC@PHI 02/09/2025 06:30PM ET,KC,1.57
QB,Chris Oladokun (37460569),Chris Oladokun,37460569,FLEX,6000,KC@PHI 02/09/2025 06:30PM ET,KC,0.5
QB,Ian Book (37460570),Ian Book,37460570,FLEX,6000,KC@PHI 02/09/2025 06:30PM ET,PHI,0
