position,player,cost,point_value
QB,Mahomes,7600,26.4
QB,Hurts,7200,26.5
QB,Burrow,6800,23.5
QB,Purdy,5300,14.3
QB,Henne,5000,1.1
QB,Allen,4800,0.8
QB,Johnson,4700,0.4
QB,Minshew,4600,7.3
RB,McCaffrey,8000,21.8
RB,Mixon,6500,17.2
RB,McKinnon,5400,11.3
RB,Pacheco,5300,8.4
RB,Sanders,5200,13.2
RB,Mitchell,4900,8.5
RB,Gainwell,4800,6.1
RB,Scott,4600,3.5
RB,Perine,4500,8.7
RB,JonesII,4100,2.7
RB,Burton,4000,0.2
RB,GordonIII,4000,8.9
WR,Chase,7600,21.2
WR,Brown,7000,17.9
WR,Smith,6800,16
WR,Samuel,5700,14.3
WR,Smith-Schuster,4700,11.7
WR,Aiyuk,4400,13
WR,Toney,3700,6.8
WR,Valdes-Scantling,3600,7.4
WR,hardman,3500,11.7
WR,jennings,3300,5.2
WR,Watkins,3100,4.8
WR,Watson,3000,3.4
WR,Moore,3000,2.8
WR,Irwin,3000,6
WR,McCloudIII,3000,3
WR,Pascal,3000,2.1
TE,Kelce,7800,20.8
TE,Kittle,5200,13.3
TE,Goedert,4100,12.5
TE,Hurst,3000,8.7
TE,Gray,2500,4.1
TE,Wilcox,2500,2.2
DST,49ers,3000,9.4
DST,Eagles,2800,9.2
DST,Cheifs,2500,7.1
DST,Bengals,2300,6.9
