Name,Pos,Rating,Team,Fantasy Points,FPPG,FPPM,3/28,3/27,3/26,3/25,3/24,3/23,3/22,3/21,3/20,3/19,3/18,3/17,3/16,3/15,3/14,3/13,3/12,3/11,3/10,3/9,3/8,3/7,3/6,3/5,3/4,3/3,3/2,3/1,2/28,2/27,2/26,2/25,2/24,2/23,2/22,2/21,2/20,2/19,2/18,2/17,2/16,2/15,2/14,2/13,2/12,2/11,2/10,2/9,2/8,2/7,2/6,2/5,2/4,2/3,2/2,2/1,1/31,1/30,1/29,1/28,1/27,1/26,1/25,1/24,1/23,1/22,1/21,1/20,1/19,1/18,1/17,1/16,1/15,1/14,1/13,1/12,1/11,1/10,1/9,1/8,1/7,1/6,1/5,1/4,1/3,1/2,1/1,12/31,12/30,12/29,12/28,12/27,12/26,12/25,12/24,12/23,12/22,12/21,12/20,12/19,12/18,12/17,12/16,12/15,12/14,12/13,12/12,12/11,12/10,12/9,12/8,12/7,12/6,12/5,12/4,12/3,12/2,12/1,11/30,11/29,11/28,11/27,11/26,11/25,11/24,11/23,11/22,11/21,11/20,11/19,11/18,11/17,11/16,11/15,11/14,11/13,11/12,11/11,11/10,11/9,11/8,11/7,11/6,11/5,11/4,11/3,11/2,11/1,10/31,10/30,10/29,10/28,10/27,10/26,10/25,10/24,10/23,10/22,10/21,10/20,10/19,10/18
"Stephen Curry","PG",97,"GS",2529.9,49.6,1.4,69,0,43,0,43,0,46,0,52,0,34,45,0,68,0,38,0,0,0,45,0,60,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,41,52,0,71,0,0,66,0,45,0,0,45,0,0,56,0,0,53,39,0,27,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,33,0,0,53,0,0,0,0,27,0,56,44,0,0,46,0,52,0,49,0,44,0,0,77,0,52,0,74,0,32,42,0,56,0,0,0,72,0,0,0,57,0,63,0,49,57,0,59,0,45,0,46,0,47,0,0,61
"Kristaps Porzingis","C",84,"WAS",2702.9,41.6,1.3,64,0,41,0,48,0,31,48,0,0,0,42,0,0,46,0,23,0,0,0,59,36,0,53,50,0,39,0,0,0,0,0,40,0,0,0,0,0,0,0,31,0,0,46,0,41,0,0,57,0,29,0,50,51,0,0,0,54,0,0,0,0,0,0,0,0,26,0,0,49,0,49,0,0,28,0,0,0,39,0,0,26,0,0,42,0,35,0,59,0,36,50,0,0,0,30,0,0,0,0,49,37,0,0,0,0,28,0,61,45,0,50,0,0,49,0,42,0,58,0,63,28,0,32,0,38,0,0,36,0,56,0,49,0,0,45,55,0,0,0,0,38,26,0,30,0,53,0,53,38,0,33,0,0,31,0,42,0,27,0,37,0
"Donovan Mitchell","SG",87,"CLE",2758.35,42.4,1.2,63,0,35,0,0,43,0,42,0,0,0,30,0,39,0,0,34,0,0,0,32,0,63,0,36,0,0,57,0,0,59,0,27,38,0,0,0,0,0,0,0,53,0,59,0,58,0,0,0,0,38,32,0,0,20,0,41,0,18,0,0,0,0,59,0,0,0,0,0,0,0,13,0,26,0,43,0,70,0,30,0,0,0,44,0,102,0,32,0,47,0,0,31,0,0,30,0,54,0,28,0,35,51,0,47,0,35,0,0,0,0,0,67,0,37,0,43,0,38,0,12,41,0,37,0,43,0,54,28,0,48,0,34,0,0,0,0,62,0,53,0,36,45,0,0,0,46,0,0,69,0,51,0,35,0,0,56,57,0,0,50,0
"P.J. Washington","PF",79,"CHA",2084,28.9,0.9,61,0,48,0,46,25,0,0,23,0,0,26,0,0,17,0,29,0,0,36,0,30,0,22,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,46,0,39,0,32,0,0,43,0,0,26,0,14,13,0,31,0,45,0,0,21,0,24,8,0,42,0,0,42,0,33,0,25,0,22,0,20,0,36,0,34,0,26,0,28,0,22,0,41,0,24,38,0,0,45,0,19,0,19,23,0,0,0,29,0,0,17,0,19,0,30,0,42,0,28,38,0,0,0,23,0,0,21,0,31,0,0,22,0,56,0,36,0,31,0,6,0,13,28,0,36,0,34,16,0,21,0,43,0,43,12,0,27,0,0,17,0,20,0,38,0
"Evan Mobley","PF",85,"CLE",2619.25,34.9,1,59,0,41,0,0,62,0,27,0,0,0,41,0,42,40,0,35,0,0,0,36,0,54,0,48,0,0,33,0,0,39,0,23,48,0,0,0,0,0,0,0,34,0,32,0,30,0,0,32,0,32,45,0,0,48,0,37,0,33,0,42,44,0,29,0,0,51,29,0,45,0,30,0,29,0,35,0,32,0,33,0,36,0,19,0,0,0,0,0,36,0,0,25,0,0,25,0,15,0,26,0,33,34,0,33,0,41,0,42,30,0,0,29,0,37,0,48,0,32,0,45,40,0,23,0,36,0,27,37,0,58,0,37,0,0,27,0,46,0,24,0,36,23,0,39,0,25,0,0,32,0,43,0,30,0,0,26,23,0,0,26,0
"Josh Giddey","SG",81,"OKC",2615.4,36.8,1.2,58,0,47,0,64,27,0,28,0,31,0,0,24,0,54,0,39,0,0,0,29,59,0,53,0,50,0,49,24,0,34,0,19,40,0,0,0,0,0,0,0,28,0,31,0,0,0,0,0,33,37,0,51,0,0,45,0,44,0,0,25,0,38,0,0,35,0,36,0,43,0,0,52,0,51,38,0,55,0,24,0,43,0,27,44,0,0,38,0,40,0,31,0,0,0,45,0,30,0,0,0,0,36,0,43,0,27,0,47,0,0,31,0,33,0,55,0,0,44,0,15,0,27,40,0,25,0,40,0,0,46,0,21,0,29,58,0,34,0,46,0,20,0,24,0,25,0,26,0,0,0,0,0,0,0,0,18,49,0,0,38,0
"Scottie Barnes","SF",83,"TOR",2345.35,33,0.9,56,0,35,0,0,0,0,0,0,11,17,0,39,0,34,0,0,0,0,0,35,0,28,0,24,0,23,0,37,0,26,26,0,36,0,0,0,0,0,0,0,0,0,0,29,0,0,0,28,0,0,34,0,29,0,44,0,36,0,42,43,0,33,0,0,43,27,0,50,0,45,45,0,53,0,47,0,25,0,49,0,25,0,30,0,48,0,0,29,41,0,48,0,0,0,48,0,14,0,13,30,0,35,0,53,0,0,15,0,16,0,40,0,38,0,47,29,0,15,0,31,0,0,0,0,0,0,0,0,63,0,0,38,0,22,0,31,30,0,34,0,19,41,0,44,0,29,0,45,0,0,24,0,40,0,0,0,18,35,0,34,0
"Jayson Tatum","SF",92,"BOS",3552.6,50.8,1.4,48,0,0,0,48,0,0,56,0,0,30,61,0,46,0,42,0,0,0,0,45,0,0,66,0,51,0,68,0,36,0,45,0,63,0,0,0,0,0,0,0,60,0,0,36,0,0,0,38,0,60,0,0,35,0,57,0,0,0,55,0,63,0,60,46,0,0,0,72,0,0,71,0,56,0,44,54,0,56,0,43,0,72,0,36,0,44,0,0,48,0,60,0,64,0,48,0,60,0,0,0,0,48,0,0,66,42,0,37,0,0,38,0,56,50,0,32,0,76,0,51,0,0,47,0,66,0,53,0,0,43,0,44,0,54,0,67,52,0,45,0,50,0,46,66,0,59,0,0,35,0,50,0,0,0,45,0,59,47,0,0,61
"Desmond Bane","SG",84,"MEM",1876.1,35.4,1.1,48,0,36,0,39,0,37,0,27,0,35,50,0,21,0,42,0,0,0,33,0,21,0,47,0,24,0,54,36,0,0,26,0,38,0,0,0,0,0,0,0,40,0,0,42,0,0,0,0,38,0,45,0,0,31,25,0,0,0,0,0,0,33,0,35,44,0,37,0,39,0,45,0,45,0,0,32,0,23,51,0,0,0,42,0,0,0,29,0,33,0,15,0,14,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,50,0,33,41,0,29,0,47,0,0,0,45,0,47,0,0,57,0,28,36,0,32,0
"Paolo Banchero","PF",77,"ORL",2404.55,34.8,1,48,0,27,0,0,42,0,42,0,33,30,0,34,0,36,0,0,0,0,41,0,29,0,38,0,49,0,27,0,46,0,29,0,26,0,0,0,0,0,0,0,0,0,36,0,33,0,0,0,35,0,45,0,27,0,32,0,49,0,23,26,0,37,0,33,0,22,22,0,0,0,0,30,0,31,0,0,42,39,0,38,0,48,47,0,0,0,0,31,0,27,15,0,0,0,32,0,47,0,38,48,0,35,0,42,0,0,47,0,37,0,35,0,49,0,18,35,0,29,0,38,21,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,62,0,38,0,28,0,27,0,48,0,51,0,32,0,35,46,0,47,0
